qid,last_first,description,name,creator_string
,"Gyra, Francis Joseph, Jr.",1914-2007,"Francis Joseph Gyra, Jr.","[""Gyra, Francis Joseph, Jr. (1914-2007)""]"
,"Haberman, Gwen",,Gwen Haberman,"[""Haberman, Gwen""]"
,Haendil,,Haendil,"[""Haendil""]"
,"Hallmandel, C.",,C. Hallmandel,"[""Hallmandel, C.""]"
,"Handly, Avery",1913-1958,Avery Handly,"[""Handly, Avery (1913-1958)""]"
,"Handschick, Heinz","German painter, contemporary",Heinz Handschick,"[""Handschick, Heinz (German painter, contemporary)""]"
,"Hansen, Diana R.",1942-,Diana R. Hansen,"[""Hansen, Diana R. (1942-)""]"
,"Harris, Lawrence",1885-1970,Lawrence Harris,"[""Harris, Lawrence  (1885-1970)""]"
,"Hart, W.C.",,W.C. Hart,"[""Hart, W.C. ""]"
,"Hasegawa, Konobu",fl. late 19th c.,Konobu Hasegawa,"[""Hasegawa, Konobu (fl. late 19th c.)""]"
,"Hasegawa, Masanobu",,Masanobu Hasegawa,"[""Hasegawa, Masanobu""]"
,"Hashimoto, Goyo",,Goyo Hashimoto,"[""Hashimoto, Goyo & Kaburagi, Kiyokata""]"
,"Hauser, Robert",1930,Robert Hauser,"[""Hauser, Robert (1930)""]"
,Haverford Painter,"Greek vase painter, active ca. 375-ca. 350 BCE in Apulia",Haverford Painter,"[""Haverford Painter (Greek vase painter, active ca. 375-ca. 350 BCE in Apulia)""]"
,"Hawkins, Christie",,Christie Hawkins,"[""Hawkins, Christie""]"
,"Hayashi, Genzaburo","born Kyoto, Japan",Genzaburo Hayashi,"[""Hayashi, Genzaburo (born Kyoto, Japan)""]"
,"Hebert, Frances Marian","American, 1899-1960",Frances Marian Hebert,"[""Hebert, Frances Marian (American, 1899-1960)""]"
,Heidenreich,,Heidenreich,"[""Heidenreich""]"
,"Heidenreich, D.",,D. Heidenreich,"[""Heidenreich, D.""]"
,"Held, Mara","1954-, born New York, NY",Mara Held,"[""Held, Mara (1954-, born New York, NY)""]"
,"Hendee, A.",,A. Hendee,"[""Hendee, A.""]"
,"Heras, Arturo",or Heras Sanz,Arturo Heras,"[""Heras, Arturo (or Heras Sanz)  (1945-, born Valencia, Spain)""]"
,"Herlocker, Annie","1982-, born Indianapolis, IN",Annie Herlocker,"[""Herlocker, Annie  (1982-, born Indianapolis, IN)""]"
,"Herreyns, Gilbert","1943-, born Uccle, Belgium",Gilbert Herreyns,"[""Herreyns, Gilbert (1943-, born Uccle, Belgium)""]"
,"Hill, Daniel G.","1956-, born New York, NY",Daniel G. Hill,"[""Hill, Daniel G. (1956-, born New York, NY)""]"
,"Hochstetler, T. Max",1964-,T. Max Hochstetler,"[""Hochstetler, T. Max (1964-)"",""Hochstetler, T. Max""]"
,"Hoffmann, E.P.",,E.P. Hoffmann,"[""Hoffmann, E.P.""]"
,"Hōko, Ichimosai",,Ichimosai Hōko,"[""Hōko, Ichimosai"",""Hoko, Ichimosai""]"
,"Hollingsworth, Bob",,Bob Hollingsworth,"[""Hollingsworth, Bob""]"
,"Holly, Gerald","1917-2004, born Lewisburg, TN",Gerald Holly,"[""Holly, Gerald (1917-2004, born Lewisburg, TN)""]"
,"Hond, Hendrik",1588-1658,Hendrik Hond,"[""Hond, Hendrik (1588-1658)""]"
,"Hooper, Tim","ca. 1970, born Nashville, TN",Tim Hooper,"[""Hooper, Tim (ca. 1970, born Nashville, TN)""]"
,"Hoseki, Sanji",,Sanji Hoseki,"[""Hoseki, Sanji""]"
,"Hotta, Renzan",,Renzan Hotta,"[""Hotta, Renzan""]"
,"Howard, John",,John Howard,"[""Howard, John""]"
,"Hsiao, Gilbert","1956-, born Pennsylvania",Gilbert Hsiao,"[""Hsiao, Gilbert (1956-, born Pennsylvania)""]"
