name,cs_name,alias,cs_alias,wikidata_description,country,born,born_jstor,cs_born,died,died_jstor,cs_died,birthplace,deathplace,gender,ulan_url,ulan,cs_nationality,artist_type,birth_city,birth_state,description,last_first,creator_string,qc,occupation,sex
Otte,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,Otte,['Otte'],,Q11569986,
S. Pallot,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Pallot, S.","['Pallot, S.']",,Q11569986,
Rachel Parrish,Rachel Parrish,,,printmaker,,,,,,,,,,f,,,,printmaker,,,,"Parrish, Rachel","['Parrish, Rachel']",100 Rachel Parrish /  / Rachel Parrish,Q11569986,Q6581072
Margaret Pasek,Margaret Pasek,,,printmaker,,,,,,,,,,f,,,,printmaker,,,,"Pasek, Margaret","['Pasek, Margaret']",100 Margaret Pasek /  / Margaret Pasek,Q11569986,Q6581072
W.T. Phillips,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Phillips, W.T.","['Phillips, W.T.']",,Q11569986,
M. Pildas,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Pildas, M.","['Pildas, M. ']",,Q11569986,
S. Pollack,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Pollack, S.","['Pollack, S.']",,Q11569986,
H. Putnam,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Putnam, H.","['Putnam, H.']",,Q11569986,
Dan Quest,Dan Quest,,,printmaker,,,,,,,,,,m,,,,printmaker,,,,"Quest, Dan","['Quest, Dan']",100 Dan Quest /  / Dan Quest,Q11569986,Q6581097
Katie Risseeuw,Katie Risseeuw,,,printmaker,,,,,,,,,,f,,,,printmaker,,,,"Risseeuw, Katie","['Risseeuw, Katie']",100 Katie Risseeuw /  / Katie Risseeuw,Q11569986,Q6581072
George Ritteng,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Ritteng, George","['Ritteng, George']",,Q11569986,
H. Roberti,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Roberti, H.","['Roberti, H.']",,Q11569986,
Carl Rothy,Carl Rothy,,,printmaker,,,,,,,,,,m,,,,printmaker,,,,"Rothy, Carl","['Rothy, Carl']",100 Carl Rothy /  / Carl Rothy,Q11569986,Q6581097
T. Sato,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Sato, T.","['Sato, T.']",,Q11569986,
Dutch Saunders,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Saunders, Dutch","['Saunders, Dutch']",,Q11569986,
Sepesky,,,,printmaker,,,,,,,,,,,,,,printmaker,,,Shephard,Sepesky,['Sepesky (Shephard)'],,Q11569986,
Sesshu,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,Sesshu,['Sesshu'],,Q11569986,
J. Shaw,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Shaw, J.","['Shaw, J. and Hughes, S.G.']",,Q11569986,
M. Slowicki,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Slowicki, M.","['Slowicki, M.']",,Q11569986,
Kiyoe Tabata,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Tabata, Kiyoe","['Tabata, Kiyoe']",,Q11569986,
Yu-u sai Toshiaki,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Toshiaki, Yu-u sai","['Toshiaki, Yu-u sai']",,Q11569986,
Barcelona Treballs Gràfics,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Treballs Gràfics, Barcelona","['Treballs Gràfics, Barcelona']",,Q11569986,
R. Varin,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Varin, R.","['Varin, R.']",,Q11569986,
F.S. Wachsmity,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Wachsmity, F.S.","['Wachsmity, F.S.']",,Q11569986,
K. Winkles,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Winkles, K.","['Winkles, K.']",,Q11569986,
Edward Michaels,Edward Michaels,,,sculptor,,,,,,,,,,m,,,,sculptor,,,,"Michaels, Edward","['Michaels, Edward']",100 Edward Michaels /  / Edward Michaels,Q1281618,Q6581097
William Vernon Roberts,William Vernon Roberts,,,sculptor,,,,,,,,,,m,,,,sculptor,,,,"Roberts, William Vernon","['Roberts, William Vernon']",100 William Vernon Roberts /  / William Vernon Roberts,Q1281618,Q6581097
Turnbull,,,,sculptor,,,,,,,,,,,,,,sculptor,,,,Turnbull,['Turnbull'],,Q1281618,
Adro Miguel,Adro Miguel,,,Spanish painter,Q29,,,,,,,,,m,,,Spanish,painter,,,,"Miguel, Adro","['Miguel, Adro']",100 Adro Miguel /  / Adro Miguel,Q1028181,Q6581097
