ArtistFirst,ArtistLast,ArtistFull,ArtistAliasFirst,ArtistAliasLast,AliasFull,ArtistYears,born,died,ArtistNationality,ArtistGender,ulan
Franz,Hanfstaengl,Franz Hanfstaengl,Franz Seraph,Hanfstaengl,Franz Seraph Hanfstaengl,1804-1877,1804,1877,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500017348
Franz Theodor,Wurbel,Franz Theodor Wurbel,Franz Theodor,Wurbel,Franz Theodor Wurbel,1858-1958,1858,1958,Austrian,Male,http://vocab.getty.edu/page/ulan/500072550
Franz von,Stuck,Franz von Stuck,,Stuck, Stuck,1863-1928,1863,1928,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500006652
Fred G.,Cooper,Fred G. Cooper,,, ,1883-1962,1883,1962,American (North American),Male,http://vocab.getty.edu/page/ulan/500042463
Fred,Nagler,Fred Nagler,,, ,1891-1983,1891,1983,American (North American),Male,http://vocab.getty.edu/page/ulan/500051560
Fred,Taylor,Fred Taylor,Frederick,Taylor,Frederick Taylor,1875-1963,1875,1963,British (modern),Male,http://vocab.getty.edu/page/ulan/500087014
Fred,Westphal,Fred Westphal,Fred,Westphal,Fred Westphal,1871,1871,,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500082407
Freda,Lingstrom,Freda Lingstrom,,, ,1893-1989,1893,1989,British,female,
Frederic 1st Baron Leighton of Stretton,Leighton,Frederic 1st Baron Leighton of Stretton Leighton,,Leighton, Leighton,1830-1896,1830,1896,British (modern),Male,http://vocab.getty.edu/page/ulan/500030022
Frédéric,Laguillermie,Frédéric Laguillermie,,, ,1841-1934,1841,1934,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500020378
Frederic,Remington,Frederic Remington,,Remington, Remington,1861-1909,1861,1909,American (North American),,http://vocab.getty.edu/page/ulan/500024759
Frederick Schiller,Cozzens,Frederick Schiller Cozzens,,, ,1846-1928,1846,1928,American (North American),Male,http://vocab.getty.edu/page/ulan/500021334
Frederick,Tayler,Frederick Tayler,Frederick,Tayler,Frederick Tayler,1802-1889,1802,1889,British (modern),Male,http://vocab.getty.edu/page/ulan/500021236
Friederike Emilie August,O'Connell,Friederike Emilie August O'Connell,,, ,1823-1885,1823,1885,"German (culture, style, period)",female,http://vocab.getty.edu/page/ulan/500057266
Friedrich August,Schlegel,Friedrich August Schlegel,Friedrich August,Schlegel,Friedrich August Schlegel,1828-1928,1828,1928,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500091512
Fritz,Eichenberg,Fritz Eichenberg,,, ,1901-1990,1901,1990,American (North American),Male,http://vocab.getty.edu/page/ulan/500045266
Gabor,Peterdi,Gabor Peterdi,Gábor,Peterdi,Gábor Peterdi,1915-2015,1915,2015,American (North American),Male,http://vocab.getty.edu/page/ulan/500022299
Gabriel,Warren,Gabriel Warren,,, ,,,,,Male,
Gabriele,Evertz,Gabriele Evertz,,, ,1945,1945,,"German (culture, style, period)",female,http://vocab.getty.edu/page/ulan/500333803
Gail,Gregg,Gail Gregg,,, ,,,,American,female,
Georg,Ehrlich,Georg Ehrlich,,, ,1897-1966,1897,1966,British (modern),Male,http://vocab.getty.edu/page/ulan/500021625
Georg,Pencz,Georg Pencz,,Pentz, Pentz,1490-1550,1490,1550,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500006353
George,Bellows,George Bellows,George Wesley,Bellows,George Wesley Bellows,1882-1925,1882,1925,American (North American),Male,http://vocab.getty.edu/page/ulan/500003261
George Benjamin,Luks,George Benjamin Luks,,, ,1867-1933,1867,1933,American (North American),Male,http://vocab.getty.edu/page/ulan/500007311
George Elmer,Browne,George Elmer Browne,George,Browne,George Browne,1871-1946,1871,1946,American (North American),Male,http://vocab.getty.edu/page/ulan/500000067
George Etta Brinkley,Cohen,George Etta Brinkley Cohen,,, ,1854-1930,1854,1930,American,female,
George,Grosz,George Grosz,Georg,Grosz,Georg Grosz,1893-1959,1893,1959,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500014558
George Hand,Wright,George Hand Wright,George Hand,Wright,George Hand Wright,1872-1951,1872,1951,American (North American),Male,http://vocab.getty.edu/page/ulan/500017128
George,Illian,George Illian,,, ,1894-1932,1894,1932,American,Male,
George Jr.,Inness,George Jr. Inness,Jr.,George Inness,Jr. George Inness,1853-1926,1853,1926,American (North American),Male,http://vocab.getty.edu/page/ulan/500018526
George King,Stark,George King Stark,,, ,1923-,1923,,American,Male,
George,Morland,George Morland,,Moreland, Moreland,1763-1804,1763,1804,British (modern),Male,http://vocab.getty.edu/page/ulan/500031295
George Peter Alexander,Healy,George Peter Alexander Healy,,Healey, Healey,1813-1894,1813,1894,American (North American),Male,http://vocab.getty.edu/page/ulan/500022150
George,Romney,George Romney,,Romny, Romny,1734-1802,1734,1802,British (modern),Male,http://vocab.getty.edu/page/ulan/500115779
George,Sugarman,George Sugarman,George,Sugarman,George Sugarman,1912-1999,1912,1999,American (North American),Male,http://vocab.getty.edu/page/ulan/500016027
Georges,Braque,Georges Braque,,, ,1882-1963,1882,1963,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500025200
Georges,Michel,Georges Michel,,Michel, Michel,1763-1843,1763,1843,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500021197
Georges,Rouault,Georges Rouault,Georges,Rouault,Georges Rouault,1871-1958,1871,1958,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500024798
