ArtistFirst,ArtistLast,ArtistFull,ArtistAliasFirst,ArtistAliasLast,AliasFull,ArtistYears,born,died,ArtistNationality,ArtistGender,ulan
Melville Thomas,Wire,Melville Thomas Wire,Melville Thomas,Wire,Melville Thomas Wire,1877-1966,1877,1966,American (North American),Male,http://vocab.getty.edu/page/ulan/500335773
Merrill,Wagner,Merrill Wagner,Merrill,Wagner,Merrill Wagner,1935,1935,,American (North American),Male,http://vocab.getty.edu/page/ulan/500058940
Meyer,Wolfe,Meyer Wolfe,,, ,1897-1985,1897,1985,American,Male,
Michael,Challenger,Michael Challenger,,, ,1939,1939,,British (modern),Male,http://vocab.getty.edu/page/ulan/500010688
Michael,Kempson,Michael Kempson,,, ,1961-,1961,,Australian,Male,
Michael,Kidner,Michael Kidner,,, ,1917-2017,1917,2017,British (modern),Male,http://vocab.getty.edu/page/ulan/500028839
Michael,Krueger,Michael Krueger,,, ,1967-,1967,,American,Male,
Michael,Mazur,Michael Mazur,,, ,1935-2009,1935,2009,American (North American),Male,http://vocab.getty.edu/page/ulan/500094336
Michael,Peel,Michael Peel,,, ,1951,1951,,British (modern),Male,http://vocab.getty.edu/page/ulan/500014926
Michael,Wolgemut,Michael Wolgemut,,Wohlgemuth, Wohlgemuth,1434-1519,1434,1519,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500031446
Michel,Anguier,Michel Anguier,,Anguier, Anguier,1612-1686,1612,1686,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500018160
Michiel van,Musscher,Michiel van Musscher,,, ,1645-1705,1645,1705,Dutch (culture or style),Male,http://vocab.getty.edu/page/ulan/500000139
Mike,McIntyre,Mike McIntyre,,, ,,,,,Male,
Milton,Avery,Milton Avery,,Avery, Avery,1893-1965,1893,1965,American (North American),Male,http://vocab.getty.edu/page/ulan/500002713
Milton,Resnick,Milton Resnick,Milton,Resnick,Milton Resnick,1917-2004,1917,2004,American (North American),,http://vocab.getty.edu/page/ulan/500007270
Mimmo,Paladino,Mimmo Paladino,,, ,1948,1948,,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500021173
Miquel,Vilá,Miquel Vilá,,, ,1940-,1940,,Spanish,Male,
Miriam,Schapiro,Miriam Schapiro,Miriam,Schapiro,Miriam Schapiro,1923-2015,1923,2015,American (North American),female,http://vocab.getty.edu/page/ulan/500028006
Miriam,Zartarian,Miriam Zartarian,,, ,,,,American ,female,
Mitchell,Chamberlain,Mitchell Chamberlain,,, ,,,,American,Male,
Mona,Hatoum,Mona Hatoum,,, ,1952,1952,,Palestinian,female,http://vocab.getty.edu/page/ulan/500033131
Morris,Davidson,Morris Davidson,,, ,1898-1979,1898,1979,American (North American),,http://vocab.getty.edu/page/ulan/500484365
Myra Kathleen,Hughes,Myra Kathleen Hughes,,, ,1877-1918,1877,1918,Irish,female,http://vocab.getty.edu/page/ulan/500024734
Nakabayashi,Chikkei,Nakabayashi Chikkei,,, ,1816-1867,1816,1867,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500123321
Nancy,Manter,Nancy Manter,,, ,1951-,1951,,American,female,
Naomi,Boretz,Naomi Boretz,,, ,1920,1920,,American (North American),female,http://vocab.getty.edu/page/ulan/500110138
Nassos,Daphnis,Nassos Daphnis,,, ,1914-2010,1914,2010,American (North American),Male,http://vocab.getty.edu/page/ulan/500004321
Nathaniel,Currier,Nathaniel Currier,,, ,1813-1888,1813,1888,American (North American),Male,http://vocab.getty.edu/page/ulan/500115501
Nathaniel,Sparks,Nathaniel Sparks,Nathaniel,Sparks,Nathaniel Sparks,1880-1957,1880,1957,British (modern),Male,http://vocab.getty.edu/page/ulan/500083565
Newton E.,Griffith,Newton E. Griffith,,, ,1850,1850,,American (North American),Male,http://vocab.getty.edu/page/ulan/500277868
Niccolò,Vicentino,Niccolò Vicentino,Niccolò,Vicentino,Niccolò Vicentino,1500-1600,1500,1600,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500327629
Nicholaes,Berchem,Nicholaes Berchem,,Bergen, Bergen,1620-1683,1620,1683,Dutch (culture or style),Male,http://vocab.getty.edu/page/ulan/500010297
Nicholas,Krushenick,Nicholas Krushenick,,, ,1929-1999,1929,1999,American (North American),Male,http://vocab.getty.edu/page/ulan/500000295
Nicholas,Monro,Nicholas Monro,,, ,1936,1936,,British (modern),Male,http://vocab.getty.edu/page/ulan/500017948
Nick,Butcher,Nick Butcher,,, ,,,,American,Male,
Nicolaes de,Bruyn,Nicolaes de Bruyn,,, ,1571-1656,1571,1656,Flemish (culture or style),Male,http://vocab.getty.edu/page/ulan/500013601
Nicolas de I,Larmessin,Nicolas de I Larmessin,Nicolas de Larmessin,I,Nicolas de Larmessin I,1583-1683,1583,1683,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500124876
Nicolas,Delaunay,Nicolas Delaunay,Nicolas de,Launay,Nicolas de Launay,1739-1792,1739,1792,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500024572
Nicolas Garcia,Uriburu,Nicolas Garcia Uriburu,Nicolás,García Uriburu,Nicolás García Uriburu,1937-2016,1937,2016,Argentine,Male,http://vocab.getty.edu/page/ulan/500273640
Nicolas,Lauwers,Nicolas Lauwers,,, ,1600-1652,1600,1652,Flemish (culture or style),Male,http://vocab.getty.edu/page/ulan/500152271
Nicolò della,Casa,Nicolò della Casa,,, ,1513-1613,1513,1613,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500019377
Ninon,Lacey,Ninon Lacey,,, ,1923-,1923,,American,female,
Nishikawa,Sukenobu,Nishikawa Sukenobu,,Ukyō, Ukyō,1671-1751,1671,1751,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500118860
Nola,Zirin,Nola Zirin,,, ,,,,American,female,
Olen,Bryant,Olen Bryant,,, ,1927-2017,1927,2017,American,Male,
Oscar,Magnan,Oscar Magnan,,, ,1937-,1937,,Cuban,Male,
Oskar,Kokoschka,Oskar Kokoschka,,, ,1886-1980,1886,1980,Austrian,Male,http://vocab.getty.edu/page/ulan/500024536
Ossip,Zadkine,Ossip Zadkine,Ossip,Zadkine,Ossip Zadkine,1890-1967,1890,1967,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500007328
Oswaldo,Guayasamín,Oswaldo Guayasamín,,, ,1920-1999,1920,1999,Ecuadorian,Male,http://vocab.getty.edu/page/ulan/500037784
Otto Henry,Bacher,Otto Henry Bacher,,, ,1856-1909,1856,1909,American (North American),Male,http://vocab.getty.edu/page/ulan/500027140
Pablo,O'Higgins,Pablo O'Higgins,,, ,1904-1983,1904,1983,American (North American),Male,http://vocab.getty.edu/page/ulan/500062848
Pablo,Picasso,Pablo Picasso,,, ,1881-1973,1881,1973,Spanish (culture or style),Male,http://vocab.getty.edu/page/ulan/500009666
Pantaleón,Mendoza,Pantaleón Mendoza,,, ,,,,Columbian,Male,
Patricia Jean,Burg,Patricia Jean Burg,,, ,1934,1934,,Canadian,female,http://vocab.getty.edu/page/ulan/500064860
Patrick,Caulfield,Patrick Caulfield,,, ,1936-2005,1936,2005,British (modern),Male,http://vocab.getty.edu/page/ulan/500015976
Patrick,Gosnell,Patrick Gosnell,,, ,,,,American,Male,
Paul Augustin,Aïzpiri,Paul Augustin Aïzpiri,,, ,1919-2019,1919,2019,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500048083
Paul,Berger,Paul Berger,,, ,,,,,Male,
Paul,Brach,Paul Brach,Paul Henry,Brach,Paul Henry Brach,1924-2007,1924,2007,American (North American),Male,http://vocab.getty.edu/page/ulan/500018752
Paul,D'Amato,Paul D'Amato,,, ,1956,1956,,American (North American),Male,http://vocab.getty.edu/page/ulan/500463231
Paul Falconer,Poole,Paul Falconer Poole,,Poole, Poole,1807-1879,1807,1879,British (modern),Male,http://vocab.getty.edu/page/ulan/500029741
Paul,Gavarni,Paul Gavarni,,, ,1804-1866,1804,1866,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500006992
Paul,Heald,Paul Heald,,, ,1936,1936,,American (North American),Male,http://vocab.getty.edu/page/ulan/500108363
Paul,Lancaster,Paul Lancaster,,, ,1930-,1930,,American,Male,
Paul,Landacre,Paul Landacre,,, ,1893-1963,1893,1963,American (North American),Male,http://vocab.getty.edu/page/ulan/500069734
Paul,Nabb,Paul Nabb,,, ,,,,American,Male,
Paul,Sandby,Paul Sandby,Paul,Sandby,Paul Sandby,1725-1809,1725,1809,British (modern),Male,http://vocab.getty.edu/page/ulan/500010522
Paul,Seignac,Paul Seignac,Paul,Seignac,Paul Seignac,1826-1904,1826,1904,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500027520
Paul,Stahr,Paul Stahr,Paul,Stahr,Paul Stahr,1883-1953,1883,1953,American (North American),Male,http://vocab.getty.edu/page/ulan/500467955
Paul,Tosh,Paul Tosh,,, ,,,,,Male,
Paul,Weber,Paul Weber,,Weber, Weber,1823-1916,1823,1916,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500011997
Paul-Adolphe,Rajon,Paul-Adolphe Rajon,Paul-Adolphe,Rajon,Paul-Adolphe Rajon,1842-1888,1842,1888,French (culture or style),,http://vocab.getty.edu/page/ulan/500019115
Paulus,Moreelse,Paulus Moreelse,,Morelli, Morelli,1571-1638,1571,1638,Dutch (culture or style),Male,http://vocab.getty.edu/page/ulan/500006080
Paulus,Pontius,Paulus Pontius,,, ,1603-1658,1603,1658,Flemish (culture or style),Male,http://vocab.getty.edu/page/ulan/500010060
Peggy,Smith,Peggy Smith,Peggy,Smith,Peggy Smith,1861,1861,,American (North American),female,http://vocab.getty.edu/page/ulan/500055676
Peintre,d'Haverford,Peintre d'Haverford,Haverford,Painter,Haverford Painter,410-320 BCE,,,Greek (modern),,http://vocab.getty.edu/page/ulan/500094857
Percy Bryant,Baker,Percy Bryant Baker,Percy Bryant,Baker,Percy Bryant Baker,1881-1970,1881,1970,British (modern),Male,http://vocab.getty.edu/page/ulan/500112308
Pere,Puiggros,Pere Puiggros,,, ,1942-,1942,,Spanish,Male,
Pericle,Fazzini,Pericle Fazzini,,, ,1913-1987,1913,1987,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500012647
Peter Frederick,Rothermel,Peter Frederick Rothermel,Peter Frederick,Rothermel,Peter Frederick Rothermel,1817-1895,1817,1895,American (North American),Male,http://vocab.getty.edu/page/ulan/500032416
Peter Le,Cave,Peter Le Cave,,Cave, Cave,1769-1801,1769,1801,British (modern),Male,http://vocab.getty.edu/page/ulan/500025793
Peter Paul,Rubens,Peter Paul Rubens,,Reuben, Reuben,1577-1640,1577,1640,Flemish (culture or style),Male,http://vocab.getty.edu/page/ulan/500002921
Peter,Solow,Peter Solow,Peter,Solow,Peter Solow,1870,1870,,American (North American),Male,http://vocab.getty.edu/page/ulan/500081644
Peter,Stroud,Peter Stroud,Peter,Stroud,Peter Stroud,1921,1921,,American (North American),Male,http://vocab.getty.edu/page/ulan/500009566
Peter,Turnley,Peter Turnley,,, ,1955-,1955,,American,Male,
Peter,Voulkos,Peter Voulkos,Peter,Voulkos,Peter Voulkos,1924-2002,1924,2002,American (North American),Male,http://vocab.getty.edu/page/ulan/500081144
Philip,Galle,Philip Galle,,, ,1537-1612,1537,1612,Flemish (culture or style),Male,http://vocab.getty.edu/page/ulan/500016136
Philip Gilbert,Hamerton,Philip Gilbert Hamerton,,, ,1834-1894,1834,1894,British (modern),Male,http://vocab.getty.edu/page/ulan/500048327
Philip James de,Loutherbourg,Philip James de Loutherbourg,,Lauterbach, Lauterbach,1740-1812,1740,1812,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500019411
Philip,Pearlstein,Philip Pearlstein,,, ,1924,1924,,American (North American),Male,http://vocab.getty.edu/page/ulan/500011988
Philip William,May,Philip William May,,, ,1864-1903,1864,1903,British (modern),Male,http://vocab.getty.edu/page/ulan/500023489
Philippe de,Champaigne,Philippe de Champaigne,,Champagne, Champagne,1602-1674,1602,1674,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500115355
Philippe,Pigouchet,Philippe Pigouchet,Philippe,Pigouchet,Philippe Pigouchet,1452-1552,1452,1552,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500089704
Phillis,Ideal,Phillis Ideal,,, ,,,,American,female,
Pierre,Alechinsky,Pierre Alechinsky,,, ,1927,1927,,Belgian (modern),Male,http://vocab.getty.edu/page/ulan/500027985
Pierre,Bracquemond,Pierre Bracquemond,,, ,1870-1926,1870,1926,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500030909
Pierre,Daret,Pierre Daret,,, ,1600-1678,1600,1678,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500019399
Pierre,Drevet,Pierre Drevet,,, ,1663-1738,1663,1738,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500003983
Pierre,Franz-Cabanes,Pierre Franz-Cabanes,,, ,,,,,Male,
Pierre Gabriel,Langlois,Pierre Gabriel Langlois,,, ,1754-1820,1754,1820,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500069171
Pierre,Haubensak,Pierre Haubensak,,, ,1935,1935,,Swiss,Male,http://vocab.getty.edu/page/ulan/500072009
Pierre,Puvis de Chavannes,Pierre Puvis de Chavannes,Pierre Puvis De,Chavannes,Pierre Puvis De Chavannes,1824-1898,1824,1898,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500008870
Pierre,Ranson,Pierre Ranson,,Ranson, Ranson,1736-1786,1736,1786,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500031549
Pierre-Auguste,Renoir,Pierre-Auguste Renoir,Pierre-Auguste,Renoir,Pierre-Auguste Renoir,1841-1919,1841,1919,French (culture or style),,http://vocab.getty.edu/page/ulan/500115467
Pierre-Jean,David d'Angers,Pierre-Jean David d'Angers,Pierre-Jean David,d'Angers,Pierre-Jean David d'Angers,1788-1856,1788,1856,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500115506
Pierre-Jean,Mariette,Pierre-Jean Mariette,,, ,1694-1774,1694,1774,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500013510
Pieter De,Jode,Pieter De Jode,Pieter de I,Jode,Pieter de I Jode,1570-1634,1570,1634,Flemish (culture or style),Male,http://vocab.getty.edu/page/ulan/500015194
Pieter the Elder,Brueghel,Pieter the Elder Brueghel,Pieter,Brueghel,Pieter Brueghel,1515-1569,1515,1569,Flemish (culture or style),Male,http://vocab.getty.edu/page/ulan/500013247
Pietro Antonio Leone,Bettelini,Pietro Antonio Leone Bettelini,,, ,1763-1829,1763,1829,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500066424
Pietro di Francesco degli,Orioli,Pietro di Francesco degli Orioli,,, ,1458-1496,1458,1496,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500031403
Pietro,Lombardo,Pietro Lombardo,Pietro,Solari,Pietro Solari,1425-1515,1425,1515,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500016577
Pietro,Ruga,Pietro Ruga,Pietro,Ruga,Pietro Ruga,1772-1872,1772,1872,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500054872
Pietro Sante,Bartoli,Pietro Sante Bartoli,,, ,1615-1700,1615,1700,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500019038
Pio,Ricci,Pio Ricci,Pio,Ricci,Pio Ricci,1819-1919,1819,1919,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500068829
Pol,Bury,Pol Bury,,, ,1922-2005,1922,2005,Belgian (modern),Male,http://vocab.getty.edu/page/ulan/500008200
Power,Boothe,Power Boothe,Power Robert,Boothe,Power Robert Boothe,1945,1945,,American (North American),Male,http://vocab.getty.edu/page/ulan/500062805
R. B.,Kitaj,R. B. Kitaj,,, ,1932-2007,1932,2007,American (North American),Male,http://vocab.getty.edu/page/ulan/500007852
R. Buckminster,Fuller,R. Buckminster Fuller,,, ,1895-1983,1895,1983,American (North American),Male,http://vocab.getty.edu/page/ulan/500015697
Rachel,Parrish,Rachel Parrish,,, ,,,,,female,
Rafael,Amengual,Rafael Amengual,,, ,1938-,1938,,Argentinian,Male,
Rafael,Armengol,Rafael Armengol,,, ,1940,1940,,Spanish (culture or style),Male,http://vocab.getty.edu/page/ulan/500039377
Rafael I,Sadeler,Rafael I Sadeler,Rafael Sadeler,I,Rafael Sadeler I,1560-1632,1560,1632,Flemish (culture or style),Male,http://vocab.getty.edu/page/ulan/500026660
Rafael,Tur Costa,Rafael Tur Costa,,, ,1927-,1927,,Spanish,Male,
Rai,San'yō,Rai San'yō,Rai,Jō,Rai Jō,1781-1832,1781,1832,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500324574
Rainer,Pfnür,Rainer Pfnür,,, ,1939,1939,,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500104132
Ralph Eleaser Whiteside,Earl,Ralph Eleaser Whiteside Earl,Ralph,Earl,Ralph Earl,1785-1838,1785,1838,American (North American),Male,http://vocab.getty.edu/page/ulan/500022904
Ralph,Gibson,Ralph Gibson,,, ,1939,1939,,American (North American),Male,http://vocab.getty.edu/page/ulan/500094623
Ralph Hammer,Scharf,Ralph Hammer Scharf,,, ,1923-1993,1923,1993,American,Male,
Randall,Lavender,Randall Lavender,,, ,,,,American,Male,
Raoul,Martinez,Raoul Martinez,,, ,1876-1974,1876,1974,French,Male,
Raoul,Ubac,Raoul Ubac,,Ubac, Ubac,1910-1985,1910,1985,Belgian (modern),Male,http://vocab.getty.edu/page/ulan/500023591
Raphael,Soyer,Raphael Soyer,Raphael,Soyer,Raphael Soyer,1899-1987,1899,1987,American (North American),Male,http://vocab.getty.edu/page/ulan/500009897
Ray,Prohaska,Ray Prohaska,,, ,1901-1981,1901,1981,American (North American),Male,http://vocab.getty.edu/page/ulan/500054113
Red,Grooms,Red Grooms,,, ,1937,1937,,American (North American),Male,http://vocab.getty.edu/page/ulan/500008450
Reginald,Marsh,Reginald Marsh,,Marsh, Marsh,1898-1954,1898,1954,American (North American),Male,http://vocab.getty.edu/page/ulan/500016727
Reika,Iwami,Reika Iwami,,, ,1927,1927,,Japanese (culture or style),female,http://vocab.getty.edu/page/ulan/500469225
Rembrandt van,Rijn,Rembrandt van Rijn,,Rembrandt, Rembrandt,1606-1669,1606,1669,Dutch (culture or style),Male,http://vocab.getty.edu/page/ulan/500011051
Renée,Sintenis,Renée Sintenis,Renée,Sintenis,Renée Sintenis,1888,1888,,undetermined (information indicator),,http://vocab.getty.edu/page/ulan/500489587
Reynold Henry,Weidenaar,Reynold Henry Weidenaar,Reynold Henry,Weidenaar,Reynold Henry Weidenaar,1915-1985,1915,1985,American (North American),Male,http://vocab.getty.edu/page/ulan/500051994
Ricardo,Viera,Ricardo Viera,,, ,1945-2020,1945,2020,Cuban,Male,
Richard,Anuszkiewicz,Richard Anuszkiewicz,Richard Joseph,Anuszkiewicz,Richard Joseph Anuszkiewicz,1930,1930,,American (North American),Male,http://vocab.getty.edu/page/ulan/500025580
Richard,Diebenkorn,Richard Diebenkorn,,, ,1922-1993,1922,1993,American (North American),Male,http://vocab.getty.edu/page/ulan/500025721
Richard,Earlom,Richard Earlom,,, ,1743-1822,1743,1822,British (modern),Male,http://vocab.getty.edu/page/ulan/500018023
Richard,Long,Richard Long,,, ,1940,1940,,American (North American),Male,http://vocab.getty.edu/page/ulan/500005253
Richard Parkes,Bonington,Richard Parkes Bonington,,Bonnington, Bonnington,1802-1828,1802,1828,British (modern),Male,http://vocab.getty.edu/page/ulan/500024171
Richard Samuel,Chattock,Richard Samuel Chattock,,, ,1825-1906,1825,1906,English (culture or style),,http://vocab.getty.edu/page/ulan/500482546
Richard,Smith,Richard Smith,Richard II,Smith,Richard II Smith,1931-2016,1931,2016,British (modern),Male,http://vocab.getty.edu/page/ulan/500018299
Richard,Zoellner,Richard Zoellner,Richard,Zoellner,Richard Zoellner,1909-2003,1909,2003,American (North American),Male,http://vocab.getty.edu/page/ulan/500462230
Rinaldo,Paluzzi,Rinaldo Paluzzi,,, ,1927,1927,,American (North American),Male,http://vocab.getty.edu/page/ulan/500063266
Robert,Barry,Robert Barry,,, ,1936,1936,,American (North American),Male,http://vocab.getty.edu/page/ulan/500053936
Robert,Colescott,Robert Colescott,,, ,1925-2009,1925,2009,American (North American),Male,http://vocab.getty.edu/page/ulan/500102583
Robert,Conover,Robert Conover,Robert Freemont,Conover,Robert Freemont Conover,1920-1998,1920,1998,American (North American),Male,http://vocab.getty.edu/page/ulan/500046076
Robert Frederick,Blum,Robert Frederick Blum,,, ,1857-1903,1857,1903,American (North American),Male,http://vocab.getty.edu/page/ulan/500003750
Robert,Gordy,Robert Gordy,,, ,1933-1986,1933,1986,American (North American),Male,http://vocab.getty.edu/page/ulan/500074594
Robert,Lapoujade,Robert Lapoujade,,, ,1921-1993,1921,1993,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500089858
Robert,Laurent,Robert Laurent,,, ,1890-1970,1890,1970,American (North American),Male,http://vocab.getty.edu/page/ulan/500049308
Robert,Mapplethorpe,Robert Mapplethorpe,,, ,1946-1989,1946,1989,American (North American),Male,http://vocab.getty.edu/page/ulan/500090430
Robert,Motherwell,Robert Motherwell,,, ,1915-1991,1915,1991,American (North American),Male,http://vocab.getty.edu/page/ulan/500016415
Robert,Nanteuil,Robert Nanteuil,,Nanteuil, Nanteuil,1623-1678,1623,1678,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500023363
Robert,Quijada,Robert Quijada,Robert,Quijada,Robert Quijada,1937-1994,1937,1994,American (North American),,http://vocab.getty.edu/page/ulan/500096712
Robert,Rauschenberg,Robert Rauschenberg,Robert,Rauschenberg,Robert Rauschenberg,1925-2008,1925,2008,American (North American),Male,http://vocab.getty.edu/page/ulan/500002941
Robert,Riggs,Robert Riggs,Robert,Riggs,Robert Riggs,1896-1970,1896,1970,American (North American),Male,http://vocab.getty.edu/page/ulan/500105897
Robert Smullyan,Sloan,Robert Smullyan Sloan,Robert Smullyan,Sloan,Robert Smullyan Sloan,1915-2013,1915,2013,American (North American),Male,http://vocab.getty.edu/page/ulan/500027254
Robert,Storr,Robert Storr,Robert,Storr,Robert Storr,1949,1949,,American (North American),Male,http://vocab.getty.edu/page/ulan/500461115
Robert,Swain,Robert Swain,Robert,Swain,Robert Swain,1940,1940,,American (North American),Male,http://vocab.getty.edu/page/ulan/500017096
Robert W.,Loberg,Robert W. Loberg,,, ,1927-1999,1927,1999,American,Male,
Roberto,Matta,Roberto Matta,,Matta, Matta,1911-2002,1911,2002,Chilean,Male,http://vocab.getty.edu/page/ulan/500057123
Roberto,Otero,Roberto Otero,,, ,1931-2004,1931,2004,Argentine,Male,http://vocab.getty.edu/page/ulan/500338469
Rockwell,Kent,Rockwell Kent,,Kent, Kent,1882-1971,1882,1971,American (North American),Male,http://vocab.getty.edu/page/ulan/500006820
Roger,Ackling,Roger Ackling,,, ,1947,1947,,British (modern),Male,http://vocab.getty.edu/page/ulan/500110383
Roger,Caillois,Roger Caillois,,, ,1913-1978,1913,1978,French,Male,
Roland,Penrose,Roland Penrose,Roland Algernon,Penrose,Roland Algernon Penrose,1900-1984,1900,1984,British (modern),Male,http://vocab.getty.edu/page/ulan/500004543
Rolf,Key-Oberg,Rolf Key-Oberg,,, ,1900-1959,1900,1959,American,Male,
Roman,Cieslewicz,Roman Cieslewicz,,, ,1930-1996,1930,1996,Polish (culture),Male,http://vocab.getty.edu/page/ulan/500020802
Roman,Valles,Roman Valles,Roman,Valles,Roman Valles,1923,1923,,Spanish (culture or style),Male,http://vocab.getty.edu/page/ulan/500056913
Romare,Bearden,Romare Bearden,Romare Howard,Bearden,Romare Howard Bearden,1911-1988,1911,1988,American (North American),Male,http://vocab.getty.edu/page/ulan/500007871
Romeyn de,Hooghe,Romeyn de Hooghe,,Hooghe, Hooghe,1645-1708,1645,1708,Dutch (culture or style),Male,http://vocab.getty.edu/page/ulan/500015656
Ron,Adams,Ron Adams,,, ,1934,1934,,American (North American),Male,http://vocab.getty.edu/page/ulan/500089276
Ronald,King,Ronald King,Ron,King,Ron King,1932,1932,,British (modern),Male,http://vocab.getty.edu/page/ulan/500118053
Ronald,McBurnie,Ronald McBurnie,,, ,,,,,Male,
Roni,Horn,Roni Horn,,, ,1955,1955,,American (North American),female,http://vocab.getty.edu/page/ulan/500062257
Rosalyn,Drexler,Rosalyn Drexler,,, ,1926,1926,,American (North American),female,http://vocab.getty.edu/page/ulan/500470238
Rosalyn,Richards,Rosalyn Richards,,, ,,,,,female,
Rosana,Paulino,Rosana Paulino,,, ,1967,1967,,Brazilian,female,http://vocab.getty.edu/page/ulan/500356504
Roser,Bru,Roser Bru,,, ,1923,1923,,Spanish (culture or style),female,http://vocab.getty.edu/page/ulan/500055921
Ross,Bleckner,Ross Bleckner,,, ,1949,1949,,American (North American),Male,http://vocab.getty.edu/page/ulan/500118722
Roy Dean,De Forest,Roy Dean De Forest,Roy Dean De,Forest,Roy Dean De Forest,1930-2007,1930,2007,American (North American),Male,http://vocab.getty.edu/page/ulan/500027754
Roy,Lichtenstein,Roy Lichtenstein,,, ,1923-1997,1923,1997,American (North American),Male,http://vocab.getty.edu/page/ulan/500013596
Roy,Villevoye,Roy Villevoye,,, ,1960-,1960,,Dutch,Male,
Rudolf,Mauke,Rudolf Mauke,,, ,1924,1924,,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500094814
Rudy,Pozzatti,Rudy Pozzatti,Rudy O.,Pozzatti,Rudy O. Pozzatti,1925,1925,,American (North American),Male,http://vocab.getty.edu/page/ulan/500029096
Rufino,Tamayo,Rufino Tamayo,,Tamayo, Tamayo,1899-1991,1899,1991,Mexican,Male,http://vocab.getty.edu/page/ulan/500024331
Russell,Richardson,Russell Richardson,,, ,,,,,Male,
Ruth,Eckstein,Ruth Eckstein,,, ,1916-2011,1916,2011,American (North American),female,http://vocab.getty.edu/page/ulan/500462046
Ruth,Leaf,Ruth Leaf,,, ,1900,1900,,American (North American),female,http://vocab.getty.edu/page/ulan/500049549
Sadao,Watanabe,Sadao Watanabe,Sadao,Watanabe,Sadao Watanabe,1913-1996,1913,1996,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500464460
Sadie,Rosenblum,Sadie Rosenblum,Sadie Skoletsky,Rosenblum,Sadie Skoletsky Rosenblum,1899-1982,1899,1982,American (North American),female,http://vocab.getty.edu/page/ulan/500337489
Sakai,Hōitsu,Sakai Hōitsu,Hōitsu,Sakai,Hōitsu Sakai,1761-1828,1761,1828,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500121066
Sally,Gall,Sally Gall,,, ,1956,1956,,American (North American),female,http://vocab.getty.edu/page/ulan/500040932
Sally,Mann,Sally Mann,,, ,1951,1951,,American (North American),female,http://vocab.getty.edu/page/ulan/500105206
Salvador,Dalí,Salvador Dalí,,, ,1904-1989,1904,1989,Spanish (culture or style),Male,http://vocab.getty.edu/page/ulan/500009365
Sam,Barber,Sam Barber,,, ,,,,American,Male,
Sam,Durant,Sam Durant,,, ,1961,1961,,American (North American),Male,http://vocab.getty.edu/page/ulan/500121146
Sam,Gilliam,Sam Gilliam,,, ,1933,1933,,American (North American),Male,http://vocab.getty.edu/page/ulan/500013570
Samuel,Palmer,Samuel Palmer,,, ,1805-1881,1805,1881,British (modern),Male,http://vocab.getty.edu/page/ulan/500020452
Sara,Langworthy,Sara Langworthy,,, ,,,,American,female,
Sarah,Hulsey,Sarah Hulsey,,, ,,,,American,female,
Sarah,McCoy,Sarah McCoy,,, ,,,,American,female,
Saul,Bass,Saul Bass,,, ,1920-1996,1920,1996,American (North American),Male,http://vocab.getty.edu/page/ulan/500021030
