name,cs_name,alias,cs_alias,wikidata_description,country,born,born_jstor,cs_born,died,died_jstor,cs_died,birthplace,deathplace,gender,ulan_url,ulan,cs_nationality,artist_type,birth_city,birth_state,description,last_first,creator_string,qc,occupation,sex
Diana Sudyka,Diana Sudyka,,,American printmaker,Q30,1972,1972,,,,,,,f,,,American,printmaker,,,1972-,"Sudyka, Diana","['Sudyka, Diana (1972-)']",100 Diana Sudyka /  / Diana Sudyka / - / 1972-,Q11569986,Q6581072
Matt Egan,,,,artist,Q16,1973,1973,,,,,Q52999,,,,,,artist,Newmarket, Ontario,"1973-, born Newmarket, Ontario, Canada","Egan, Matt","['Egan, Matt, Muise, Heather (1973-, 1971-, born Newmarket, Ontario, Canada; Windsor, Ontario, Canada)']",,Q483501,
Mat Daly,,,,printmaker,,1974,1974,,,,,,,m,,,,printmaker,,,1974-,"Daly, Mat","['Daly, Mat (1974-)']",,Q11569986,Q6581097
Dan Jimerfield,Dan Jimerfield,,,printmaker,Q30,1974,1974,,,,,,,m,,,,printmaker,Cumberland, MO,"1974-, born Cumberland, MO","Jimerfield, Dan","['Jimerfield, Dan (1974-, born Cumberland, MO)', 'Jimerfield, Dan, for Hatch Show Print (1974-, born Cumberland, MO)']",100 Dan Jimerfield /  / Dan Jimerfield / - / 1974-,Q11569986,Q6581097
Bryce McCloud,Bryce McCloud,,,American printmaker,Q30,1975,1975,,,,,Q23197,,m,,,"Nashville, TN",printmaker,Nashville, TN,"1975, born Nashville, TN","McCloud, Bryce","[""McCloud, Bryce (1975, born Nashville, TN)"",""McCloud, Bryce (1975-, born Nashville, TN)"",""McCloud, Bryce (Nashville, TN, born 1975-)"",""McCloud, Bryce, (1975-, born Nashville, TN)"",""McCloud, Bryce, for Hatch Show Print (1975-, born Nashville, TN)"",""Bryce McCloud (1975, born Nashville, TN)""]",100 Bryce McCloud /  / Bryce McCloud / - / 1975-,Q11569986,Q6581097
Travis Millard,Travis Millard,,,printmaker,Q30,1975,1975,,,,,Q745120,,m,,,,printmaker,St. Joseph, MO,"1975-, born St. Joseph, MO","Millard, Travis","['Millard, Travis (1975-, born St. Joseph, MO)', 'Millard, Travis']",100 Travis Millard /  / Travis Millard / - / 1975-,Q11569986,Q6581097
Joel Shane,,,,printmaker,Q16,1976,1976,,,,,Q2135,,m,,,,printmaker,Winnipeg, Manitoba,"1976-, born Winnipeg, Manitoba, Canada","Shane, Joel","['Shane, Joel (1976-, born Winnipeg, Manitoba, Canada)']",,Q11569986,Q6581097
Karsten Creightney,,,,printmaker,Q30,1976,1976,,,,,Q34804,,m,,,,printmaker,Albuquerque, New Mexico,"1976-, born Albuquerque, New Mexico","Creightney, Karsten","['Creightney, Karsten  (1976-, born Albuquerque, New Mexico)']",,Q11569986,Q6581097
Sarah McCoy,Sarah McCoy,,,American printmaker,Q30,1976,1976,,,,,Q43788,,f,,,American,printmaker,Madison, WI,"1976-, born Madison, WI","McCoy, Sarah","['McCoy, Sarah  (1976-, born Madison, WI)']",100 Sarah McCoy /  / Sarah McCoy / - / 1976-,Q11569986,Q6581072
Jeremy D. Maynard,,,,printmaker,Q30,1977,1977,,,,,Q23197,,m,,,,printmaker,Nashville, TN,"1977-, born Nashville, TN","Maynard, Jeremy D.","['Maynard, Jeremy D. (1977-, born Nashville, TN)', 'Maynard, Jeremy D., (1977-, born Nashville, TN)', 'Maynard, Jeremy D., for Hatch Show Print (1977-, born Nashville, TN)', 'Jeremy D. Maynard (1977-, born Nashville, TN)']",,Q11569986,Q6581097
Toby Sherrard,,,,printmaker,Q30,1977,1977,,,,,Q5083,,m,,,,printmaker,Seattle, WA,"1977-, born Seattle, WA","Sherrard, Toby","['Sherrard, Toby (1977-, born Seattle, WA)']",,Q11569986,Q6581097
Edan M. Bryant,Edan M. Bryant,,,American printmaker,Q30,1978,1978,,,,,Q23197,,m,,,American,printmaker,Nashville, TN,"1978-, born Nashville, TN","Bryant, Edan M.","['Bryant, Edan M. (1978-, born Nashville, TN)', 'Bryant, Edan M. 1978, born Nashville, TN)', 'Bryant, Edan M., (1978-, born Nashville, TN)', 'Bryant, Edan M., for Hatch Show Print (1978-, born Nashville, TN)']",100 Edan M. Bryant /  / Edan M. Bryant / - / 1978-,Q11569986,Q6581097
Erin Salter,,,,printmaker,Q30,1978,1978,,,,,Q23197,,f,,,,printmaker,Nashville, TN,"1978-, born Nashville, TN","Salter, Erin","['Salter, Erin (1978-, born Nashville, TN)']",,Q11569986,Q6581072
Caleb Cain Marcus,Caleb Cain Marcus,,,American photographer,Q30,1978,1978,1978,,,,Q30,,m,,,American,photographer,U.S.A.,,"1978-, born U.S.A.","Marcus, Caleb Cain","['Marcus, Caleb Cain (1978-, born U.S.A.)']",100 Caleb Cain Marcus /  / Caleb Cain Marcus,Q33231,Q6581097
Mike McIntyre,Mike McIntyre,,,printmaker,Q30,1978,1978,,,,,Q38022,,m,,,,printmaker,St. Louis, MO,"1978-, born St. Louis, MO","McIntyre, Mike","['McIntyre, Mike (1978-, born St. Louis, MO)']",100 Mike McIntyre /  / Mike McIntyre / - / 1978-,Q11569986,Q6581097
Jenny Gill,Jenny Gill,,,printmaker,Q30,1979,1979,,,,,Q487315,,f,,,,printmaker,Monterey, CA,"1979-, born Monterey, CA","Gill, Jenny","['Gill, Jenny (1979-, born Monterey, CA)', 'Gill, Jenny (1979, born Monterey, CA)']",100 Jenny Gill /  / Jenny Gill / - / 1979-,Q11569986,Q6581072
Nick Butcher,Nick Butcher,,,American painter,Q30,1980,1980,,,,,Q1268670,,m,,,American,painter,Dyersburg, TN,"1980-, born Dyersburg, TN","Butcher, Nick","['Butcher, Nick (1980-, born Dyersburg, TN)']",100 Nick Butcher /  / Nick Butcher / - / 1980-,Q1028181,Q6581097
Kathleen O'Connell,Kathleen O'Connell,,,American printmaker,Q30,1980,1980,,,,,Q998669,,f,,,American,printmaker,Plattsburgh, NY,"1980-, born Plattsburgh, NY","O'Connell, Kathleen","[""O'Connell, Kathleen (1980-, born Plattsburgh, NY)""]",100 Kathleen O'Connell /  / Kathleen O'Connell / - / 1980-,Q11569986,Q6581072
Casey D. Gill,,"[""Casey Gill""]",,printmaker,Q30,1981,1981,,,,,Q487315,,,,,,printmaker,Monterey, CA,"1981, born Monterey, CA",Casey D.Gill,"['Gill, Casey (1981-, born Monterey, CA)', 'Gill, Casey (1981, born Monterey, CA)', 'Casey D.Gill (1981, born Monterey, CA)']",,Q11569986,
Annie Herlocker,Annie Herlocker,,,printmaker,Q30,1982,1982,,,,,Q6346,,f,,,,printmaker,Indianapolis, IN,"1982-, born Indianapolis, IN","Herlocker, Annie","['Herlocker, Annie  (1982-, born Indianapolis, IN)']",100 Annie Herlocker /  / Annie Herlocker / - / 1982-,Q11569986,Q6581072
Alexandra Janezic,,,,printmaker,Q30,1988,1988,,,,,Q982388,,m,,,,printmaker,Orange, TX,"1988-, born Orange, TX","Janezic, Alexandra","['Janezic, Alexandra and Runkle, Matt (1988-, 1977-, born Orange, TX; Spokane, WA)']",,Q11569986,Q6581097
Patrick Gosnell,Patrick Gosnell,,,American printmaker,Q30,1989,1989,,,,,Q23556,,m,,,American,printmaker,Atlanta, GA,"1989-, born Atlanta, GA","Gosnell, Patrick","['Gosnell, Patrick (1989-, born Atlanta, GA)']",100 Patrick Gosnell /  / Patrick Gosnell / - / 1989-,Q11569986,Q6581097
Levi Sherman,,,,printmaker,Q30,1990,1990,,,,,Q5083,,m,,,,printmaker,Seattle, WA,"1990-, born Seattle, WA","Sherman, Levi","['Sherman, Levi and Gomez, Carly (1990-, born Seattle, WA)']",,Q11569986,Q6581097
Zhongbao Yao,,,,painter,Q13426199,1870,,,1924,1924,,Q956,,,,,,painter,Beijing, China,"-1924, born Beijing, China",Yao Zhongbao,"['Yao Zhongbao (-1924, born Beijing, China)']",,Q1028181,
Ray Wakeland,,,,ceramic artist,Q30,,,,1964,1964,,Q646230,,,,,,ceramic artist,Monteagle, TN,"-1964, born Monteagle, TN","Wakeland, Ray","['Wakeland, Ray (-1964, born Monteagle, TN)']",,Q7541856,
Giuseppe Raffetto,,,,drawer,Q38,,,,,,,Q1449,,m,,,,drawer,"Genoa, Italy",,"ca. 1750, born Genoa, Italy","Raffetto, Giuseppe","['Raffetto, Giuseppe (ca. 1750, born Genoa, Italy)', 'Raffetto, Giuseppe']",,Q15296811,Q6581097
Sara Langworthy,Sara Langworthy,,,American printmaker,Q30,,,,,,,Q1546,,f,,,American,printmaker,,IA,,"Langworthy, Sara","['Langworthy, Sara']",100 Sara Langworthy /  / Sara Langworthy,Q11569986,Q6581072
Gigi Aramescu,,"[""Georgeta Aramescu""]",,Romanian-American painter,Q30,1910,,,1994,,,Q170996,,f,,,,painter,Galatz,Romania,"born Galatz, Romania","Aramesco, Gigi","['Aramesco, Gigi (born Galatz, Romania)']",,Q1028181,Q6581072
Anita Gibson,,,,printmaker,Q419,,,,,,,Q211795,,f,,,,printmaker,Lima,Peru,", born Lima, Peru","Gibson, Anita","['Gibson, Anita (, born Lima, Peru)', 'Gibson, Anita', 'Gibson, Anita  (born Lima, Peru)']",,Q11569986,Q6581072
Louise De Gignilliet Rogers,Louise De Gignilliat Rogers,,,American printmaker,Q30,,,,,,,Q219656,,f,,,American,printmaker,Macon,GA,"born Macon, GA","Rogers, Louise De Gignilliet","['Rogers, Louise De Gignilliet (born Macon, GA)', 'Rogers, Louise De Gignilliet']",96 Louise De Gignilliat Rogers /  / Louise De Gignilliet Rogers,Q11569986,Q6581072
Tim Hooper,Tim Hooper,,,printmaker,Q30,,,,,,,Q23197,,m,,,,printmaker,Nashville,TN,"ca. 1970, born Nashville, TN","Hooper, Tim","['Hooper, Tim (ca. 1970, born Nashville, TN)']",100 Tim Hooper /  / Tim Hooper,Q11569986,Q6581097
Katherine J. Fries,,,,printmaker,Q30,,,,,,,Q28260,,f,,,,printmaker,Lincoln,NE,", born Lincoln, NE","Fries, Katherine J.","['Fries, Katherine J. (, born Lincoln, NE)']",,Q11569986,Q6581072
Genzaburo Hayashi,,,,painter,Q17,,,,,,,Q34600,,,,,,painter,Kyoto,Japan,"born Kyoto, Japan","Hayashi, Genzaburo","['Hayashi, Genzaburo (born Kyoto, Japan)']",,Q1028181,
Sarah Hulsey,Sarah Hulsey,,,American printmaker,Q30,,,,,,,Q34863,,f,,,American,printmaker,Oklahoma City,OK,", born Oklahoma City, OK","Hulsey, Sarah","['Hulsey, Sarah (, born Oklahoma City, OK)']",100 Sarah Hulsey /  / Sarah Hulsey,Q11569986,Q6581072
Scott Russell,,,,"printmaker, for Hatch Show Print",Q30,,,,,,,Q490385,,m,,,,printmaker,Bloomington,IN,"born Bloomington, IN","Russell, Scott","['Russell, Scott, for Hatch Show Print (born Bloomington, IN)']",,Q11569986,Q6581097
Ch'en Ku,,,,painter,,,,,,,,Q57719,,,,,,painter, P'eng-Ch'eng,China,", born P'eng-Ch'eng, China",Ch'en Ku,"[""Ch'en Ku (, born P'eng-Ch'eng, China)""]",,Q1028181,
Jacob Vanderbilt,Jacob Vanderbilt,,,"American painter, active early 20th century around New York",Q30,,,,,,,,,m,,,American,painter,,,,"Vanderbilt, Jacob","['Vanderbilt, Jacob']",100 Jacob Vanderbilt /  / Jacob Vanderbilt,Q1028181,Q6581097
Herman Weyen,Herman Weyen,,,"Flemish printmaker, active in Paris 1638-1669",,,1643,1638,,1672,1669,,,m,,,French,printmaker,,,1643-1672,"Weyen, Herman","['Weyen, Herman (1643-1672)']",100 Herman Weyen /  / Herman Weyen / 1638-1669 / 1643-1672,Q11569986,Q6581097
