last_first,description,born,died,birthplace,birth_city,birth_state,artist_type,wikidata_description,name,creator_string
"Dooley, Tim","1967-, born Miami, FL",1967,,Q8652,Miami, FL,printmaker,printmaker,Tim Dooley,"['Dooley, Tim and Wilson, Aaron  (1967-, 1972-, born Miami, FL; Xenia, OH)', 'Dooley, Tim and Wilson, Aaron (1967-, 1972-, born Miami, FL; Xenia, OH)']"
"Drosd, F.",,,,,,,painter,painter,F. Drosd,"['Drosd, F.']"
"Dunson, Samuel L. Jr.","1970-, born Dayton, OH",1970,,Q34739,Dayton, OH,painter,painter,"Samuel L. Dunson, Jr.","['Dunson, Samuel L. Jr. (1970-, born Dayton, OH)']"
"Duret, A.",,,,,,,painter,painter,A. Duret,"['Duret, A.']"
"Dzubas, Wilhelm",1877-1947,1877,1947,,,,artist,artist,Wilhelm Dzubas,"['Dzubas, Wilhelm (1877-1947)']"
"Egan, Matt","1973-, born Newmarket, Ontario, Canada",1973,,Q52999,Newmarket, Ontario,artist,artist,Matt Egan,"['Egan, Matt, Muise, Heather (1973-, 1971-, born Newmarket, Ontario, Canada; Windsor, Ontario, Canada)']"
"Ellis, Frank E.",,,,,,,artist,artist,Frank E. Ellis,"['Ellis, Frank E.']"
"Ellsworth, Young","American painter, 1866-1952",1866,1952,,,,printmaker,American painter,Young Ellsworth,"['Ellsworth, Young (American painter, 1866-1952)']"
"Elrod, Joel","1967-, born Omaha, NE",1967,,Q43199,Omaha, NE,printmaker,printmaker,Joel Elrod,"['Elrod, Joel (1967-, born Omaha, NE)']"
Ernst,,,,,,,printmaker,printmaker,Ernst,['Ernst']
"Estellido, Comp",,,,,,,printmaker,printmaker,Comp Estellido,"['Estellido, Comp']"
"Fandos, Manuel",,,,,,,painter,painter,Manuel Fandos,"['Fandos, Manuel']"
"Fatiquant, R.",,,,,,,painter,painter,R. Fatiquant,"['Fatiquant, R.']"
"Fisher, E.",,,,,,,painter,painter,E. Fisher,"['Fisher, E.']"
Flasho,,,,,,,printmaker,printmaker,Flasho,['Flasho']
"Florez, Garzon",,,,,,,printmaker,printmaker,Garzon Florez,"['Florez, Garzon']"
"Floris, Marcel",1914-2007,1914,2007,,,,printmaker,printmaker,Marcel Floris,"['Floris, Marcel (1914-2007)']"
"Foster, Tom",,,,,,,painter,painter,Tom Foster,"['Foster, Tom']"
Frankenstein,,,,,,,painter,painter,Frankenstein,['Frankenstein']
Franz Hansftangl,1804-1877,1804,1877,,,,printmaker,printmaker,Franz Hansftangl,['Franz Hansftangl (1804-1877)']
"Frederick, Michael","1966-, born Chabanse, IL",1966,,Q2188558,Chabanse, IL,printmaker,printmaker,Michael Frederick,"['Frederick, Michael (1966-, born Chabanse, IL)', 'Frederick, Michael, (1966-, born Chabanse, IL)', 'Frederick, Michael, for Hatch Show Print (1966-, born Chabanse, IL)', 'Frederick, Mike']"
"Freeman, Carol Lawton",,,,,,,printmaker,printmaker,Carol Lawton Freeman,"['Freeman, Carol Lawton']"
"Fries, Katherine J.",", born Lincoln, NE",,,Q28260,Lincoln,NE,printmaker,printmaker,Katherine J. Fries,"['Fries, Katherine J. (, born Lincoln, NE)']"
"Friesicke, Sabine","1960-, born Hamburg, Germany",1960,,Q1055,Hamburg, Germany,painter,painter,Sabine Friesicke,"['Friesicke, Sabine (1960-, born Hamburg, Germany)']"
"Garicola, K.",,,,,,,drawer,drawer,K. Garicola,"['Garicola, K.']"
"Garman, Michael",1938-,1938,,,,,sculptor,sculptor,Michael Garman,"['Garman, Michael (1938-)']"
"Garret, Alvin",1946-,1946,,,,,printmaker,printmaker,Alvin Garret,"['Garret, Alvin (1946-)']"
"Gastlund, Knud",,,,,,,book artist,book artist,Knud Gastlund,"['Gastlund, Knud & Sert, Jose Luis']"
"Genter, Karen",,,,,,,book artist,book artist,Karen Genter,"['Genter, Karen']"
Georgii-Hemming,,,,,,,artist,artist,Georgii-Hemming,['Georgii-Hemming']
Gerasch,,,,,,,printmaker,printmaker,Gerasch,['Gerasch']
"Gibian, Mark",1954-,1954,,,,,painter,painter,Mark Gibian,"['Gibian, Mark (1954-)']"
"Gibson, Anita",", born Lima, Peru",,,Q211795,Lima,Peru,printmaker,printmaker,Anita Gibson,"['Gibson, Anita (, born Lima, Peru)', 'Gibson, Anita', 'Gibson, Anita  (born Lima, Peru)']"
"Gibson, James",,,,,,,sculptor,sculptor,James Gibson,"['Gibson, James']"
"Gill, Casey","1981-, born Monterey, CA",1981,,Q487315,Monterey, CA,printmaker,printmaker,Casey Gill,"['Gill, Casey (1981-, born Monterey, CA)', 'Gill, Casey (1981, born Monterey, CA)']"
"Gill, Jenny","1979-, born Monterey, CA",1979,,Q487315,Monterey, CA,printmaker,printmaker,Jenny Gill,"['Gill, Jenny (1979-, born Monterey, CA)', 'Gill, Jenny (1979, born Monterey, CA)']"
"Gold, Hel",,,,,,,printmaker,printmaker,Hel Gold,"['Gold, Hel']"
"Gonzáles, Teo","1964-, born Quinto, Spain",1964,,Q1752280,Quinto, Spain,drawer,drawer,Teo Gonzáles,"['Gonzáles, Teo (1964-, born Quinto, Spain)']"
"Goodyear, J.",,,,,,,printmaker,printmaker,J. Goodyear,"['Goodyear, J.']"
"Gosnell, Patrick","1989-, born Atlanta, GA",1989,,Q23556,Atlanta, GA,printmaker,printmaker,Patrick Gosnell,"['Gosnell, Patrick (1989-, born Atlanta, GA)']"
Gremillier,,,,,,,printmaker,printmaker,Gremillier,['Gremillier']
"Griffith, E.N.",,,,,,,painter,painter,E.N. Griffith,"['Griffith, E.N.']"
"Grzeca, Dan","1968-, born Chicago, IL",1968,,Q1297,Chicago, IL,painter,painter,Dan Grzeca,"['Grzeca, Dan (1968-, born Chicago, IL)']"
