accession_number,locale,description,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
1979.0719P,,The,0.8448448448448449,0.8608608608608609,0.6903765690376569,0.703765690376569,844,860,825,841
1979.0719P,,Saltbary,0.8048048048048048,0.8448448448448449,0.6861924686192469,0.7146443514644352,804,844,820,854
1979.0719P,,Fiving,0.8538538538538538,0.8758758758758759,0.7062761506276151,0.7271966527196653,853,875,844,869
1979.0719P,,Trach,0.8198198198198198,0.8438438438438438,0.7079497907949791,0.7263598326359832,819,843,846,868
1979.0719P,,g,0.8508508508508509,0.8518518518518519,0.7221757322175733,0.7297071129707113,850,851,863,872
1979.0719P,,DENOVIE,0.997997997997998,0.9469469469469469,0.34560669456066945,0.3389121338912134,997,946,413,405
1979.0721P,fy,toung teart,0.7747747747747747,0.9459459459459459,0.9758214507129572,0.9956602603843769,774,945,1574,1606
1979.0721P,,toung,0.7747747747747747,0.8518518518518519,0.9758214507129572,0.9950402975821451,774,851,1574,1605
1979.0721P,,teart,0.8528528528528528,0.9459459459459459,0.9758214507129572,0.9950402975821451,852,945,1574,1605
1979.0801P,en,"REMEMBER
BELGIUM.
EUSWORLI
YOUNG
6-B
Buy Bonds
Fourth
Liberty
Loan",0.046,0.897,0.06201044386422976,0.9765013054830287,46,897,95,1496
1979.0801P,,REMEMBER,0.098,0.897,0.06201044386422976,0.1174934725848564,98,897,95,180
1979.0801P,,BELGIUM,0.164,0.834,0.12597911227154046,0.1801566579634465,164,834,193,276
1979.0801P,,.,0.851,0.88,0.12597911227154046,0.1801566579634465,851,880,193,276
1979.0801P,,EUSWORLI,0.046,0.108,0.9425587467362925,0.9497389033942559,46,108,1444,1455
1979.0801P,,YOUNG,0.046,0.106,0.9536553524804178,0.9621409921671018,46,106,1461,1474
1979.0801P,,6,0.048,0.054,0.9725848563968669,0.9765013054830287,48,54,1490,1496
1979.0801P,,-,0.056,0.06,0.9725848563968669,0.9765013054830287,56,60,1490,1496
1979.0801P,,B,0.061,0.067,0.9725848563968669,0.9765013054830287,61,67,1490,1496
1979.0801P,,Buy,0.212,0.325,0.2160574412532637,0.24216710182767623,212,325,331,371
1979.0801P,,Bonds,0.36,0.537,0.21344647519582247,0.239556135770235,360,537,327,367
1979.0801P,,Fourth,0.215,0.413,0.24738903394255873,0.2689295039164491,215,413,379,412
1979.0801P,,Liberty,0.217,0.438,0.2774151436031332,0.30678851174934724,217,438,425,470
1979.0801P,,Loan,0.215,0.352,0.3074412532637076,0.33159268929503916,215,352,471,508
1979.0804P,en,"F
M
USMC
BOOKS
WANTED
FOR OUR MEN
IN CAMP AND,
OVER THERE
TAKE YOUR GIFTS TO
THE PUBLIC LIBRARY",0.14914914914914915,0.924924924924925,0.5471063257065949,0.917900403768506,149,924,813,1364
1979.0804P,,F,0.14914914914914915,0.16816816816816818,0.8075370121130552,0.8183041722745625,149,168,1200,1216
1979.0804P,,M,0.1871871871871872,0.2082082082082082,0.5471063257065949,0.5572005383580081,187,208,813,828
