qid,label_en,description_en,instance_of_uuid,instance_of,gender_uuid,gender,orcid_uuid,orcid,orcid_ref1_hash,orcid_ref1_retrieved_nodeId,orcid_ref1_retrieved_val,orcid_ref1_retrieved_prec,employer_uuid,employer,employer_start_time_nodeId,employer_start_time_val,employer_start_time_prec,employer_end_time_nodeId,employer_end_time_val,employer_end_time_prec,employer_ref1_hash,employer_ref1_referenceUrl,employer_ref1_retrieved_nodeId,employer_ref1_retrieved_val,employer_ref1_retrieved_prec
Q101542396,Kelly LaVoice,librarian,777B2B9D-C039-443C-A5F3-B7B92C9A03C8,Q5,ADA567F5-A42A-4372-AC43-C55AFF5F9721,Q6581072,,,,,,,9B7DD7F2-35D8-45DD-B3CB-0D1B30757380,Q29052,,,,,,,aaeb484164f83b47aeeff11ecc9880fefa52704a,https://www.library.vanderbilt.edu/staff/,f93cf8b14cf423a62d1f698eaea1c8d1,2020-11-13T00:00:00Z,11
Q101542398,Frank Lester,librarian,C8B756BE-BB3D-4BCA-B513-8261B22BDB97,Q5,2E0E7BF5-35A5-4FAB-8DB5-956D44F7591C,Q6581097,,,,,,,91BCE8AE-53B7-4C78-9291-8C80A8FBAA53,Q29052,,,,,,,aaeb484164f83b47aeeff11ecc9880fefa52704a,https://www.library.vanderbilt.edu/staff/,f93cf8b14cf423a62d1f698eaea1c8d1,2020-11-13T00:00:00Z,11
Q101542399,Erin Loree,librarian,E4D745D2-ED44-485C-BA94-013F989E1EE0,Q5,62C67A3B-F50D-4467-97CA-26D118A13F63,Q6581072,,,,,,,4B3FA815-FC46-47CE-B0E3-29D8E1E8EF99,Q29052,,,,,,,aaeb484164f83b47aeeff11ecc9880fefa52704a,https://www.library.vanderbilt.edu/staff/,f93cf8b14cf423a62d1f698eaea1c8d1,2020-11-13T00:00:00Z,11
Q101542401,Jamen MacGranahan,librarian,51D9CCEA-5E74-4CCE-BBFC-C2F6D9A397A5,Q5,14E6D2D9-83D5-4C43-BE26-44A810B62DDC,Q6581097,,,,,,,B653EA57-1CD8-4C9C-9C1E-F38249A4AB33,Q29052,,,,,,,aaeb484164f83b47aeeff11ecc9880fefa52704a,https://www.library.vanderbilt.edu/staff/,f93cf8b14cf423a62d1f698eaea1c8d1,2020-11-13T00:00:00Z,11
Q101542403,Sara Manus,librarian,813F881A-D1B5-4F80-B415-C1837F8AEE95,Q5,BCFBF9A8-F6AC-498B-97C6-5495D982E5F4,Q6581072,,,,,,,7435DD63-4A53-4240-9DE0-072CF6A0C7FB,Q29052,,,,,,,aaeb484164f83b47aeeff11ecc9880fefa52704a,https://www.library.vanderbilt.edu/staff/,f93cf8b14cf423a62d1f698eaea1c8d1,2020-11-13T00:00:00Z,11
Q101542404,Pamela Morgan,librarian,C019DD5B-8C77-4310-9349-AF6A92905D9D,Q5,ECD15C9F-9B48-4B42-AF69-A48F2624BC47,Q6581072,4A549ECB-258E-42A5-BA7B-99F8D4575D83,0000-0002-0822-7299,818c31bd2e382ff588aaf7b6e11fa5248697d933,f93cf8b14cf423a62d1f698eaea1c8d1,2020-11-13T00:00:00Z,11,9FDFEB33-358D-4908-912B-30D7BC993661,Q29052,,,,,,,aaeb484164f83b47aeeff11ecc9880fefa52704a,https://www.library.vanderbilt.edu/staff/,f93cf8b14cf423a62d1f698eaea1c8d1,2020-11-13T00:00:00Z,11
Q101542405,Keegan Osinski,librarian,E011CA7D-6337-4DBF-AB1C-7C58A7B98737,Q5,51149B49-86DE-4BD1-8433-80635E8BFFB4,Q6581072,,,,,,,082F5883-11BE-45C0-B463-7F053236549C,Q29052,,,,,,,aaeb484164f83b47aeeff11ecc9880fefa52704a,https://www.library.vanderbilt.edu/staff/,f93cf8b14cf423a62d1f698eaea1c8d1,2020-11-13T00:00:00Z,11
Q101542407,Dale Poulter,librarian,9C5203A0-D8F8-4BC3-85E1-3AF25DB7C8FD,Q5,50AF5CC1-C6D9-4F1C-80CC-08448B1BE18B,Q6581097,,,,,,,4506910B-154D-420E-9F50-874568412A38,Q29052,,,,,,,aaeb484164f83b47aeeff11ecc9880fefa52704a,https://www.library.vanderbilt.edu/staff/,f93cf8b14cf423a62d1f698eaea1c8d1,2020-11-13T00:00:00Z,11
Q101542408,Ramona Romero,librarian,FD7F5B7E-92D0-4CDD-BB8A-DB9CB086E777,Q5,B4562C69-7BC4-4027-8A19-5FC8C0F1F306,Q6581072,,,,,,,17AD5565-4E85-41CF-8198-AC3CC560A22F,Q29052,,,,,,,aaeb484164f83b47aeeff11ecc9880fefa52704a,https://www.library.vanderbilt.edu/staff/,f93cf8b14cf423a62d1f698eaea1c8d1,2020-11-13T00:00:00Z,11
Q101542409,Christopher Ryland,librarian,4E9BAFDF-5776-45A3-A1C1-7FEB3ED0DF80,Q5,BDC084F0-B97E-4C27-B69B-B4321FD79B06,Q6581097,,,,,,,5341BD0A-6697-4A00-A2DC-70D510DE3D7F,Q29052,,,,,,,aaeb484164f83b47aeeff11ecc9880fefa52704a,https://www.library.vanderbilt.edu/staff/,f93cf8b14cf423a62d1f698eaea1c8d1,2020-11-13T00:00:00Z,11
