qid,type,noun,label,object_description,form_description,design_description,includes,noun
Q104030978,work of art,plaque,Bronze plaque with inscription,Bronze plaque,,,inscription,plaque
Q104030982,work of art,plaque,Bronze plaque with inscription,Bronze plaque,,,inscription,plaque
Q104030986,work of art,plaque,Bronze plaque with inscription,Bronze plaque,,,inscription,plaque
Q104030988,work of art,weight,Bronze weight with inscription,Bronze weight,,,inscription,weight
Q104030990,work of art,weight,Bronze weight with inscription,Bronze weight,,,inscription,weight
Q104031004,work of art,detail,Carved Architectural Detail in the Shape of a Dragon,Carved Architectural Detail,a Dragon,,,detail
Q104031007,work of art,detail,Carved Architectural Detail in the Shape of a Dragon,Carved Architectural Detail,a Dragon,,,detail
Q104031010,sculpture,figure,Carved figure with bird beak design,Carved figure,,,bird beak design,figure
Q104031012,sculpture,figure,Carved figure with bird beak design,Carved figure,,,bird beak design,figure
Q104031014,sculpture,figure,Carved figure with bowl on head,Carved figure,,,bowl on head,figure
Q104031018,sculpture,figure,Carved figure with bowl on head,Carved figure,,,bowl on head,figure
Q104031020,sculpture,figure,Carved funerary figure,Carved funerary figure,,,,figure
Q104031022,sculpture,figure,Carved funerary figure,Carved funerary figure,,,,figure
Q104031025,work of art,scoop,Chashaku (tea scoop),Chashaku (tea scoop),,,,scoop
Q104031027,work of art,scoop,Chashaku (tea scoop),Chashaku (tea scoop),,,,scoop
Q104031028,sculpture,crucifix,Christ from a Crucifix,Christ from a Crucifix,,,,crucifix
Q104031029,sculpture,crucifix,Christ from a Crucifix,Christ from a Crucifix,,,,crucifix
Q104031914,work of art,candlestick,Cloisonne candlestick,Cloisonne candlestick,,,,candlestick
Q104031915,work of art,candlestick,Cloisonne candlestick,Cloisonne candlestick,,,,candlestick
Q104031926,coin,coin,Coin,Coin,,,,coin
Q104031927,coin,coin,Coin,Coin,,,,coin
Q104031928,coin,coin,Coin,Coin,,,,coin
Q104031929,coin,coin,Coin,Coin,,,,coin
Q104031930,coin,coin,Coin,Coin,,,,coin
Q104031932,coin,coin,Coin,Coin,,,,coin
Q104031933,coin,coin,Coin,Coin,,,,coin
Q104031934,coin,coin,Coin,Coin,,,,coin
Q104031935,coin,coin,Coin,Coin,,,,coin
Q104031936,coin,coin,Coin,Coin,,,,coin
Q104031939,ceramics,vessel,Cone shaped vessel with human face design on neck,Cone shaped vessel,,,human face design on neck,vessel
Q104031940,ceramics,cup,Cup,Cup,,,,cup
Q104031941,ceramics,cup,Cup,Cup,,,,cup
Q104031942,ceramics,dish,Dish with a design in blue under glaze of a crab and characters for good luck and happiness,Dish,,in blue under glaze of a crab and characters for good luck and happiness,,dish
Q104031943,ceramics,dish,Dish with a design in blue under glaze of a crab and characters for good luck and happiness,Dish,,in blue under glaze of a crab and characters for good luck and happiness,,dish
Q104031957,sculpture,figure,"Ere Ibeji, carved male twin figure with beads","Ere Ibeji, carved male twin figure",,,beads,figure
Q104031958,sculpture,figure,"Ere Ibeji, carved male twin figure with beads","Ere Ibeji, carved male twin figure",,,beads,figure
Q104031959,work of art,ewer,Ewer with brass inlay,Ewer,,,brass inlay,ewer
Q104031960,work of art,ewer,Ewer with brass inlay,Ewer,,,brass inlay,ewer
Q104031962,textile,fabric,Fabric,Fabric,,,,fabric
Q104031963,textile,fabric,Fabric,Fabric,,,,fabric
Q104031968,ceramics,figure,Female figure with child,Female figure,,,child,figure
Q104031969,ceramics,figure,Female figure with child,Female figure,,,child,figure
Q104031970,ceramics,figure,Female funerary figure,Female funerary figure,,,,figure
Q104031972,ceramics,figure,Female funerary figure,Female funerary figure,,,,figure
Q104031974,ceramics,figure,Figure,Figure,,,,figure
Q104031976,ceramics,figure,Figure,Figure,,,,figure
Q104031977,ceramics,figure,Figure,Figure,,,,figure
Q104031978,ceramics,figure,Figure,Figure,,,,figure
Q104031979,sculpture,figure,Figure,Figure,,,,figure
Q104031980,sculpture,figure,Figure,Figure,,,,figure
Q104031983,ceramics,figure,Figure with slit-like eyes,Figure,,,slit-like eyes,figure
Q104031984,ceramics,figure,Figure with slit-like eyes,Figure,,,slit-like eyes,figure
Q104031985,ceramics,figure,Figure with slit-like eyes,Figure,,,slit-like eyes,figure
Q104031986,sculpture,figurine,Figurine,Figurine,,,,figurine
Q104031987,sculpture,figurine,Figurine,Figurine,,,,figurine
Q104031993,work of art,basket,Flower basket,Flower basket,,,,basket
Q104031994,work of art,basket,Flower basket,Flower basket,,,,basket
Q104031995,work of art,fan,Folding fan,Folding fan,,,,fan
Q104031996,work of art,fan,Folding fan,Folding fan,,,,fan
Q104031997,work of art,fan,Folding fan,Folding fan,,,,fan
Q104031998,work of art,fan,Folding fan,Folding fan,,,,fan
Q104031999,work of art,fan,Folding fan,Folding fan,,,,fan
Q104032000,ceramics,weight,"Four sided, melon shaped scroll weight with a design in blue underglaze of flowers","Four sided, melon shaped scroll weight",,in blue underglaze of flowers,,weight
Q104032001,ceramics,weight,"Four sided, melon shaped scroll weight with a design in blue underglaze of flowers","Four sided, melon shaped scroll weight",,in blue underglaze of flowers,,weight
Q104032075,sculpture,head,Head of Buddha,Head of Buddha,,,,head
Q104032087,sculpture,horse,Horse,Horse,,,,horse
Q104032088,sculpture,horse,Horse,Horse,,,,horse
Q104032089,sculpture,horse,Horse,Horse,,,,horse
Q104032090,sculpture,rider,Horse and Rider,Horse and Rider,,,,rider
Q104032091,sculpture,seal,Ivory seal with a design of a seated deity holding a lotus,Ivory seal,,of a seated deity holding a lotus,,seal
Q104032092,sculpture,seal,Ivory seal with a design of a seated deity holding a lotus,Ivory seal,,of a seated deity holding a lotus,,seal
Q104032113,ceramics,jug,Jug,Jug,,,,jug
Q104032116,ceramics,jug,Jug,Jug,,,,jug
Q104032119,ceramics,container,Kogo (Incense Container),Kogo (Incense Container),,,,container
Q104032120,ceramics,container,Kogo (Incense Container),Kogo (Incense Container),,,,container
Q104032121,ceramics,container,Kogo (Incense Container),Kogo (Incense Container),,,,container
Q104032123,ceramics,container,Kogo (Incense Container) in the Form of a Sash Knot,Kogo (Incense Container),a Sash Knot,,,container
Q104032124,ceramics,container,Kogo (Incense Container) in the Form of a Sash Knot,Kogo (Incense Container),a Sash Knot,,,container
Q104032130,work of art,churn,Lid to a butter churn,Lid to a butter churn,,,,churn
Q104032131,work of art,churn,Lid to a butter churn,Lid to a butter churn,,,,churn
Q104032133,work of art,churn,Lid to a butter churn,Lid to a butter churn,,,,churn
Q104032134,work of art,churn,Lid to a butter churn,Lid to a butter churn,,,,churn
Q104032137,ceramics,bowl,Lidded suwankolok ware bowl with a design in black slip of a combination of geometric patterns and flowers,Lidded suwankolok ware bowl,,in black slip of a combination of geometric patterns and flowers,,bowl
Q104032138,ceramics,bowl,Lidded suwankolok ware bowl with a design in black slip of a combination of geometric patterns and flowers,Lidded suwankolok ware bowl,,in black slip of a combination of geometric patterns and flowers,,bowl
Q104032140,ceramics,bowl,Lidded suwankolok ware bowl with a design in black slip of a combination of geometric patterns and flowers,Lidded suwankolok ware bowl,,in black slip of a combination of geometric patterns and flowers,,bowl
Q104032175,sculpture,mercury,Mercury,Mercury,,,,mercury
Q104032176,sculpture,mercury,Mercury,Mercury,,,,mercury
Q104032178,work of art,basket,Miniature woven basket,Miniature woven basket,,,,basket
Q104032180,work of art,basket,Miniature woven basket,Miniature woven basket,,,,basket
Q104032181,work of art,basket,Miniature woven basket,Miniature woven basket,,,,basket
Q104032196,sculpture,ningyo,Nara ningyo in the form of a no actor,Nara ningyo,a no actor,,,ningyo
Q104032198,sculpture,ningyo,Nara ningyo in the form of a no actor,Nara ningyo,a no actor,,,ningyo
Q104032206,ceramics,* Noun not detected!,One of a pair of porcelain lidded sang de boeuf glazed vases,One of a pair of porcelain lidded sang de boeuf glazed vases,,,,* Noun not detected!
Q104032207,ceramics,* Noun not detected!,One of a pair of porcelain lidded sang de boeuf glazed vases,One of a pair of porcelain lidded sang de boeuf glazed vases,,,,* Noun not detected!
Q104032208,ceramics,* Noun not detected!,One of two sauce cups with a design of rabbits and waves and a lozenge border on inner rim,One of two sauce cups,,of rabbits and waves and a lozenge border on inner rim,,* Noun not detected!
Q104032209,ceramics,* Noun not detected!,One of two sauce cups with a design of rabbits and waves and a lozenge border on inner rim,One of two sauce cups,,of rabbits and waves and a lozenge border on inner rim,,* Noun not detected!
Q104032210,work of art,weights,Opium weights,Opium weights,,,,weights
Q104032212,work of art,weights,Opium weights,Opium weights,,,,weights
Q104032214,work of art,weights,Opium weights,Opium weights,,,,weights
Q104032215,work of art,weights,Opium weights,Opium weights,,,,weights
Q104032216,work of art,weights,Opium weights,Opium weights,,,,weights
Q104032234,textile,piece,Piece of fabric,Piece of fabric,,,,piece
Q104032235,textile,piece,Piece of fabric,Piece of fabric,,,,piece
Q104032236,ceramics,pitcher,Pitcher,Pitcher,,,,pitcher
Q104032237,ceramics,pitcher,Pitcher,Pitcher,,,,pitcher
Q104032238,ceramics,pitcher,Pitcher,Pitcher,,,,pitcher
Q104032240,work of art,pitcher,Pitcher,Pitcher,,,,pitcher
Q104032264,ceramics,shard,Pot shard,Pot shard,,,,shard
Q104032265,ceramics,shard,Pot shard,Pot shard,,,,shard
Q104032273,work of art,vase,Red vase,Red vase,,,,vase
Q104032275,work of art,vase,Red vase,Red vase,,,,vase
Q104032287,ceramics,bowl,Rice bowl with blue and white designs,Rice bowl,,,blue and white designs,bowl
Q104032288,ceramics,bowl,Rice bowl with blue and white designs,Rice bowl,,,blue and white designs,bowl
Q104032298,work of art,sashi,Sashi with geometric design,Sashi,,,geometric design,sashi
Q104032300,work of art,sashi,Sashi with geometric design,Sashi,,,geometric design,sashi
Q104032303,work of art,weights,Scroll weights,Scroll weights,,,,weights
Q104032304,work of art,weights,Scroll weights,Scroll weights,,,,weights
Q104032305,sculpture,seal,Seal in the shape of a Chinese Lion Dog,Seal,a Chinese Lion Dog,,,seal
Q104032306,sculpture,seal,Seal in the shape of a Chinese Lion Dog,Seal,a Chinese Lion Dog,,,seal
Q104032311,ceramics,figure,Seated female figure,Seated female figure,,,,figure
Q104032312,ceramics,figure,Seated female figure,Seated female figure,,,,figure
Q104032313,ceramics,figure,Seated female figure,Seated female figure,,,,figure
Q104032314,ceramics,figure,Seated female figure with child,Seated female figure,,,child,figure
Q104032315,ceramics,figure,Seated female figure with child,Seated female figure,,,child,figure
Q104032316,ceramics,figure,Seated figure,Seated figure,,,,figure
Q104032317,ceramics,figure,Seated figure,Seated figure,,,,figure
Q104032320,ceramics,figure,Seated funerary figure,Seated funerary figure,,,,figure
Q104032323,ceramics,figure,Seated funerary figure,Seated funerary figure,,,,figure
Q104032331,shield,shield,Shield,Shield,,,,shield
Q104032334,shield,shield,Shield,Shield,,,,shield
Q104032336,shield,shield,Shield,Shield,,,,shield
Q104032337,shield,shield,Shield,Shield,,,,shield
Q104032340,shield,shield,Shield,Shield,,,,shield
Q104032342,sculpture,seal,Signature Seal in the Form of a Lion Dog,Signature Seal,a Lion Dog,,,seal
Q104032349,ceramics,jars,Small jars with domed lids and a design of quail and women playing go (Kutani ware),Small jars,,,domed lids and a design of quail and women playing go (Kutani ware),jars
Q104032352,ceramics,jars,Small jars with domed lids and a design of quail and women playing go (Kutani ware),Small jars,,,domed lids and a design of quail and women playing go (Kutani ware),jars
Q104032355,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of abstract feathers,Soba-choko (noodle sauce cup),,in blue underglaze of abstract feathers,,cup
Q104032357,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of abstract feathers,Soba-choko (noodle sauce cup),,in blue underglaze of abstract feathers,,cup
Q104032360,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of flying bird and stylized pomegranates,Soba-choko (noodle sauce cup),,in blue underglaze of flying bird and stylized pomegranates,,cup
Q104032364,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of flying bird and stylized pomegranates,Soba-choko (noodle sauce cup),,in blue underglaze of flying bird and stylized pomegranates,,cup
Q104032366,ceramics,cup,"Soba-choko (noodle sauce cup) with a design in blue underglaze of landscape with building, pine trees and birds",Soba-choko (noodle sauce cup),,"in blue underglaze of landscape with building, pine trees and birds",,cup
Q104032369,ceramics,cup,"Soba-choko (noodle sauce cup) with a design in blue underglaze of landscape with building, pine trees and birds",Soba-choko (noodle sauce cup),,"in blue underglaze of landscape with building, pine trees and birds",,cup
Q104032372,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of pine branches,Soba-choko (noodle sauce cup),,in blue underglaze of pine branches,,cup
Q104032374,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of pine branches,Soba-choko (noodle sauce cup),,in blue underglaze of pine branches,,cup
Q104032377,ceramics,cup,"Soba-choko (noodle sauce cup) with a design in blue underglaze of pine tree, bamboo and plum blossoms",Soba-choko (noodle sauce cup),,"in blue underglaze of pine tree, bamboo and plum blossoms",,cup
Q104032380,ceramics,cup,"Soba-choko (noodle sauce cup) with a design in blue underglaze of pine tree, bamboo and plum blossoms",Soba-choko (noodle sauce cup),,"in blue underglaze of pine tree, bamboo and plum blossoms",,cup
Q104032384,ceramics,cup,"Soba-choko (noodle sauce cup) with a design in blue underglaze of pine tree, bamboo and plum blossoms",Soba-choko (noodle sauce cup),,"in blue underglaze of pine tree, bamboo and plum blossoms",,cup
Q104032385,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of plum blossoms,Soba-choko (noodle sauce cup),,in blue underglaze of plum blossoms,,cup
Q104032388,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of plum blossoms,Soba-choko (noodle sauce cup),,in blue underglaze of plum blossoms,,cup
Q104032390,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of spirals,Soba-choko (noodle sauce cup),,in blue underglaze of spirals,,cup
Q104032392,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of spirals,Soba-choko (noodle sauce cup),,in blue underglaze of spirals,,cup
Q104032396,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of two floral sprays,Soba-choko (noodle sauce cup),,in blue underglaze of two floral sprays,,cup
Q104032398,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of two floral sprays,Soba-choko (noodle sauce cup),,in blue underglaze of two floral sprays,,cup
Q104032401,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of vertical stripes,Soba-choko (noodle sauce cup),,in blue underglaze of vertical stripes,,cup
Q104032404,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of vertical stripes,Soba-choko (noodle sauce cup),,in blue underglaze of vertical stripes,,cup
Q104032407,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of vertical stripes,Soba-choko (noodle sauce cup),,in blue underglaze of vertical stripes,,cup
Q104032410,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of vertical stripes,Soba-choko (noodle sauce cup),,in blue underglaze of vertical stripes,,cup
Q104032414,ceramics,square,Square sauce dish with a design in brown underglaze of a circle with four characters,Square sauce dish,,in brown underglaze of a circle with four characters,,square
Q104032419,ceramics,square,Square sauce dish with a design in brown underglaze of a circle with four characters,Square sauce dish,,in brown underglaze of a circle with four characters,,square
Q104032423,ceramics,figure,Standing female figure,Standing female figure,,,,figure
Q104032426,ceramics,figure,Standing female figure,Standing female figure,,,,figure
Q104032429,ceramics,figure,Standing female figure,Standing female figure,,,,figure
Q104032432,ceramics,figure,Standing female figure,Standing female figure,,,,figure
Q104032436,ceramics,figure,Standing female figure,Standing female figure,,,,figure
Q104032439,ceramics,figure,Standing female figure,Standing female figure,,,,figure
Q104032442,ceramics,figure,Standing female figure,Standing female figure,,,,figure
Q104032446,ceramics,figure,Standing female figure,Standing female figure,,,,figure
Q104032449,ceramics,figure,Standing female funerary figure,Standing female funerary figure,,,,figure
Q104032452,ceramics,figure,Standing female funerary figure,Standing female funerary figure,,,,figure
Q104032457,ceramics,figure,Standing figure,Standing figure,,,,figure
Q104032460,ceramics,figure,Standing figure,Standing figure,,,,figure
Q104032464,ceramics,figure,Standing figure,Standing figure,,,,figure
Q104032468,ceramics,figure,Standing figure,Standing figure,,,,figure
Q104032472,ceramics,figure,Standing figure,Standing figure,,,,figure
Q104032475,ceramics,figure,Standing figure with ring through its nose,Standing figure,,,ring through its nose,figure
Q104032479,ceramics,figure,Standing figure with ring through its nose,Standing figure,,,ring through its nose,figure
Q104032483,ceramics,figure,Standing hollow female figure,Standing hollow female figure,,,,figure
Q104032487,ceramics,figure,Standing hollow female figure,Standing hollow female figure,,,,figure
Q104032490,ceramics,figure,Standing hollow figure with ear spools,Standing hollow figure,,,ear spools,figure
Q104032493,ceramics,figure,Standing hollow figure with ear spools,Standing hollow figure,,,ear spools,figure
Q104032497,ceramics,figure,Standing male figure,Standing male figure,,,,figure
Q104032500,ceramics,figure,Standing male figure,Standing male figure,,,,figure
Q104032533,stone,artifact,Stone artifact,Stone artifact,,,,artifact
Q104032538,stone,artifact,Stone artifact,Stone artifact,,,,artifact
Q104032542,stone,artifact,Stone artifact,Stone artifact,,,,artifact
Q104032546,stone,artifact,Stone artifact,Stone artifact,,,,artifact
Q104032550,stone,artifact,Stone artifact,Stone artifact,,,,artifact
Q104032553,stone,artifact,Stone artifact,Stone artifact,,,,artifact
Q104032558,work of art,bowl,Sugar bowl with lid,Sugar bowl,,,lid,bowl
Q104032561,work of art,bowl,Sugar bowl with lid,Sugar bowl,,,lid,bowl
Q104032583,ceramics,bowl,Tea bowl,Tea bowl,,,,bowl
Q104032586,ceramics,bowl,Tea bowl,Tea bowl,,,,bowl
Q104032591,ceramics,teapot,Teapot,Teapot,,,,teapot
Q104032594,ceramics,teapot,Teapot,Teapot,,,,teapot
Q104032598,ceramics,teapot,Teapot,Teapot,,,,teapot
Q104032601,ceramics,teapot,Teapot,Teapot,,,,teapot
Q104032604,ceramics,teapot,Teapot,Teapot,,,,teapot
Q104032608,textile,fragment,Textile fragment,Textile fragment,,,,fragment
Q104032612,textile,fragment,Textile fragment,Textile fragment,,,,fragment
Q104032670,work of art,bead,"Tobacco Pouch, Ojime (Closing Bead), Pipe Case, and Pipe","Tobacco Pouch, Ojime (Closing Bead), Pipe Case, and Pipe",,,,bead
Q104032673,work of art,bead,"Tobacco Pouch, Ojime (Closing Bead), Pipe Case, and Pipe","Tobacco Pouch, Ojime (Closing Bead), Pipe Case, and Pipe",,,,bead
Q104032685,work of art,guard,"Tsuba (Sword Guard) in Two Parts, with a Rising Sun Motif and Stamped Numbers","Tsuba (Sword Guard) in Two Parts,",,,a Rising Sun Motif and Stamped Numbers,guard
Q104032689,work of art,guard,"Tsuba (Sword Guard) in Two Parts, with a Rising Sun Motif and Stamped Numbers","Tsuba (Sword Guard) in Two Parts,",,,a Rising Sun Motif and Stamped Numbers,guard
Q104032693,work of art,fan,Uchiwa (flat fan),Uchiwa (flat fan),,,,fan
Q104032695,work of art,fan,Uchiwa (flat fan),Uchiwa (flat fan),,,,fan
Q104032699,work of art,fan,Uchiwa (flat fan),Uchiwa (flat fan),,,,fan
Q104032704,work of art,fan,Uchiwa (flat fan),Uchiwa (flat fan),,,,fan
Q104032708,work of art,fan,Uchiwa (flat fan),Uchiwa (flat fan),,,,fan
Q104033111,ceramics,vase,Vase,Vase,,,,vase
Q104033112,ceramics,vase,Vase,Vase,,,,vase
Q104033118,ceramics,cup,Wine cup with a design in red enamel glaze of fish,Wine cup,,in red enamel glaze of fish,,cup
Q104033120,ceramics,cup,Wine cup with a design in red enamel glaze of fish,Wine cup,,in red enamel glaze of fish,,cup
Q104033135,work of art,yatate,Yatate,Yatate,,,,yatate
Q104033139,ceramics,bottle,Yellow and tan ceramic bottle,Yellow and tan ceramic bottle,,,,bottle
Q105091588,ceramics,affair,Affair with Vanity,Affair,,,Vanity,affair
Q105091645,sculpture,marriage,"Beast, from The Marriage of Venus and Mars","Beast, from The Marriage of Venus and Mars",,,,marriage
Q105091659,work of art,object,Blue glass object with stopper,Blue glass object,,,stopper,object
Q105091684,sculpture,bust,Bust of a Woman,Bust of a Woman,,,,bust
Q105091685,sculpture,bust,Bust of a Young Black Man,Bust of a Young Black Man,,,,bust
Q105091686,sculpture,actor,C. Audrey Smith (Character Actor),C. Audrey Smith (Character Actor),,,,actor
Q105091712,sculpture,marriage,"Consumed, from The Marriage of Venus and Mars","Consumed, from The Marriage of Venus and Mars",,,,marriage
Q105091789,sculpture,figure,Figure in Aura,Figure in Aura,,,,figure
Q105091797,ceramics,ware,Flower Vase (bizen ware),Flower Vase (bizen ware),,,,ware
Q105091848,work of art,mug,Handle-less mug,Handle-less mug,,,,mug
Q105091852,sculpture,head,Head of Avery Handly,Head of Avery Handly,,,,head
Q105091884,sculpture,men,Jumping Men,Jumping Men,,,,men
Q105092013,sculpture,head,Patina Man Holding Head,Patina Man Holding Head,,,,head
Q105092021,sculpture,diasematon,Piesterion: Diasematon 2,Piesterion: Diasematon 2,,,,diasematon
Q105092025,sculpture,head,"Portrait Head of Seymore Samuels, Jr.","Portrait Head of Seymore Samuels, Jr.",,,,head
Q105092050,ceramics,urn,Pottery urn,Pottery urn,,,,urn
Q105092067,ceramics,krater,Red-figure bell krater,Red-figure bell krater,,,,krater
Q105092128,sculpture,gazer,Star Gazer,Star Gazer,,,,gazer
Q105092152,sculpture,house,Tenement House,Tenement House,,,,house
Q105092231,work of art,bowl,Triangular Bowl,Triangular Bowl,,,,bowl
Q105092242,ceramics,vase,Two-handled Vase with Costumed Figures,Two-handled Vase,,,Costumed Figures,vase
Q105092348,ceramics,vase,Water-carrier vase with bamboo patern and bamboo,Water-carrier vase,,,bamboo patern and bamboo,vase
Q105095763,work of art,pair,"Pair of lacquer ear (erbei) cups with painted designs in reds, cinnabar, and light yellow of large birds",Pair of lacquer ear (erbei) cups,,,"painted designs in reds, cinnabar, and light yellow of large birds",pair
Q105095833,ceramics,jug,Jug with blue decoration,Jug,,,blue decoration,jug
Q105095835,sculpture,sculpture,Welded steel sculpture,Welded steel sculpture,,,,sculpture
Q105095837,sculpture,bird,Long-legged bird,Long-legged bird,,,,bird
Q105095840,ceramics,bottle,Tan water bottle,Tan water bottle,,,,bottle
Q105095896,ceramics,vase,Rectangular bottle vase with a floral design on one side and an abstract design on the other,Rectangular bottle vase,,,a floral design on one side and an abstract design on the other,vase
Q105095898,ceramics,bowl,Bowl with an abstract calligraphic design,Bowl,,,an abstract calligraphic design,bowl
Q105095943,ceramics,vase,"Colored porcelain vase with millefior technique, salt-fired",Colored porcelain vase,,,"millefior technique, salt-fired",vase
Q105095956,sculpture,fragment,"Low relief votive fragment depicting the Egyptian God Ptah, standing in profile with the was scepter",Low relief votive fragment,,"the Egyptian God Ptah, standing in profile with the was scepter",,fragment
Q105095960,work of art,holder,"Brush holder with eight cloud bracket feet, carved and pierced in deep bas-relief scenes",Brush holder,,,"eight cloud bracket feet, carved and pierced in deep bas-relief scenes",holder
Q105095980,work of art,caddy,Charcoal-shaped chaire (tea caddy) with cricket on lid,Charcoal-shaped chaire (tea caddy),,,cricket on lid,caddy
Q105095990,sculpture,head,Head of Venus Italica,Head of Venus Italica,,,,head
Q105096000,work of art,palace,Cabinet door from the Imperial Palace in Beijing with a design of Imperial Dragons,Cabinet door from the Imperial Palace in Beijing,,of Imperial Dragons,,palace
Q105096006,sculpture,virgin,Bolognese Virgin,Bolognese Virgin,,,,virgin
Q105096013,sculpture,figure,Standing Figure,Standing Figure,,,,figure
Q105096027,sculpture,sculpture,Aluminum Sculpture,Aluminum Sculpture,,,,sculpture
Q105096045,sculpture,windows,Windows,Windows,,,,windows
Q105096061,work of art,rest,Arm Rest with a Design of Pine Needles,Arm Rest,,of Pine Needles,,rest
Q106566613,work of art,carving,"Boulder Mountain carving, with an immortal and his attendant walking toward a temple in a mountain retreat. Verso with rocky mountain, rust markings and a pine tree.","Boulder Mountain carving,",,,"an immortal and his attendant walking toward a temple in a mountain retreat. Verso with rocky mountain, rust markings and a pine tree.",carving
Q106566614,ceramics,bowl,"Bowl with a design of two peaches and leaves in pink and green enamel glazes on the inside; on the outside designs of chrysanthemum, lotus, peony, and plum blossoms in pink",Bowl,,"of two peaches and leaves in pink and green enamel glazes on the inside; on the outside designs of chrysanthemum, lotus, peony, and plum blossoms in pink",,bowl
Q106566731,ceramics,box,Ekiben (station lunch box) with the lid in relief of a head of Daruma (sanskrit: Bodhidharma) with ochre glaze and inscription on base containg location of the station,Ekiben (station lunch box),,,the lid in relief of a head of Daruma (sanskrit: Bodhidharma) with ochre glaze and inscription on base containg location of the station,box
Q106566917,work of art,design,"Inro with a design of bush clover (hagi) with agate drawstring bead (ojime) and carved wood netsuke with inlaid mother of pearl with a design of Camellia flowers, with an ivory","Error on ""with a Design""",,,,design
Q106566929,ceramics,ware,"Kakiemon ware sauce dish with a design in blue, green and red underglaze of abstract patterns in six circles with gold enamel and an outside border in a design of flowers and tendrils.",Kakiemon ware sauce dish,,"in blue, green and red underglaze of abstract patterns in six circles with gold enamel and an outside border in a design of flowers and tendrils.",,ware
Q106566930,ceramics,ware,"Kakiemon ware sauce dish with a design in blue, green and red underglaze of abstract patterns in six circles with gold enamel and an outside border in a design of flowers and tendrils.",Kakiemon ware sauce dish,,"in blue, green and red underglaze of abstract patterns in six circles with gold enamel and an outside border in a design of flowers and tendrils.",,ware
Q106566931,ceramics,ware,"Kakiemon ware sauce dish with a design in blue, green and red underglaze of abstract patterns in six circles with gold enamel and an outside border in a design of flowers and tendrils.",Kakiemon ware sauce dish,,"in blue, green and red underglaze of abstract patterns in six circles with gold enamel and an outside border in a design of flowers and tendrils.",,ware
Q106566932,ceramics,ware,"Kakiemon ware sauce dish with a design in blue, green and red underglaze of abstract patterns in six circles with gold enamel and an outside border in a design of flowers and tendrils.",Kakiemon ware sauce dish,,"in blue, green and red underglaze of abstract patterns in six circles with gold enamel and an outside border in a design of flowers and tendrils.",,ware
Q106566934,ceramics,holder,"Kutani ware brush holder with a design of two Taoist Chinese immortals in red, gold, and black enamel glazes with three feet in the shape of three children",Kutani ware brush holder,,"of two Taoist Chinese immortals in red, gold, and black enamel glazes with three feet in the shape of three children",,holder
Q106566939,work of art,design,"Leather drawstring pouch with cloth lining, oval drawstring bead with a design of a horse and pine tree on both sides, netsuke with a design of a noh mask Okina (Old man)","Error on ""with a Design""",,,,design
Q106567536,ceramics,pillow,"Pillow with a design in blue and brown underglaze of vase with flowers, bowl with narcissus and a branch of plum blossoms with the characters of ‘good luck’ on either end",Pillow,,"in blue and brown underglaze of vase with flowers, bowl with narcissus and a branch of plum blossoms with the characters of ‘good luck’ on either end",,pillow
Q106567597,work of art,bottle,Snuff bottle with a carved glass design in blue with an interior painting of a landscape on one side and flowers and butterflies on the other side with a green stopper,Snuff bottle,,,a carved glass design in blue with an interior painting of a landscape on one side and flowers and butterflies on the other side with a green stopper,bottle
Q106567598,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of two floral motifs contained in two cartouches separated by a solid background of overlapping flower petals,Soba-choko (noodle sauce cup),,in blue underglaze of two floral motifs contained in two cartouches separated by a solid background of overlapping flower petals,,cup
Q106567600,ceramics,cup,Soma-yaki ware tea cup with fluted rim and a crackle green glaze and a design of waves with a design of a galloping horse on the bottom of the cup in gold glaze,Soma-yaki ware tea cup with fluted rim and a crackle green glaze and a design of waves,,of a galloping horse on the bottom of the cup in gold glaze,,cup
Q106567604,work of art,figure,"Standing figure of a vendor with a barrel and masks on his back. The barrel ends inlaid with green nephrite jade, and an emblem on the front of the figure inlaid with red.",Standing figure of a vendor,,,"a barrel and masks on his back. The barrel ends inlaid with green nephrite jade, and an emblem on the front of the figure inlaid with red.",figure
