qid,type,noun,label,object_description,form_description,design_description,includes,noun
Q102962834,work of art,washer,Brush washer in the design of a dragon with the bowl portion in the shape of a peach with an incised design on the bottom of a fish and moon,Brush washer in the design of a dragon with the bowl portion,a peach with an incised design on the bottom of a fish and moon,,,washer
Q102962840,ceramics,washer,Brush washer with a design in blue underglaze of abstract patterns,Brush washer,,in blue underglaze of abstract patterns,,washer
Q102962844,work of art,washer,"Brush washer with design of snail, cicada, peaches, and leaves",Brush washer,,"of snail, cicada, peaches, and leaves",,washer
Q102962850,ceramics,washer,Brush washer with marble pattern in brown and beige,Brush washer,,,marble pattern in brown and beige,washer
Q102962856,ceramics,brush-washer,Brush-washer,Brush-washer,,,,brush-washer
Q102962863,work of art,bell,Buddhist bell,Buddhist bell,,,,bell
Q102962868,sculpture,shrine,Buddhist shrine with gold lacquer,Buddhist shrine,,,gold lacquer,shrine
Q102962876,ceramics,vase,Bulbous vase with black animal motif,Bulbous vase,,,black animal motif,vase
Q102962896,ceramics,pot,Butter Pot,Butter Pot,,,,pot
Q102962914,ceramics,dish,Cake dish with a design in blue under glaze of fish and seaweed,Cake dish,,in blue under glaze of fish and seaweed,,dish
Q102962934,work of art,stick,Candle stick,Candle stick,,,,stick
Q102962978,work of art,game,"Card game counter device for European game with a design of pheasant and wisteria,  birds and insects",Card game counter device for European game,,"of pheasant and wisteria,  birds and insects",,game
Q102962984,work of art,game,"Card game counter device for European game with a design of trailing vine, birds and insects",Card game counter device for European game,,"of trailing vine, birds and insects",,game
Q102963004,work of art,line,Carpenter's plumb line,Carpenter's plumb line,,,,line
Q102963012,work of art,detail,Carved Architectural Detail in the Shape of a Phoenix,Carved Architectural Detail,a Phoenix,,,detail
Q102963018,work of art,box,Carved box with lid,Carved box,,,lid,box
Q102963026,work of art,container,Carved Container with a Ceremonial Tea Scoop,Carved Container,,,a Ceremonial Tea Scoop,container
Q102963031,work of art,bowl,Carved ochre-colored bowl with a design of birds and flowers,Carved ochre-colored bowl,,of birds and flowers,,bowl
Q102963038,sculpture,rhinoceros,Carved rhinoceros horn with a design of plants and Mandarin ducks,Carved rhinoceros horn,,of plants and Mandarin ducks,,rhinoceros
Q102963048,furniture,family,Cassone from the Colonna family,Cassone from the Colonna family,,,,family
Q102963052,furniture,cassone,Cassone with Mannerist Design Elements,Cassone,,,Mannerist Design Elements,cassone
Q102963058,work of art,server,Cast iron wine server with simulated ray skin texture,Cast iron wine server,,,simulated ray skin texture,server
Q102963120,ceramics,dish,Celadon ware dish with a molded design of spiral and cherry blossoms,Celadon ware dish,,,a molded design of spiral and cherry blossoms,dish
Q102963138,work of art,censer,Censer in the shape of a duck with a hinged lid (dark patina),Censer,a duck with a hinged lid (dark patina),,,censer
Q102963144,ceramics,bowl,Ceramic bowl,Ceramic bowl,,,,bowl
Q102963149,ceramics,bowl,Ceramic Bowl,Ceramic Bowl,,,,bowl
Q102963155,ceramics,plate,Ceramic Plate,Ceramic Plate,,,,plate
Q102963161,ceramics,plaque,Ceramic platter (plaque) with boar hunting scene,Ceramic platter (plaque),,,boar hunting scene,plaque
Q102963179,ceramics,charger,Charger with a design of musicians and flowers in a landscape (Kutani ware),Charger,,of musicians and flowers in a landscape (Kutani ware),,charger
Q102963183,ceramics,charger,Charger with designs of court life and scenes from nature,Charger,,of court life and scenes from nature,,charger
Q102963196,sculpture,scoop,Chashaku (tea scoop) with a design of a cricket,Chashaku (tea scoop),,of a cricket,,scoop
Q102963201,ceramics,bowl,Chawan (tea bowl) with green glaze,Chawan (tea bowl),,,green glaze,bowl
Q102963212,ceramics,bowl,Chawan (tea bowl) with with white underglaze and red overglaze,Chawan (tea bowl),,, with white underglaze and red overglaze,bowl
Q102963216,work of art,chest,Chest of Drawers,Chest of Drawers,,,,chest
Q102963225,ceramics,figurine,Chicken effigy figurine,Chicken effigy figurine,,,,figurine
Q102963242,ceramics,vessel,Chimbote vessel,Chimbote vessel,,,,vessel
Q102963334,work of art,mirror,Circular mirror with unreadable design,Circular mirror,,,unreadable design,mirror
Q102963338,ceramics,dropper,Circular Suiteki (Water Dropper),Circular Suiteki (Water Dropper),,,,dropper
Q102963356,ceramics,fragment,Clay fragment,Clay fragment,,,,fragment
Q102963366,work of art,ashtray,Cloisonné ashtray,Cloisonné ashtray,,,,ashtray
Q102963369,work of art,bowl,Cloisonné bowl,Cloisonné bowl,,,,bowl
Q102963374,work of art,box,Cloisonne Box,Cloisonne Box,,,,box
Q102963654,textile,cloth,Cloth with a Design of an Elephant and a Decorative Border,Cloth,,of an Elephant and a Decorative Border,,cloth
Q102963665,work of art,figure,Clothed figure of a boar,Clothed figure of a boar,,,,figure
Q102963683,work of art,* Noun not detected!,Coasters (six in total),Coasters (six in total),,,,* Noun not detected!
Q102963693,coin,reproduction,Coin (reproduction),Coin (reproduction),,,,reproduction
Q102963702,work of art,compass,Compass with circular design on lid,Compass,,,circular design on lid,compass
Q102963736,ceramics,vessel,Cone shaped vessel with human face design on neck,Cone shaped vessel,,,human face design on neck,vessel
Q102963753,work of art,container,Container,Container,,,,container
Q102963763,work of art,container,Container in the form of a Buddhist god's head on three legs with inlaid semi-precious red stones (incense burner),Container,a Buddhist god's head on three legs with inlaid semi-precious red stones (incense burner),,,container
Q102963769,ceramics,container,Container in the shape of a squatting figure with broad face and goggles on his head,Container,a squatting figure with broad face and goggles on his head,,,container
Q102963776,ceramics,container,Container with a strap handle and human head,Container,,,a strap handle and human head,container
Q102963782,work of art,container,Container with swastika design and inscription for Buddhist effigy with drawstring bead (ojime),Container,,,swastika design and inscription for Buddhist effigy with drawstring bead (ojime),container
Q102963906,ceramics,bowl,Covered bowl with a landscape design (Kutani ware),Covered bowl,,,a landscape design (Kutani ware),bowl
Q102963910,ceramics,shell,Covered clam shell dish with a design of shell feet and a figure in a landscape (Kutani ware),Covered clam shell dish,,of shell feet and a figure in a landscape (Kutani ware),,shell
Q102963916,ceramics,pot,Covered Pot,Covered Pot,,,,pot
Q102963924,ceramics,bowl,Covered sugar bowl,Covered sugar bowl,,,,bowl
Q102963951,ceramics,bowl,Cream-colored bowl,Cream-colored bowl,,,,bowl
Q102963957,ceramics,creamer,Creamer,Creamer,,,,creamer
Q102963975,ceramics,box,Cricket box,Cricket box,,,,box
Q102963985,ceramics,cage,Cricket cage with a design of various objects,Cricket cage,,of various objects,,cage
Q102964002,ceramics,cup,Cup with an abstract bird design Karatsu ware,Cup,,,an abstract bird design Karatsu ware,cup
Q102964011,ceramics,cup,"Cup with handle, decorated with incised calligraphy (I-hsing ware)",Cup,,,"handle, decorated with incised calligraphy (I-hsing ware)",cup
Q102964070,ceramics,dish,Dark and pale blue dish,Dark and pale blue dish,,,,dish
Q102964173,work of art,shield,Decorated shield,Decorated shield,,,,shield
Q102964178,sculpture,plate,Decorative plate with portraits of an old woman and a young lady dressed in traditional Russian costume,Decorative plate,,,portraits of an old woman and a young lady dressed in traditional Russian costume,plate
Q102964209,ceramics,screen,Desk screen with a design in blue underglaze of grass orchids and poem (The fragrance of 100 flowers),Desk screen,,in blue underglaze of grass orchids and poem (The fragrance of 100 flowers),,screen
Q102964263,ceramics,ware,Diamond shaped oribe ware sauce dish with a design in black underglaze of circular patterns,Diamond shaped oribe ware sauce dish,,in black underglaze of circular patterns,,ware
Q102964318,work of art,vessel,Ding (vessel),Ding (vessel),,,,vessel
Q102964325,ceramics,bowl,"Ding ware bowl with brown glaze, incised with lotus flowers and leaves on interior of bowl",Ding ware bowl,,,"brown glaze, incised with lotus flowers and leaves on interior of bowl",bowl
Q102964334,ceramics,bowl,"Ding ware bowl, with a carved design of two lotuses and leaf vine with a central lotus flower bud","Ding ware bowl,",,,a carved design of two lotuses and leaf vine with a central lotus flower bud,bowl
Q102964340,ceramics,bowl,Ding ware tea bowl,Ding ware tea bowl,,,,bowl
Q102964347,work of art,band,Diquis Head Band,Diquis Head Band,,,,band
