act_id,flickr_id,license,new_license,url
54376,2594526135,by-nc-nd/2.0/,,http://www.flickr.com/photos/jimforest/2594526135/
54382,2594526135,by-nc-nd/2.0/,,http://www.flickr.com/photos/jimforest/2594526135/
54388,2848845995,by-nc-nd/2.0/,,http://www.flickr.com/photos/d1v1d/2848845995/
54363,399314378,"[{'date_change': 1348427695, 'old_license': 'Attribution-NonCommercial License', 'old_license_url': 'https://creativecommons.org/licenses/by-nc/2.0/', 'new_license': 'All Rights Reserved', 'new_license_url': ''}, {'date_change': 1547514689, 'old_license': 'All Rights Reserved', 'old_license_url': '', 'new_license': 'Attribution-NonCommercial-ShareAlike License', 'new_license_url': 'https://creativecommons.org/licenses/by-nc-sa/2.0/'}]",,http://www.flickr.com/photos/mvjantzen/399314378/
54365,3376892545,by/2.0/,,http://www.flickr.com/photos/eltb/3376892545/
54393,2064568851,by-nc-nd/2.0/,,http://www.flickr.com/photos/gauiscaecilius/2064568851/
54394,157008684,by-nc-nd/2.0/,,http://www.flickr.com/photos/healinglight/157008684/
54395,135554275,by-nc-sa/2.0/,,http://www.flickr.com/photos/mharrsch/135554275/
54399,3525277608,"[{'date_change': 1242125315, 'old_license': 'All Rights Reserved', 'old_license_url': '', 'new_license': 'Attribution-NoDerivs License', 'new_license_url': 'https://creativecommons.org/licenses/by-nd/2.0/'}, {'date_change': 1242171849, 'old_license': 'Attribution-NoDerivs License', 'old_license_url': 'https://creativecommons.org/licenses/by-nd/2.0/', 'new_license': 'Attribution-NoDerivs License', 'new_license_url': 'https://creativecommons.org/licenses/by-nd/2.0/'}]",,http://www.flickr.com/photos/vintagedept/3525277608/
54400,3459627617,by-nc-sa/2.0/,,http://www.flickr.com/photos/antxoa/3459627617/ - CC BY-NC-SA 2.0
54401,163674082,by-nc/2.0/,,http://www.flickr.com/photos/sacred_destinations/163674082/
54402,659092196,by-nc/2.0/,,http://www.flickr.com/photos/peterstewart/659092196/
54403,163674108,by-nc/2.0/,,http://www.flickr.com/photos/sacred_destinations/163674108/
54408,2968974657,by-nc-nd/2.0/,,http://www.flickr.com/photos/patterned/2968974657/
54409,202026970,by-nc/2.0/,,http://www.flickr.com/photos/sacred_destinations/202026970/
54410,157189021,by-nc-nd/2.0/,,http://www.flickr.com/photos/courgettelawn/157189021/
54411,171697834,"[{'date_change': 1218139795, 'old_license': 'All Rights Reserved', 'old_license_url': '', 'new_license': 'Attribution License', 'new_license_url': 'https://creativecommons.org/licenses/by/2.0/'}, {'date_change': 1299108935, 'old_license': 'Attribution License', 'old_license_url': 'https://creativecommons.org/licenses/by/2.0/', 'new_license': 'Attribution-NonCommercial License', 'new_license_url': 'https://creativecommons.org/licenses/by-nc/2.0/'}]",,http://www.flickr.com/photos/rstanek/171697834/
54413,171697595,"[{'date_change': 1218139795, 'old_license': 'All Rights Reserved', 'old_license_url': '', 'new_license': 'Attribution License', 'new_license_url': 'https://creativecommons.org/licenses/by/2.0/'}, {'date_change': 1299108935, 'old_license': 'Attribution License', 'old_license_url': 'https://creativecommons.org/licenses/by/2.0/', 'new_license': 'Attribution-NonCommercial License', 'new_license_url': 'https://creativecommons.org/licenses/by-nc/2.0/'}]",,http://www.flickr.com/photos/rstanek/171697595/
54412,86813169,by-nc-nd/2.0/,,http://www.flickr.com/photos/gloriachang/86813169/
54415,157189802,by-nc-nd/2.0/,,http://www.flickr.com/photos/courgettelawn/157189802/
54416,157187730,by-nc-nd/2.0/,,http://www.flickr.com/photos/courgettelawn/157187730/
54417,177596038,by-nc/2.0/,,http://www.flickr.com/photos/andreakirkby/177596038/
54418,2432592650,by-nc/2.0/,,http://www.flickr.com/photos/sacred_destinations/2432592650/
54419,2432592650,by-nc/2.0/,,http://www.flickr.com/photos/sacred_destinations/2432592650/
54420,2431779507,by-nc/2.0/,,http://www.flickr.com/photos/sacred_destinations/2431779507/
54421,2538290618,by-nc-nd/2.0/,,http://www.flickr.com/photos/jimforest/2538290618/
54422,2538231950,by-nc-nd/2.0/,,http://www.flickr.com/photos/jimforest/2538231950/
54423,336052627,by-nc/2.0/,,http://www.flickr.com/photos/paradasos/336052627/
54426,344249691,by-nc/2.0/,,http://www.flickr.com/photos/pelegrino/344249691/
54427,2488881811,by-nc/2.0/,,http://www.flickr.com/photos/sacred_destinations/2488881811/
54428,2428943065,by-nc/2.0/,,http://www.flickr.com/photos/sacred_destinations/2428943065/
54430,3558528491,by/2.0/,,http://www.flickr.com/photos/kevingessner/3558528491/
54431,2428945903,by-nc/2.0/,,http://www.flickr.com/photos/sacred_destinations/2428945903/
54436,2700885024,by/2.0/,by/2.0/,http://www.flickr.com/photos/wm_archiv/2700885024/
54437,344264759,by-nc/2.0/,,http://www.flickr.com/photos/pelegrino/344264759/
54438,2700078715,by/2.0/,by/2.0/,http://www.flickr.com/photos/wm_archiv/2700078715/
54440,2700050089,by/2.0/,by/2.0/,http://www.flickr.com/photos/wm_archiv/2700050089/
54441,3052765899,by-nc/2.0/,,http://www.flickr.com/photos/sacred_destinations/3052765899/
54442,2429754888,by-nc/2.0/,,http://www.flickr.com/photos/sacred_destinations/2429754888/
54443,3461135703,All Rights Reserved,by/2.0/,http://www.flickr.com/photos/brostad/3461135703/
54444,484134191,by-nc/2.0/,,http://www.flickr.com/photos/castefoto/484134191/
54533,408035834,by-nc-sa/2.0/,,https://www.flickr.com/photos/brieftaube/408035834
54556,163482546,by-nc/2.0/,,http://www.flickr.com/photos/feuilllu/163482546/in/photostream/
54558,162861704,by-nc/2.0/,,http://www.flickr.com/photos/feuilllu/162861704/
54559,2195472248,by-nc-sa/2.0/,,http://www.flickr.com/photos/charlesfred/2195472248/
54561,1435486506,by-nc-nd/2.0/,,http://www.flickr.com/photos/adstream/1435486506/
54562,314606353,,,http://www.flickr.com/photos/trevino/314606353/in/photostream
54563,314605443,,,http://www.flickr.com/photos/trevino/314605443/in/photostream/
54564,314624128,,,http://www.flickr.com/photos/trevino/314624128/
54565,2849331581,,,http://www.flickr.com/photos/nassergazi/2849331581/
54566,2850105348,,,http://www.flickr.com/photos/nassergazi/2850105348/
54569,163482546,by-nc/2.0/,,http://www.flickr.com/photos/feuilllu/163482546/
54570,163483836,by-nc/2.0/,,http://www.flickr.com/photos/feuilllu/163483836/
54571,2927380544,by-nc/2.0/,,http://www.flickr.com/photos/artandmale/2927380544/in/pool-354191@N23/
54576,246763286,,,http://www.flickr.com/photos/sbloemker/246763286/in/photostream/
54577,619216531,by-nc-nd/2.0/,,http://www.flickr.com/photos/carabul/619216531/
54578,3102221308,"[{'date_change': 1437926444, 'old_license': 'Attribution License', 'old_license_url': 'https://creativecommons.org/licenses/by/2.0/', 'new_license': 'All Rights Reserved', 'new_license_url': ''}, {'date_change': 1438573591, 'old_license': 'All Rights Reserved', 'old_license_url': '', 'new_license': 'All Rights Reserved', 'new_license_url': ''}]",,http://www.flickr.com/photos/72213316@N00/3102221308/
54579,3108879018,"[{'date_change': 1437926444, 'old_license': 'Attribution License', 'old_license_url': 'https://creativecommons.org/licenses/by/2.0/', 'new_license': 'All Rights Reserved', 'new_license_url': ''}, {'date_change': 1438573591, 'old_license': 'All Rights Reserved', 'old_license_url': '', 'new_license': 'All Rights Reserved', 'new_license_url': ''}]",,http://www.flickr.com/photos/72213316@N00/3108879018/
54580,3108880834,"[{'date_change': 1437926444, 'old_license': 'Attribution License', 'old_license_url': 'https://creativecommons.org/licenses/by/2.0/', 'new_license': 'All Rights Reserved', 'new_license_url': ''}, {'date_change': 1438573591, 'old_license': 'All Rights Reserved', 'old_license_url': '', 'new_license': 'All Rights Reserved', 'new_license_url': ''}]",,http://www.flickr.com/photos/72213316@N00/3108880834/in/photostream/
54582,3497506651,by-nc-sa/2.0/,,http://www.flickr.com/photos/8262646@N06/3497506651/
54583,332730542,by-nc-sa/2.0/,,http://www.flickr.com/photos/gogap/332730542/
54584,229165357,by-sa/2.0/,,http://www.flickr.com/photos/vshioshvili/229165357/
54585,787968707,by-nc-sa/2.0/,by/2.0/,http://www.flickr.com/photos/mharrsch/787968707/
54593,499890404,by-nc-sa/2.0/,,http://www.flickr.com/photos/mharrsch/499890404/
54594,3621619228,by-nc/2.0/,,http://www.flickr.com/photos/peterjr1961/3621619228/
54595,3443916347,"[{'date_change': 1559741684, 'old_license': 'Attribution License', 'old_license_url': 'https://creativecommons.org/licenses/by/2.0/', 'new_license': 'All Rights Reserved', 'new_license_url': ''}, {'date_change': 1560162160, 'old_license': 'All Rights Reserved', 'old_license_url': '', 'new_license': 'All Rights Reserved', 'new_license_url': ''}]",,http://www.flickr.com/photos/clairity/3443916347/in/photostream
54597,159475876,by-nc-nd/2.0/,,http://www.flickr.com/photos/jimforest/159475876/
54612,359914271,,,http://www.flickr.com/photos/ser_ddima/359914271/
54613,2782803597,by-nc-sa/2.0/,,http://www.flickr.com/photos/yckx/2782803597/
54621,2346863691,by/2.0/,,http://www.flickr.com/photos/mamjodh/2346863691/
54623,225049781,"[{'date_change': 1251660900, 'old_license': 'All Rights Reserved', 'old_license_url': '', 'new_license': 'Attribution License', 'new_license_url': 'https://creativecommons.org/licenses/by/2.0/'}, {'date_change': 1251661255, 'old_license': 'Attribution License', 'old_license_url': 'https://creativecommons.org/licenses/by/2.0/', 'new_license': 'Attribution License', 'new_license_url': 'https://creativecommons.org/licenses/by/2.0/'}]",,http://www.flickr.com/photos/jeanlouis_zimmermann/225049781/in/photostream/
54625,44868788544,by-nc-nd/2.0/,,https://www.flickr.com/photos/algarve04/44868788544
54627,2128346048,by-nc/2.0/,,http://www.flickr.com/photos/andrew_suzanne/2128346048/in/photostream/
54628,3041292740,by-nc/2.0/,,http://www.flickr.com/photos/artandmale/3041292740/
54629,2127529183,by-nc/2.0/,,http://www.flickr.com/photos/andrew_suzanne/2127529183/in/photostream/
54631,3990207055,by-nc-nd/2.0/,All Rights Reserved,http://www.flickr.com/photos/cristinaonde/3990207055/in/photostream/
54632,2128326450,by-nc/2.0/,,http://www.flickr.com/photos/andrew_suzanne/2128326450/
54637,2942149672,by-sa/2.0/,All Rights Reserved,http://www.flickr.com/photos/unforth/2942149672/
54638,3488217621,"[{'date_change': 1241955902, 'old_license': 'All Rights Reserved', 'old_license_url': '', 'new_license': 'Attribution-NonCommercial License', 'new_license_url': 'https://creativecommons.org/licenses/by-nc/2.0/'}, {'date_change': 1241976182, 'old_license': 'Attribution-NonCommercial License', 'old_license_url': 'https://creativecommons.org/licenses/by-nc/2.0/', 'new_license': 'Attribution License', 'new_license_url': 'https://creativecommons.org/licenses/by/2.0/'}, {'date_change': 1314618878, 'old_license': 'Attribution License', 'old_license_url': 'https://creativecommons.org/licenses/by/2.0/', 'new_license': 'All Rights Reserved', 'new_license_url': ''}]",,http://www.flickr.com/photos/t_p_s/3488217621/
54639,2403421213,by-nc-nd/2.0/,,http://www.flickr.com/photos/ferkel/2403421213/in/photostream/
54643,2810884187,by-nc/2.0/,,https://www.flickr.com/photos/sacred_destinations/2810884187
