accession_number,mid,description,score,topicality
1979.1188P,/m/02xlf,Fiction,0.5757965,0.5757965
1979.1189P,/m/03gq5hm,Font,0.8567997,0.8567997
1979.1189P,/m/0457gc6,Material property,0.8009344,0.8009344
1979.1189P,/m/0bt_c3,Book,0.67887396,0.67887396
1979.1189P,/m/01n5jq,Poster,0.6735454,0.6735454
1979.1189P,/m/01h1dd,Publication,0.64877653,0.64877653
1979.1189P,/m/02vwbzz,Electric blue,0.59735334,0.59735334
1979.1189P,/m/011s0,Advertising,0.5672404,0.5672404
1979.1189P,/m/0jjw,Art,0.5572301,0.5572301
1979.1189P,/m/05t_yt,Carmine,0.5391812,0.5391812
1979.1190P,/m/03gq5hm,Font,0.84444433,0.84444433
1979.1190P,/m/0457gc6,Material property,0.80090165,0.80090165
1979.1190P,/m/01h1dd,Publication,0.71326935,0.71326935
1979.1190P,/m/02vwbzz,Electric blue,0.59896874,0.59896874
1979.1190P,/m/05t_yt,Carmine,0.5962511,0.5962511
1979.1190P,/m/0bkqqh,Signage,0.5795128,0.5795128
1979.1190P,/m/01vkl,Circle,0.53626996,0.53626996
1979.1190P,/m/011s0,Advertising,0.533591,0.533591
1979.1191P,/m/03gq5hm,Font,0.84651345,0.84651345
1979.1191P,/m/0bt_c3,Book,0.72270477,0.72270477
1979.1191P,/m/01h1dd,Publication,0.710319,0.710319
1979.1191P,/m/05t_yt,Carmine,0.5783586,0.5783586
1979.1191P,/m/02vwbzz,Electric blue,0.57675415,0.57675415
1979.1191P,/m/011s0,Advertising,0.54292536,0.54292536
1979.1191P,/m/0bkqqh,Signage,0.54108775,0.54108775
1979.1192P,/m/03gq5hm,Font,0.85070956,0.85070956
1979.1192P,/m/0bt_c3,Book,0.8028735,0.8028735
1979.1192P,/m/0457gc6,Material property,0.80048484,0.80048484
1979.1192P,/m/01h1dd,Publication,0.7865916,0.7865916
1979.1192P,/m/05t_yt,Carmine,0.5798285,0.5798285
1979.1192P,/m/02vwbzz,Electric blue,0.5773439,0.5773439
1979.1192P,/m/011s0,Advertising,0.5360215,0.5360215
1979.1192P,/m/0bkqqh,Signage,0.5044843,0.5044843
1979.1193P,/m/03gq5hm,Font,0.844089,0.844089
1979.1193P,/m/01h1dd,Publication,0.76621956,0.76621956
1979.1193P,/m/0bt_c3,Book,0.6717607,0.6717607
1979.1193P,/m/011s0,Advertising,0.63239986,0.63239986
1979.1193P,/m/02vwbzz,Electric blue,0.5788406,0.5788406
1979.1193P,/m/0bkqqh,Signage,0.5484433,0.5484433
1979.1193P,/m/0jjw,Art,0.5085592,0.5085592
1979.1194P,/m/03gq5hm,Font,0.856074,0.856074
1979.1194P,/m/0457gc6,Material property,0.80026823,0.80026823
1979.1194P,/m/0bt_c3,Book,0.7935749,0.7935749
1979.1194P,/m/01h1dd,Publication,0.76423216,0.76423216
1979.1194P,/m/0jjw,Art,0.6010958,0.6010958
1979.1194P,/m/02vwbzz,Electric blue,0.58703375,0.58703375
1979.1194P,/m/05t_yt,Carmine,0.57855606,0.57855606
1979.1194P,/m/011s0,Advertising,0.5525284,0.5525284
1979.1194P,/m/01kr8f,Illustration,0.5101693,0.5101693
1979.1194P,/m/0bkqqh,Signage,0.5032221,0.5032221
1979.1196P,/m/01n5jq,Poster,0.8621407,0.8621407
1979.1196P,/m/0244x1,Gesture,0.8492134,0.8492134
1979.1196P,/m/03gq5hm,Font,0.83626646,0.83626646
1979.1196P,/m/019nj4,Smile,0.7436907,0.7436907
1979.1196P,/m/016pp7,Happy,0.7394565,0.7394565
1979.1196P,/m/05p553,Comedy,0.70236576,0.70236576
1979.1196P,/m/0jjw,Art,0.6723274,0.6723274
1979.1196P,/m/011s0,Advertising,0.62279224,0.62279224
1979.1196P,/m/01kr8f,Illustration,0.62033224,0.62033224
1979.1196P,/m/09kqc,Humour,0.61877495,0.61877495
1979.1197P,/m/05nnm,Organism,0.86065245,0.86065245
1979.1197P,/m/07_gml,Working animal,0.7785607,0.7785607
1979.1197P,/m/03gq5hm,Font,0.76666343,0.76666343
1979.1197P,/m/011s0,Advertising,0.6899185,0.6899185
1979.1197P,/m/01n5jq,Poster,0.67907125,0.67907125
1979.1197P,/m/08t9c_,Grass,0.65018255,0.65018255
1979.1197P,/m/01c7cq,Grassland,0.6476505,0.6476505
1979.1197P,/m/01kr8f,Illustration,0.6270292,0.6270292
1979.1197P,/m/0jjw,Art,0.6155988,0.6155988
1979.1197P,/m/0fbf1m,Terrestrial animal,0.61246735,0.61246735
1979.1198P,/m/03gq5hm,Font,0.82988787,0.82988787
1979.1198P,/m/01h1dd,Publication,0.6848311,0.6848311
1979.1198P,/m/0jjw,Art,0.6170344,0.6170344
1979.1198P,/m/0j62f,Rectangle,0.5959261,0.5959261
1979.1198P,/m/0h8p59j,Paper product,0.5483441,0.5483441
1979.1198P,/m/0641k,Paper,0.53881246,0.53881246
1979.1198P,/m/011s0,Advertising,0.5039114,0.5039114
1979.1199P,/m/0244x1,Gesture,0.8296035,0.8296035
1979.1199P,/m/0jjw,Art,0.803324,0.803324
1979.1199P,/m/03gq5hm,Font,0.7658537,0.7658537
1979.1199P,/m/078hm,Slope,0.74084824,0.74084824
1979.1199P,/m/01kr8f,Illustration,0.68787336,0.68787336
1979.1199P,/m/02csf,Drawing,0.6611437,0.6611437
1979.1199P,/m/05qdh,Painting,0.6464689,0.6464689
1979.1199P,/m/021sdg,Graphics,0.6447629,0.6447629
1979.1199P,/m/03f52z,Eyelash,0.6382005,0.6382005
1979.1199P,/m/01mwkf,Monochrome,0.58032465,0.58032465
1979.1200P,/m/0jjw,Art,0.7928134,0.7928134
1979.1200P,/m/01n5jq,Poster,0.77302366,0.77302366
1979.1200P,/m/03gq5hm,Font,0.7558481,0.7558481
1979.1200P,/m/01h1dd,Publication,0.7521105,0.7521105
1979.1200P,/m/0bt_c3,Book,0.7382907,0.7382907
1979.1200P,/m/01kr8f,Illustration,0.7015484,0.7015484
1979.1200P,/m/09xbm8,Book cover,0.69936377,0.69936377
1979.1200P,/m/011s0,Advertising,0.67433107,0.67433107
1979.1200P,/m/019swr,Knee,0.62881905,0.62881905
1979.1200P,/m/02xlf,Fiction,0.6245459,0.6245459
1979.1210P,/m/03k3r,Horse,0.9478949,0.9478949
1979.1210P,/m/03gq5hm,Font,0.82701564,0.82701564
1979.1210P,/m/0jjw,Art,0.8239699,0.8239699
1979.1210P,/m/01kr8f,Illustration,0.69958466,0.69958466
1979.1210P,/m/0p9xx,Visual arts,0.67497563,0.67497563
1979.1210P,/m/05y4t,Paint,0.6629397,0.6629397
1979.1210P,/m/02csf,Drawing,0.63631177,0.63631177
1979.1210P,/m/021sdg,Graphics,0.62696916,0.62696916
1979.1210P,/m/07_gml,Working animal,0.6259162,0.6259162
1979.1210P,/m/0464z4,Pack animal,0.5873698,0.5873698
1979.1245P,/m/0j62f,Rectangle,0.84921765,0.84921765
1979.1245P,/m/03gq5hm,Font,0.82263,0.82263
1979.1245P,/m/0244x1,Gesture,0.8149739,0.8149739
1979.1245P,/m/09ddf,Symbol,0.74450386,0.74450386
1979.1245P,/m/02vwbzz,Electric blue,0.7373559,0.7373559
1979.1245P,/m/01vkl,Circle,0.7318039,0.7318039
1979.1245P,/m/0dwx7,Logo,0.7189985,0.7189985
1979.1245P,/m/021sdg,Graphics,0.66345966,0.66345966
1979.1245P,/m/01wk9c,Emblem,0.6534016,0.6534016
1979.1245P,/m/05t_yt,Carmine,0.55975443,0.55975443
1980.003,/m/09nm_,World,0.9114974,0.9114974
1980.003,/m/0jjw,Art,0.8513532,0.8513532
1980.003,/m/0d9wj,Urban design,0.8509665,0.8509665
1980.003,/m/03gq5hm,Font,0.8384456,0.8384456
1980.003,/m/05y4t,Paint,0.83325446,0.83325446
1980.003,/m/03scnj,Line,0.8176499,0.8176499
1980.003,/m/06fvc,Red,0.81194353,0.81194353
