accession_number,description,score,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
1980.118,Packaged goods,0.51389605,0.013632526,0.9973958,0.024447834,0.95426065,18,1307,24,954
1980.121,Scarf,0.7312184,0.08096215,0.9803791,0.046313003,0.95039034,106,1286,46,950
1980.121,Hat,0.5545877,0.106546395,0.9969631,0.021891596,0.94742674,140,1308,22,947
1980.123,Pillow,0.57966524,0.032587294,0.9973958,0.010703423,0.98756933,44,1357,11,988
1980.126,Scarf,0.6743809,0.05342226,0.97104925,0.0092353495,0.95589066,71,1292,9,955
1981.015,Luggage & bags,0.7569363,0.13207427,0.883417,0.11708832,0.8812768,162,1086,117,881
1981.016,Animal,0.57654935,0.1735334,0.8299701,0.13706844,0.86231023,226,1081,137,862
1981.017,Packaged goods,0.67202616,0.0007118474,0.9966791,0.011957123,0.9665034,1,1255,12,967
1981.017,Hat,0.61572886,0.1704573,0.801712,0.1513475,0.8539421,215,1009,151,854
1981.018,Packaged goods,0.69605154,0.012099444,0.973666,0.028912574,0.9306648,12,974,39,1251
1981.020,Person,0.64338654,0.24764597,0.6302666,0.15103418,0.964488,311,792,151,964
1981.021,Person,0.6606929,0.101857014,0.9365041,0.064379506,0.9858354,102,937,84,1286
1981.022,Mirror,0.6999235,0.0,0.99066067,0.047701713,0.92572504,0,991,64,1234
1981.024a,Furniture,0.5265135,0.014130504,0.98262614,0.01696547,0.98262763,14,983,22,1280
1981.024c,Table top,0.54219455,0.026765054,0.9973958,0.007178072,0.9719801,36,1358,7,972
1981.024f,Furniture,0.57932305,0.025738033,0.9742229,0.023017213,0.9693745,26,973,27,1127
1981.024g,Lighting,0.52933854,0.022783339,0.96914333,0.014573491,0.9730981,30,1257,15,973
1981.024i,Furniture,0.54129434,0.024957404,0.9971616,0.017960206,0.9605873,50,1978,18,961
1981.024j,Table top,0.6155642,0.029435402,0.9958896,0.015341607,0.97329503,29,995,21,1323
1982.002,Sculpture,0.63225937,0.13494216,0.84262294,0.05304244,0.8649421,135,842,66,1084
1982.012,Hat,0.6695224,0.124502905,0.88932306,0.116829775,0.8522847,125,889,120,874
1982.016,Hat,0.73071694,0.16659537,0.4654572,0.14949106,0.32948944,168,469,149,329
1982.016,Person,0.69226193,0.14747806,0.7531988,0.17900081,0.7890051,149,758,179,788
1982.016,Animal,0.67166597,0.35308778,0.7780259,0.27960637,0.7593859,356,783,279,759
1982.019,Luggage & bags,0.7634075,0.025861392,0.9861338,0.019565608,0.93596935,26,985,20,954
1982.020,Animal,0.7040989,0.40772474,0.53001386,0.57473063,0.7131414,408,530,583,723
1982.020,Animal,0.648553,0.28567204,0.38947976,0.5786026,0.7142573,286,389,587,724
1982.020,Animal,0.6341358,0.56700355,0.65582234,0.5221283,0.69626456,567,656,529,706
1982.020,Animal,0.632513,0.6274795,0.7506506,0.18467313,0.29904163,627,751,187,303
1982.020,Animal,0.6271683,0.16668963,0.28144327,0.52605575,0.6523574,167,281,533,661
1982.020,Animal,0.60551745,0.40920708,0.563986,0.66663605,0.75748277,409,564,676,768
1982.020,Animal,0.6032267,0.20980321,0.32617295,0.57821256,0.70895773,210,326,586,719
1982.020,Animal,0.6029584,0.8177445,0.94609076,0.6033036,0.76084703,818,946,612,771
1982.020,Animal,0.601871,0.34625158,0.45154524,0.5458027,0.6640509,346,452,553,673
1982.020,Animal,0.6009557,0.32265314,0.4388422,0.45529783,0.5695875,323,439,462,578
1982.022,Luggage & bags,0.6356781,0.06646644,0.9490772,0.07060282,0.9252748,66,948,71,933
1982.027,Bracelet,0.82285225,0.250167,0.77055305,0.32366025,0.6462652,250,770,332,662
1982.028,Hat,0.6314262,0.2855412,0.58971083,0.12899384,0.373698,285,589,132,383
1982.035,Scarf,0.8999434,0.048229296,0.96384174,0.034487236,0.8756509,48,963,36,903
1982.036,Luggage & bags,0.52444655,0.33587584,0.7278816,0.19227277,0.7022547,340,736,192,702
1982.037,Scarf,0.74497813,0.14344944,0.83934593,0.111973524,0.8140219,143,839,114,825
1982.040,Packaged goods,0.6157148,0.2658215,0.76231724,0.22819114,0.7099517,271,777,228,710
1982.040,Lighting,0.50563604,0.057978734,0.974226,0.00959053,0.97645897,59,993,10,976
1982.044,Person,0.70431864,0.11716178,0.39137065,0.19426917,0.7269197,117,391,195,729
1982.044,Person,0.68403697,0.37544325,0.5855691,0.24232163,0.68496364,375,585,243,687
1982.044,Person,0.63760084,0.557854,0.73895603,0.27509364,0.6766146,557,738,276,679
1982.044,Person,0.58856267,0.6947775,0.8702921,0.24632742,0.69184357,694,869,247,694
1982.054,Animal,0.6427706,0.3075712,0.81331456,0.15183306,0.7402362,307,813,153,745
1982.054,Hat,0.5423407,0.006403832,0.9973958,0.052744806,0.9546667,6,996,53,960
1982.054,Luggage & bags,0.53645897,0.013209782,0.9775147,0.10433603,0.8778875,13,977,105,883
1982.057,Animal,0.5859887,0.0024422568,0.117172696,0.36956513,0.5699774,2,119,369,569
1982.058,Packaged goods,0.78305596,0.07084192,0.92885137,0.031456564,0.9570277,71,929,32,961
1982.065,Lighting,0.6495841,0.12021045,0.8246389,0.11295251,0.67748314,120,825,151,903
1982.069,Scarf,0.9493125,0.09850404,0.87185264,0.06695081,0.9129397,99,872,87,1186
1982.070,Animal,0.6869988,0.17073698,0.8276329,0.12651691,0.84999895,171,828,160,1073
1982.071,Person,0.52869713,0.22174032,0.6689877,0.15104705,0.58631045,222,669,232,899
1982.072,Person,0.6837259,0.092440285,0.628087,0.32393548,0.83330715,92,628,422,1085
1982.073,Person,0.7237093,0.1292149,0.76621485,0.43346703,0.87819463,129,766,668,1352
1982.074,Person,0.57627344,0.14002652,0.76127553,0.10123009,0.7488033,140,761,129,953
1982.075,Person,0.8634105,0.12226639,0.7541788,0.06941639,0.7655802,122,753,95,1046
1982.080,Person,0.60642165,0.60742664,0.7812591,0.6866165,0.9388214,607,780,690,944
1982.080,Person,0.5952677,0.40522265,0.5784212,0.68841916,0.9387104,405,578,692,943
1982.080,Person,0.59256196,0.002396109,0.17298023,0.38466313,0.6401617,2,173,387,643
1982.080,Person,0.5678301,0.80909246,0.97978383,0.69272906,0.95330316,808,979,696,958
1982.080,Toy,0.5506315,0.201586,0.3751688,0.06030141,0.32122803,201,375,61,323
