Title,Url,yes/no
The Least of These: Black Church Children's and Youth Outreach Efforts,http://search.proquest.com/socabs/docview/61763270/C6BEB668113C48A1PQ/26?accountid=14816,
Practicing What You Preach: An Analysis of Racial Attitudes of Two Christian Churches,http://search.proquest.com/socabs/docview/61510113/C6BEB668113C48A1PQ/25?accountid=14816,
Debunking Deficiency Theories: Evaluating Non-Traditional Attitudes and Behavior among Residents in Poor Urban Neighborhoods,http://search.proquest.com/socabs/docview/60398696/C6BEB668113C48A1PQ/24?accountid=14816,
"Stressors and Strengths: A Theoretical and Practical Examination of Nuclear, Single-Parent, and Augmented African American Families",http://search.proquest.com/socabs/docview/60077677/C6BEB668113C48A1PQ/23?accountid=14816,
"The ""American Dream"" in Poor Urban Neighborhoods: An Analysis of Home Ownership Attitudes and Behavior and Financial Saving Behavior",http://search.proquest.com/socabs/docview/60467904/C6BEB668113C48A1PQ/21?accountid=14816,
The Ebonics Enigma: An Analysis of Attitudes on an Urban College Campus,http://search.proquest.com/socabs/docview/60482598/C6BEB668113C48A1PQ/20?accountid=14816,
Determinants of Individual Neighborhood Ties and Social Resources in Poor Urban Neighborhoods,http://search.proquest.com/socabs/docview/60463972/C6BEB668113C48A1PQ/19?accountid=14816,
"The Clustering of Poor Urban, Chicago Residents: An Empirical Analysis of Social Differentiation",http://search.proquest.com/socabs/docview/61749106/C6BEB668113C48A1PQ/18?accountid=14816,
An Analysis Of Black Church Usage Of Black Liberation And Womanist Theologies: Implications For Inclusivity,http://search.proquest.com/socabs/docview/61689150/C6BEB668113C48A1PQ/17?accountid=14816,
An Intra-Ethnic Analysis of Social Affiliations Among Latinos in the United States,http://search.proquest.com/socabs/docview/61631087/C6BEB668113C48A1PQ/16?accountid=14816,
Enter into His Gates: An Analysis of Black Church Participation Patterns,http://search.proquest.com/socabs/docview/61739556/C6BEB668113C48A1PQ/15?accountid=14816,
