accession_number,status,description,image_url
1957.016,uploaded,Bird,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.016.jpg/pct:58.984375,9.082031,33.203125,44.433594/full/0/default.jpg"
1957.016,uploaded,Bird,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.016.jpg/pct:11.328125,37.5,43.75,23.828125/full/0/default.jpg"
1957.016,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.016.jpg/pct:11.328125,37.5,43.75,23.828125/full/0/default.jpg"
1957.016,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.016.jpg/pct:58.984375,9.082031,33.203125,44.433594/full/0/default.jpg"
1957.017,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.017.jpg/pct:1.928711,1.8188476999999998,96.508789,92.7124023/full/0/default.jpg"
1957.018,uploaded,Clothing,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.018.jpg/pct:29.492188000000002,12.597655999999999,52.929687,59.277344/full/0/default.jpg"
1957.019,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.019.jpg/pct:0.7690429699999999,2.8320312,96.88720703,92.48046880000001/full/0/default.jpg"
1957.019,uploaded,Clothing,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.019.jpg/pct:72.65625,52.34375,13.671875,32.421875/full/0/default.jpg"
1957.021,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.021.tif/pct:1.7700194999999999,2.6489257999999998,94.3237305,88.3666992/!512,512/0/default.jpg"
1957.023,uploaded,Vase,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.023.jpg/pct:31.640625,30.273438000000002,32.8125,48.632811999999994/full/0/default.jpg"
1957.025,uploaded,Sword,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.025.jpg/pct:24.316405999999997,5.3222656,48.730469,86.8652344/full/0/default.jpg"
1957.026,uploaded,Bird,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.026.jpg/pct:8.154297000000001,14.257812,82.861328,65.820313/full/0/default.jpg"
1957.027,uploaded,Bottle,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.027.jpg/pct:30.664061999999998,7.373047000000001,38.867188000000006,77.001953/!512,512/0/default.jpg"
1957.027,uploaded,Vase,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.027.jpg/pct:30.664061999999998,7.373047000000001,38.867188000000006,77.001953/!512,512/0/default.jpg"
