accession_number,description,score,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
2015.038l,Picture frame,0.681529,0.22979271,0.7658377,0.17217606,0.73399705,230,765,225,960
2015.038ll,Pillow,0.6681728,0.073438175,0.9192972,0.118693836,0.9024014,98,1223,119,901
2015.038mm,Hat,0.62382126,0.06222393,0.9961459,0.016342469,0.99532634,62,996,21,1306
2015.038mm,Shoe,0.5552011,0.13277102,0.9857311,0.7809953,0.9973958,133,986,1025,1309
2015.038n,Packaged goods,0.6310642,0.0,0.9973958,0.0,0.9973958,0,1310,0,997
2015.038oo,Hat,0.58765155,0.0,0.9973958,0.0,0.9901292,0,997,0,1292
2015.038p,Ball,0.74522066,0.14429487,0.8710062,0.09491686,0.9009938,144,871,124,1175
2015.038pp,Hat,0.55391586,0.08602468,0.9173136,0.1215091,0.8902479,86,917,159,1167
2015.038q,Hat,0.70550394,0.17764401,0.82484585,0.2331766,0.74556893,178,825,305,974
2015.038s,Picture frame,0.74530876,0.030298844,0.95768243,0.05656494,0.9166699,40,1254,57,917
2015.038tt,Wardrobe,0.8061511,0.056432366,0.8921817,0.047790855,0.89190686,56,891,62,1159
2015.038tt,Mirror,0.615495,0.0883644,0.6837079,0.16818245,0.85932964,88,683,218,1116
2015.038uu,Lighting,0.716415,0.026647372,0.97088456,0.045014244,0.9240427,27,971,59,1213
2015.038v,Scarf,0.88382465,0.074687116,0.9438773,0.0433622,0.72533804,75,944,57,949
2015.038vv,Packaged goods,0.7728064,0.13086295,0.8587169,0.070413776,0.9238425,131,859,92,1204
2015.038w,Lighting,0.761189,0.14863355,0.8598926,0.1851554,0.8051128,149,860,242,1053
2015.038x,Packaged goods,0.61473024,0.049670678,0.95010597,0.0830361,0.86227655,50,950,109,1129
2015.038z,Packaged goods,0.5378234,0.33151987,0.9024112,0.084454775,0.91359687,435,1184,84,914
2015.075.01,Packaged goods,0.7049876,0.083730735,0.98153347,0.019337412,0.99307275,84,982,27,1403
2015.075.02,Packaged goods,0.5450389,0.0034164395,0.9973958,0.019905569,0.97591776,3,997,28,1379
2015.075.03,Packaged goods,0.6183327,0.0013344018,0.9973958,0.0,0.9967304,1,996,0,1394
2015.075.04,Packaged goods,0.7133601,0.0006730864,0.9973958,0.0,0.6340805,1,997,0,900
2015.075.05,Packaged goods,0.66789997,0.0,0.99713665,0.0,0.9855147,0,997,0,1415
2015.075.06,Packaged goods,0.74517435,0.58836,0.85925573,0.74328095,0.8900637,588,858,1051,1259
2015.075.06,Packaged goods,0.6892289,0.016377678,0.27342376,0.7801464,0.9346935,16,273,1103,1322
2015.075.06,Packaged goods,0.68395257,0.3353691,0.5666414,0.80568486,0.9825535,335,566,1139,1389
2015.075.06,Packaged goods,0.617845,0.0,0.19942193,0.6123383,0.7827901,0,199,866,1107
2015.075.07,Packaged goods,0.77832025,0.0,0.9973958,0.0,0.9896255,0,997,0,1420
2015.075.08,Packaged goods,0.7324742,0.0,0.9973958,0.0003102071,0.9973958,0,996,0,1413
2015.075.10,Packaged goods,0.73770046,0.0,0.99625564,0.0,0.9973958,0,996,0,1413
2015.075.11,Packaged goods,0.73841155,0.0,0.99430245,0.00017805102,0.9973958,0,994,0,1396
2015.075.12,Tie,0.9521801,0.39088258,0.4952114,0.82298213,0.99515826,391,495,1172,1417
2015.075.12,Hat,0.512134,0.04619859,0.9165087,0.2071352,0.8869498,46,917,295,1263
2015.075.14,Scarf,0.62376887,0.022622705,0.9758621,0.018690899,0.95609826,23,975,26,1331
2015.075.15,Packaged goods,0.74857396,0.0,0.99728227,0.0,0.983888,0,997,0,1401
2015.075.16,Hat,0.78743815,0.0077149007,0.9652557,0.013245792,0.36527076,8,965,19,512
2015.075.16,Necklace,0.52814335,0.016271604,0.97119385,0.36549726,0.80544204,16,971,512,1128
2015.075.17,Hat,0.76187575,0.014403585,0.975795,0.010310478,0.28956816,14,976,15,410
2015.075.17,Person,0.63273484,0.02610656,0.9614002,0.053316742,0.8395717,26,961,76,1190
2015.075.18,Packaged goods,0.7709815,0.0,0.9973958,0.0036230262,0.97469777,0,996,5,1372
2015.075.19,Packaged goods,0.6026875,0.0,0.9973958,0.0056555425,0.988492,0,997,8,1390
2015.075.20,Person,0.53044474,0.011435037,0.98980254,0.013117396,0.9892294,11,990,19,1405
2015.075.21,Packaged goods,0.56588465,0.0,0.9861858,0.0,0.9937225,0,986,0,1396
2015.075.22,Packaged goods,0.6881107,0.0069082906,0.9973958,0.0,0.8936264,7,996,0,1252
2015.075.23,Packaged goods,0.6975077,0.060571324,0.95667857,0.0014794286,0.9428894,61,957,2,1327
2015.075.24,Packaged goods,0.7140504,0.007794147,0.9806451,0.00031769773,0.98604655,8,980,0,1392
2015.075.25,Packaged goods,0.66666937,0.0,0.9973958,0.0,0.9973958,0,997,0,1406
2015.075.26,Packaged goods,0.7369209,0.0024604036,0.9973958,0.033832874,0.9797435,2,997,47,1368
2015.075.27,Person,0.8426346,0.48994708,0.6219056,0.26043153,0.55874527,490,622,363,778
2015.075.27,Person,0.7292919,0.79968214,0.9657057,0.34912667,0.7236394,800,966,486,1008
2015.075.27,Person,0.6912614,0.1411065,0.22935224,0.45512328,0.63496214,141,229,634,885
2015.075.27,Person,0.66168195,0.7050717,0.8455414,0.4450548,0.7268617,705,846,620,1013
2015.075.27,Clothing,0.5152539,0.57023615,0.7087396,0.54331535,0.7070591,570,709,757,985
2015.075.28,Person,0.8337264,0.14244173,0.29267004,0.19677608,0.36048186,142,293,287,526
2015.075.28,Person,0.8160977,0.28470904,0.4275587,0.17041679,0.36152315,285,428,248,527
2015.075.28,Person,0.8111774,0.33702376,0.5279686,0.5407462,0.8249293,337,528,788,1203
2015.075.28,Person,0.8061898,0.48931733,0.65797216,0.56391746,0.8081134,489,658,822,1178
2015.075.28,Person,0.7308568,0.8048207,0.905811,0.20835699,0.3552878,805,906,304,518
2015.075.28,Person,0.70678425,0.6191221,0.7794115,0.2013284,0.36778808,619,779,294,536
2015.075.28,Couch,0.66003644,0.17948763,0.80021185,0.5772756,0.8311662,179,800,842,1212
2015.075.28,Person,0.6512863,0.5353135,0.6781487,0.15403248,0.34989873,535,678,225,510
2015.075.29,Person,0.8022746,0.10657329,0.51815677,0.20863967,0.71387655,106,518,295,1009
2015.075.29,Person,0.7174055,0.47852206,0.88553923,0.2595788,0.7245001,478,885,367,1024
2015.075.30,Person,0.7461055,0.34664512,0.8166595,0.058122084,0.45304883,347,817,82,642
2015.075.30,Packaged goods,0.71471506,0.0016518022,0.9947105,0.44053018,0.9803338,2,995,625,1390
2015.075.30,Person,0.5709682,0.12869309,0.6697376,0.022667086,0.44754037,129,670,32,635
2015.075.30,Clothing,0.5123609,0.50655985,0.9312184,0.24276936,0.4461025,507,931,344,633
2015.075.31,Packaged goods,0.636658,0.0,0.98945814,0.0043734564,0.9854934,0,989,6,1400
2015.075.32,Person,0.8047008,0.3788189,0.6754887,0.37321004,0.7320129,378,675,524,1028
2015.075.32,Person,0.770109,0.09106054,0.385228,0.3648902,0.7103682,91,385,513,998
2015.075.32,Chair,0.76822674,0.00942208,0.28893775,0.45005217,0.7545715,9,289,632,1060
2015.075.32,Chair,0.7116772,0.4996209,0.77679497,0.46072063,0.75188464,499,776,647,1056
2015.075.32,Bookcase,0.6610629,0.7218264,0.99507165,0.3491058,0.60067767,721,994,490,844
2015.075.33,Person,0.84183013,0.23649721,0.8452818,0.23497133,0.77566165,236,844,334,1103
2015.075.33,Person,0.7644202,0.0015936458,0.35710192,0.25642982,0.789716,2,357,365,1123
2015.075.33,Belt,0.6931992,0.78203106,0.9923394,0.70250756,0.7749371,781,991,999,1102
2015.075.33,Person,0.66559666,0.65044713,0.99147296,0.1444124,0.75347877,650,990,205,1071
2015.075.33,Person,0.64260614,0.48650324,0.9973958,0.15499395,0.77195007,486,996,220,1098
2015.075.33,Person,0.6153924,0.22736329,0.8103829,0.25549713,0.78499126,227,810,363,1116
2015.075.33,Hat,0.5537863,0.0019582121,0.20518826,0.25804654,0.45021436,2,205,367,640
2015.075.33,Food,0.5432242,0.3790594,0.5690587,0.54598266,0.68694735,379,568,776,977
2015.075.34,Person,0.636467,0.58357924,0.73370856,0.12102943,0.25496235,583,733,169,357
2015.075.35,Person,0.9070632,0.021981142,0.270555,0.17392997,0.43803763,22,270,245,617
2015.075.35,Person,0.85452044,0.24428387,0.83958364,0.13912836,0.65871084,244,839,196,928
2015.075.35,Animal,0.66471326,0.7881084,0.9967293,0.3365786,0.69207263,787,996,474,975
2015.075.36,Chair,0.84245324,0.23471321,0.51017076,0.51471466,0.7621853,235,510,723,1070
2015.075.36,Person,0.8054964,0.18715066,0.49125794,0.41680852,0.70984936,187,491,585,997
2015.075.36,Person,0.78643686,0.115473986,0.3373747,0.25610593,0.59928066,115,337,360,841
2015.075.36,Person,0.701768,0.5516998,0.7965333,0.29316935,0.53106815,552,797,412,746
