qid,label_en,country_of_origin_uuid,country_of_origin,country_of_origin_ref1_hash,country_of_origin_ref1_statedIn,country_of_origin_ref1_referenceUrl,country_of_origin_ref1_retrieved_nodeId,country_of_origin_ref1_retrieved_val,country_of_origin_ref1_retrieved_prec,inception_uuid,inception_nodeId,inception_val,inception_prec,inception_ref1_hash,inception_ref1_statedIn,inception_ref1_referenceUrl,inception_ref1_retrieved_nodeId,inception_ref1_retrieved_val,inception_ref1_retrieved_prec,discontinued_date_uuid,discontinued_date_nodeId,discontinued_date_val,discontinued_date_prec,discontinued_date_ref1_hash,discontinued_date_ref1_statedIn,discontinued_date_ref1_referenceUrl,discontinued_date_ref1_retrieved_nodeId,discontinued_date_ref1_retrieved_val,discontinued_date_ref1_retrieved_prec,official_website_uuid,official_website,official_website_work_language,official_website_ref1_hash,official_website_ref1_statedIn,official_website_ref1_referenceUrl,official_website_ref1_retrieved_nodeId,official_website_ref1_retrieved_val,official_website_ref1_retrieved_prec,follows_uuid,follows,follows_start_time_nodeId,follows_start_time_val,follows_start_time_prec,follows_ref1_hash,follows_ref1_statedIn,follows_ref1_referenceUrl,follows_ref1_retrieved_nodeId,follows_ref1_retrieved_val,follows_ref1_retrieved_prec,followed_by_uuid,followed_by,followed_by_start_time_nodeId,followed_by_start_time_val,followed_by_start_time_prec,followed_by_ref1_hash,followed_by_ref1_statedIn,followed_by_ref1_referenceUrl,followed_by_ref1_retrieved_nodeId,followed_by_ref1_retrieved_val,followed_by_ref1_retrieved_prec,publication_interval_uuid,publication_interval_nodeId,publication_interval_val,publication_interval_unit,publication_interval_ref1_hash,publication_interval_ref1_statedIn,publication_interval_ref1_referenceUrl,publication_interval_ref1_retrieved_nodeId,publication_interval_ref1_retrieved_val,publication_interval_ref1_retrieved_prec
Q100698279,The Other Side,fb0b2cb8-49b3-4942-9ebd-3d40d36d51eb,Q30,,,,,,,e5c2b2ed-4527-8d79-652c-344154b193b2,11be56eabd530095ce0bf39d2564d4a0,1965-01-01T00:00:00Z,9,,,,,,,37d461b1-47c2-db1f-366b-218f0bfff3db,d856dc41cd8b187e580caec258ead625,2004-01-01T00:00:00Z,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2e42b3f3-4d70-e8e5-e97e-f61d887cd2e4,4e384a69288cc3945c15af9fe0192463,2,Q5151,,,,,,
Q100698886,Annual of the Society of Christian Ethics,18916fde-40c4-1999-3a16-9902a0ed9e17,Q30,,,,,,,,,,,,,,,,,,,,,,,,,,,BBE0BA18-63CD-4F59-971D-30511725140E,http://www.jstor.org/action/showPublication?journalCode=annusocichriethi,,3e4cfcff54d3b2a130f3710e9b37d3c80590f704,Q70460099,,,,,ca8010a9-410e-47bc-b86f-89de0203f3b8,Q96730243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q100699162,AME Church Review,ef370e42-4d1d-71c1-d1ff-4d2edc40ecee,Q30,,,,,,,c11eaba6-42ed-c6bc-4b2f-cbae64b1b39c,558598ced75a308485e357b2aa862ca9,1884-01-01T00:00:00Z,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378b9d41-4abb-d49d-872f-ec32016f6187,2833eee66fc9d46671476d479e14b0a6,3,Q5151,,,,,,
Q100699691,Grey City of the Chicago Maroon,4c5a7a8c-48f9-ef3c-8475-96739bb1fed8,Q30,,,,,,,cdc7af86-484c-cd8a-bdf3-4de6b2def8dd,da1bce694c8bde43ef39f5a1186d9332,1967-01-01T00:00:00Z,9,,,,,,,,,,,,,,,,,3bbf16a4-4a4c-c861-e1d1-35ea21a81e45,https://www.chicagomaroon.com/greycity/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q100708533,Harvard Divinity Bulletin,f9ad7b7e-4157-2ae2-1c47-f13268999695,Q30,,,,,,,e4cac221-40c2-8187-7b4c-aeb0db981bf4,c5c0b1372c566af0e3d31535e7b831b4,2001-01-01T00:00:00Z,9,,,,,,,,,,,,,,,,,2858f12b-46ff-4de6-7b39-68348e5e597d,https://bulletin.hds.harvard.edu/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71f1a55b-41c8-ca3f-f24d-a778371a0cde,8d78f8c3f267287e111c753eae34f684,4,Q5151,,,,,,
Q100708763,Womanist,b455a02e-424b-6043-14f2-405961ec08ac,Q30,,,,,,,9ef0f13b-450f-3cfc-632a-3c86ebdcd1c7,6d4a0c802fc82784e8c8bc0e977700ec,1994-01-01T00:00:00Z,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q100718707,Achaemenid Research on Texts and Archaeology,6b4e74b7-4469-cc77-7d2a-0661517f1448,Q142,,,,,,,,,,,,,,,,,,,,,,,,,,,14612bd1-4b92-4c34-c4bb-2f3a1fbda9dd,http://www.achemenet.com/fr/tree/?/publications-en-ligne/arta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q100724052,Bulletin of Council on the Study of Religion,7ca6222d-4548-5f32-3958-28e0c03f5871,Q30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99caac69-4075-9bf3-7b1d-3f3837c4797c,Q100724223,,,,,,,,,,f16113c5-4341-7fd1-cb7a-f5d2cd7b76f5,Q97580025,,,,,,,,,,,,,,,,,,,
Q100938316,Faith and Form,ba58cb8e-4035-8d9c-e4d4-8b2fdaaa559d,Q30,,,,,,,8e7fc7e6-4f82-5fb7-4c78-c13c338f8605,da1bce694c8bde43ef39f5a1186d9332,1967-01-01T00:00:00Z,9,,,,,,,,,,,,,,,,,3b315980-4f3b-a450-2f30-5999c3fee700,https://faithandform.com/,Q1860,3a60c8b4bf043127514de2e31be4d1dfd8eeb21b,,,7786f290ae5ab0713853972a095d0c20,2020-11-12T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,ecc68283-4a26-4aa8-cb85-0d6affe88856,2833eee66fc9d46671476d479e14b0a6,3,Q5151,,,,,,
Q100938861,Faith and Leadership,a7c0a753-4ded-2432-dd9b-ce9cea04f163,Q30,,,,,,,,,,,,,,,,,,,,,,,,,,,722a3394-484a-3324-6753-6b52b902c26d,https://faithandleadership.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ece15533-4d49-a0ea-2da4-ded0de4e649e,2a1dd5c7348e742cbff9fc9b0830003a,2,Q23387,4dcf28cf5790cbf7587b5a0ad55e845a6beb0f79,,https://faithandleadership.com/about,,,
