qid,label_en,depicts_uuid,depicts,depicts_ref1_hash,depicts_ref1_statedIn,depicts_ref1_referenceUrl,depicts_ref1_retrieved_nodeId,depicts_ref1_retrieved_val,depicts_ref1_retrieved_prec
Q102963144,Ceramic bowl,,,,,,,,
Q102963149,Ceramic Bowl,,,,,,,,
Q102963155,Ceramic Plate,,,,,,,,
Q102963161,Ceramic platter (plaque) with boar hunting scene,,,,,,,,
Q102963166,Chance and Order IV,,,,,,,,
Q102963173,Chant des Girondius,,,,,,,,
Q102963179,Charger with a design of musicians and flowers in a landscape (Kutani ware),,,,,,,,
Q102963183,Charger with designs of court life and scenes from nature,,,,,,,,
Q102963188,Charminster near Dorchester (Peasant Houses),,,,,,,,
Q102963196,Chashaku (tea scoop) with a design of a cricket,,,,,,,,
Q102963201,Chawan (tea bowl) with green glaze,,,,,,,,
Q102963212,Chawan (tea bowl) with with white underglaze and red overglaze,,,,,,,,
Q102963216,Chest of Drawers,,,,,,,,
Q102963225,Chicken effigy figurine,,,,,,,,
Q102963231,"Children who Witness Abuse, Ernie and Brianna",,,,,,,,
Q102963235,"Children who Witness Abuse, Ernie and Brianna's Doll",,,,,,,,
Q102963242,Chimbote vessel,,,,,,,,
Q102963250,Chinese Boat,,,,,,,,
Q102963263,Chinese Winter Landscape,,,,,,,,
Q102963272,"Chiriyu, from ""The Fifty-three Stations of the Tokaido""",,,,,,,,
Q102963279,Christ Before Pilate,,,,,,,,
Q102963287,"Christ child in a basket, after Giovanni Francesco Barbieri (Guercino)",,,,,,,,
Q102963299,Christ Healing the Lepers (after Parmigianino),,,,,,,,
Q102963306,Christ Preaching,,,,,,,,
Q102963314,"Christmonat, Decembre (December), from a suite of allegorical prints illustrating the months of the year with text in German and French",,,,,,,,
Q102963321,Cigar,,,,,,,,
Q102963326,"Cio ch'erse il fasto, or cuopre arena ed erba",,,,,,,,
Q102963334,Circular mirror with unreadable design,,,,,,,,
Q102963338,Circular Suiteki (Water Dropper),,,,,,,,
Q102963344,"City scene with Seggio Nuovo, Chiesa di S. Guiseppe, L'Ospedaletto, and Convento di S. Maria la nuova",,,,,,,,
Q102963350,"Civilization Marches On (Die Zivilisation marschiert), from the series Interregnum",,,,,,,,
Q102963356,Clay fragment,,,,,,,,
Q102963366,Cloisonné ashtray,,,,,,,,
Q102963369,Cloisonné bowl,,,,,,,,
Q102963374,Cloisonne Box,,,,,,,,
Q102963378,Cloth Stencil with a Bamboo Design,,,,,,,,
Q102963382,Cloth Stencil with a Design of a Cloud or Wave Pattern,,,,,,,,
Q102963387,"Cloth Stencil with a Design of a Landscape with a Boat, Building, Pine Trees, & Mt. Fuji",,,,,,,,
Q102963395,Cloth Stencil with a Design of a Landscape with a Building and Trees,,,,,,,,
Q102963401,"Cloth Stencil with a Design of a Single Flower and Lines, Indicating Water or Rain",,,,,,,,
Q102963406,Cloth Stencil with a Design of Bamboo,,,,,,,,
Q102963412,"Cloth Stencil with a Design of Chrysanthemums, Pine Needles, and Flowers",,,,,,,,
Q102963417,Cloth Stencil with a Design of Circles Containing Floral Motifs,,,,,,,,
Q102963425,Cloth Stencil with a Design of Circles with Geometrical Motifs and Flowers,,,,,,,,
Q102963433,Cloth Stencil with a Design of Cranes and Pines,,,,,,,,
Q102963441,Cloth Stencil with a Design of Diamond Shapes and Squared Spirals,,,,,,,,
Q102963448,Cloth Stencil with a Design of Diamond-Like Shapes,,,,,,,,
Q102963454,Cloth Stencil with a Design of Fans and Flowers in the Shape of Butterflies,,,,,,,,
Q102963467,"Cloth Stencil with a Design of Gaming Pieces, for the Game of shogi, Decorated with Cherry Trees or Bamboo",,,,,,,,
Q102963479,Cloth Stencil with a Design of Pine Branches in the Rain,,,,,,,,
Q102963494,Cloth Stencil with a Design of Plum Blossoms and Stylized Birds,,,,,,,,
Q102963511,Cloth Stencil with a Design of Punched Flowers and Double-Coin Designs,,,,,,,,
Q102963523,"Cloth Stencil with a Design of Six-Pointed Stars, Cubes, and Sprays of Flowers",,,,,,,,
Q102963531,Cloth Stencil with a Design of Snow-Covered Bamboo,,,,,,,,
Q102963536,"Cloth Stencil with a Design of Squares with Pine, Plum, and Bamboo",,,,,,,,
Q102963541,Cloth Stencil with a Design of Stylized Fishnets and Sea Plovers,,,,,,,,
Q102963548,Cloth Stencil with a Design of Stylized Leaves and Flowers,,,,,,,,
Q102963553,Cloth Stencil with a Design of Trefoils,,,,,,,,
Q102963558,Cloth Stencil with a Design of Two Stylized Leaves on a Vine,,,,,,,,
Q102963563,Cloth Stencil with a Design of Two Sun Symbols and Geometrical Designs,,,,,,,,
Q102963568,Cloth Stencil with a Design of Vines and Circles,,,,,,,,
Q102963575,Cloth Stencil with a Design of Vines and Leaves with Wavy Vertical Lines (Rain),,,,,,,,
Q102963581,Cloth Stencil with a Design of Wisteria,,,,,,,,
Q102963587,"Cloth Stencil with a Design of Zigzag Lines, Flowers, and Symbols for the Chapters of The Tale of Genji",,,,,,,,
Q102963592,Cloth Stencil with a Landscape Design,,,,,,,,
Q102963597,Cloth Stencil with a Pattern of Leaves on Water,,,,,,,,
Q102963606,Cloth Stencil with an Abstract Design of Grass Blades,,,,,,,,
Q102963615,Cloth Stencil with Columns of Writing and Random Short Lines,,,,,,,,
Q102963621,"Cloth Stencil with Designs of Circles with Wave Patterns, Leaves, Random Hexagons, etc.",,,,,,,,
Q102963628,Cloth Stencil with Diamond Designs and Borders of Cherry Blossoms,,,,,,,,
Q102963633,Cloth Stencil with Diamond Shapes and Double-Circles with a Lattice Background,,,,,,,,
Q102963640,Cloth Stencil with Diamond-Shaped Leaves and Floral Forms,,,,,,,,
Q102963648,Cloth Stencil with Squares and Diamond Shapes,,,,,,,,
Q102963654,Cloth with a Design of an Elephant and a Decorative Border,,,,,,,,
Q102963665,Clothed figure of a boar,,,,,,,,
Q102963673,Coast Scene in Italy,,,,,,,,
Q102963683,Coasters (six in total),,,,,,,,
Q102963693,Coin (reproduction),,,,,,,,
Q102963698,Collage of Burned Nevelson,,,,,,,,
Q102963702,Compass with circular design on lid,,,,,,,,
Q102963708,Composition,,,,,,,,
Q102963717,"Composition in Yellow, Green and Orange",,,,,,,,
Q102963723,"Concentric II, from American Abstract Artists 60th Anniversary Print Portfolio 1997",,,,,,,,
Q102963729,Concrete Ammunition; Second Line Defense,,,,,,,,
Q102963736,Cone shaped vessel with human face design on neck,,,,,,,,
Q102963749,Conspirators,,,,,,,,
Q102963753,Container,,,,,,,,
Q102963763,Container in the form of a Buddhist god's head on three legs with inlaid semi-precious red stones (incense burner),,,,,,,,
