qid,label_en,creator_uuid,creator,creator_ref1_hash,creator_ref1_statedIn,creator_ref1_referenceUrl,creator_ref1_retrieved_nodeId,creator_ref1_retrieved_val,creator_ref1_retrieved_prec
Q102974398,,23A9F478-A452-4614-9783-81B915FC3532,Q170509,bd21496cd41e392ed5858e3445eaf677d0945f54,,https://library.artstor.org/#/asset/26758616,0d80ebc0-023b-40d5-9f57-247586eb0134,2021-02-01T00:00:00Z,11
Q102974404,,F47B9122-F580-489A-9363-A7CE0E65FFDF,Q170509,f57291357d554959e4b46ff1564666d7de0cc161,,https://library.artstor.org/#/asset/26758617,f9f31c11-f19a-445b-be46-9df17c7e2d4c,2021-02-01T00:00:00Z,11
Q102974412,,883D8EDE-D127-4E0C-9D23-AF792D1B4248,Q170509,193fafd6ca98bc5ee00bbfff61922c3c567739a6,,https://library.artstor.org/#/asset/26758618,d4de3938-42ac-4607-9cb9-def58cbae406,2021-02-01T00:00:00Z,11
Q102974417,,17D94AB9-6833-49D5-A6B8-C7306E1DFE20,Q170509,cee9326721b1f762c2a7da952899659104071356,,https://library.artstor.org/#/asset/26758619,c2f700ae-460f-4bb2-a43d-68c8d6983f6a,2021-02-01T00:00:00Z,11
Q102974426,,84036656-86C5-46B5-BDC0-AADB7CFB48EE,Q170509,29336955fe780105826b59a1980187d064466fb0,,https://library.artstor.org/#/asset/26758620,b24599f3-9388-4189-971a-16b5fe176488,2021-02-01T00:00:00Z,11
Q102974433,,ED179DFB-B5D2-409A-A422-D54424F53975,Q170509,f0f4830d357fc9b25d1e9f674a114e333e60ae0d,,https://library.artstor.org/#/asset/26758621,32591b25-a4fe-412e-b217-cb6738950ade,2021-02-01T00:00:00Z,11
Q102974444,,90369EAA-D7FD-4AD9-AF44-6FCFED616D0A,Q170509,96e1b3a2c2a42d09992ab18ae8b5fe312d635045,,https://library.artstor.org/#/asset/26758622,3165360d-18e6-4e84-b7bb-c4e921e9afee,2021-02-01T00:00:00Z,11
Q102974710,,E9728C5B-0EC3-4D27-B22A-D251A74B96AA,Q34670,21f6b674d16a8c9197e9172ecb572c1b4f01bfc5,,https://library.artstor.org/#/asset/26757645,cff1fb80-50ca-4a3f-9a50-a8c52596d3f8,2021-02-01T00:00:00Z,11
Q102975030,,72AAE128-2711-4ACA-A653-9ACB7700702C,Q272194,9cab6a9c1b3c3f36eb5060fd9ee37c7d40e02ec9,,https://library.artstor.org/#/asset/26758906,aaeb4aea-a311-4415-aadd-fcfff08ae4db,2021-02-01T00:00:00Z,11
Q102975038,,EF043DF4-69C8-4680-B27A-734BC33B1687,Q55937531,cd12a9eab371f184f303756c485b55ca6cb4d67f,,https://library.artstor.org/#/asset/26759055,67d1c5b9-bb09-4125-9518-987f1ae49a5a,2021-02-01T00:00:00Z,11
Q102975523,,F8A6F5EB-3BD3-4BE5-AB89-B9D8CF88CCD1,Q482193,db450b7d436971a54083eb280f7255422793d082,,https://library.artstor.org/#/asset/26758373,40174616-ce25-476f-8f19-eb53b2fd70ef,2021-02-01T00:00:00Z,11
Q102975718,,A2F3CBE7-4663-437F-B0FD-6CA5CC68E3D8,Q482193,e621710ea743d46449c6d2235760f0b38c685d90,,https://library.artstor.org/#/asset/26758358,41a915ae-7ca5-4880-bf70-2bb45092fcb2,2021-02-01T00:00:00Z,11
Q102977529,,2D635CC7-7BD5-4186-9F22-9A0BB5647C4B,Q188176,18cf491ecfab6e355c79479a9d0fc32f17206ba5,,https://library.artstor.org/#/asset/26755712,44be9419-23be-482d-9c29-df51684a53ce,2021-02-01T00:00:00Z,11
Q103297290,,663744BF-4B79-437B-AB66-8422D7EF2388,Q1596187,ad9af20294da03a19dd3db585df515805ce4b378,,https://library.artstor.org/#/asset/26757708,3b32f86a-4849-43b9-91ed-321e4582664c,2021-02-01T00:00:00Z,11
Q103297548,,ACAC826F-A71B-4C9F-84C8-C19FC2368589,Q105207251,990e58b4e249c879b31cb8ea18b6f95e85cdd5a3,,https://library.artstor.org/#/asset/26759022,9bc40b78-b6f1-4ff9-8e7f-0c8cc3663235,2021-02-01T00:00:00Z,11
Q103299666,,4FEA6E4B-DB50-404A-8B51-676EB4FB70C8,Q18508293,cf0212756189a35f063c385cd510fe74b494767b,,https://library.artstor.org/#/asset/26754336,4903a1e9-9810-49c3-a8c0-6df51d84c26b,2021-02-01T00:00:00Z,11
Q103304587,,C7547BFF-7D86-4547-9508-CD7C344279E2,Q379956,a257f091671ecf5200d2cfacaec15e8fda3a86f2,,https://library.artstor.org/#/asset/26758946,67b269e2-22df-4dfd-994a-2a2aac616640,2021-02-01T00:00:00Z,11
