qid,label_en,description_en,image_uuid,image,image_ref1_hash,image_ref1_statedIn,image_ref1_referenceUrl,image_ref1_retrieved_nodeid,image_ref1_retrieved_val,image_ref1_retrieved_prec,country_uuid,country,country_ref1_hash,country_ref1_statedIn,country_ref1_referenceUrl,country_ref1_retrieved_nodeid,country_ref1_retrieved_val,country_ref1_retrieved_prec,movement_uuid,movement,movement_ref1_hash,movement_ref1_statedIn,movement_ref1_referenceUrl,movement_ref1_retrieved_nodeid,movement_ref1_retrieved_val,movement_ref1_retrieved_prec,creator_uuid,creator,creator_ref1_hash,creator_ref1_statedIn,creator_ref1_referenceUrl,creator_ref1_retrieved_nodeid,creator_ref1_retrieved_val,creator_ref1_retrieved_prec,genre_uuid,genre,genre_ref1_hash,genre_ref1_statedIn,genre_ref1_referenceUrl,genre_ref1_retrieved_nodeid,genre_ref1_retrieved_val,genre_ref1_retrieved_prec,depicts_uuid,depicts,depicts_ref1_hash,depicts_ref1_statedIn,depicts_ref1_referenceUrl,depicts_ref1_retrieved_nodeid,depicts_ref1_retrieved_val,depicts_ref1_retrieved_prec,main_subject_uuid,main_subject,main_subject_ref1_hash,main_subject_ref1_statedIn,main_subject_ref1_referenceUrl,main_subject_ref1_retrieved_nodeid,main_subject_ref1_retrieved_val,main_subject_ref1_retrieved_prec,material_used_uuid,material_used_nodeid,material_used_val,material_used_prec,material_used_ref1_hash,material_used_ref1_statedIn,material_used_ref1_referenceUrl,material_used_ref1_retrieved_nodeid,material_used_ref1_retrieved_val,material_used_ref1_retrieved_prec,title_uuid,title,title_ref1_hash,title_ref1_statedIn,title_ref1_referenceUrl,title_ref1_retrieved_nodeid,title_ref1_retrieved_val,title_ref1_retrieved_prec,owned_by_uuid,owned_by,owned_by_ref1_hash,owned_by_ref1_statedIn,owned_by_ref1_referenceUrl,owned_by_ref1_retrieved_nodeid,owned_by_ref1_retrieved_val,owned_by_ref1_retrieved_prec,inception_uuid,inception_nodeid,inception_val,inception_prec,inception_ref1_hash,inception_ref1_statedIn,inception_ref1_referenceUrl,inception_ref1_retrieved_nodeid,inception_ref1_retrieved_val,inception_ref1_retrieved_prec,height_uuid,height,height_ref1_hash,height_ref1_statedIn,height_ref1_referenceUrl,height_ref1_retrieved_nodeid,height_ref1_retrieved_val,height_ref1_retrieved_prec,width_uuid,width,width_ref1_hash,width_ref1_statedIn,width_ref1_referenceUrl,width_ref1_retrieved_nodeid,width_ref1_retrieved_val,width_ref1_retrieved_prec,country_of_origin_uuid,country_of_origin,country_of_origin_ref1_hash,country_of_origin_ref1_statedIn,country_of_origin_ref1_referenceUrl,country_of_origin_ref1_retrieved_nodeid,country_of_origin_ref1_retrieved_val,country_of_origin_ref1_retrieved_prec,catalog_code_uuid,catalog_code,catalog_code_ref1_hash,catalog_code_ref1_statedIn,catalog_code_ref1_referenceUrl,catalog_code_ref1_retrieved_nodeid,catalog_code_ref1_retrieved_val,catalog_code_ref1_retrieved_prec,copyright_status_uuid,copyright_status,copyright_status_ref1_hash,copyright_status_ref1_statedIn,copyright_status_ref1_referenceUrl,copyright_status_ref1_retrieved_nodeid,copyright_status_ref1_retrieved_val,copyright_status_ref1_retrieved_prec,thickness_uuid,thickness,thickness_ref1_hash,thickness_ref1_statedIn,thickness_ref1_referenceUrl,thickness_ref1_retrieved_nodeid,thickness_ref1_retrieved_val,thickness_ref1_retrieved_prec,culture_uuid,culture,culture_ref1_hash,culture_ref1_statedIn,culture_ref1_referenceUrl,culture_ref1_retrieved_nodeid,culture_ref1_retrieved_val,culture_ref1_retrieved_prec
Q94830050,Running Bear Effigy,Sculpture by Anonymous,,,,,,,,,ebfdbb1d-446f-24f7-6aee-f82ca68545a1,Q333661,,,,,,,,,,,,,,,c37bf469-48bc-7c4d-665b-d3447ad10dae,Q4233718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04a600d8-49ca-dbf7-1c9a-dd3ab5a50bf0,Running Bear Effigy,,,,,,,,,,,,,,,b502559b-4a3a-5128-156b-32d2916afa92,acffad5ffa07b4bad56e4abf8238e440,0900-01-01T00:00:00Z,8,,,,,,,fed6a91f-4489-a0fe-a20c-4c73bc1593de,3,,,,,,,bd13644d-4c28-500b-db04-013dfe6a10e2,5.5,,,,,,,,,,,,,,,,,,,,,,,76a8d641-4e42-4c6f-7317-d90f415b4aa2,Q19652,,,,,,,,,,,,,,,c12fa3d4-43ed-4bc7-d780-c71ccaf6df14,Q1052095,,,,,,
Q94543371,"Saint Barbara, in the shape of a roundel, with the four corners of the work added at a later date",Stained Glass by Anonymous,,,,,,,,,7b4c682c-498a-c51c-d868-f4a3ec08d20d,Q157070,,,,,,,,,,,,,,,beeafc55-47d8-fe4d-abd4-95678dd75f95,Q4233718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42f91fea-4766-4b49-0ebb-cfebeb619843,"Saint Barbara, in the shape of a roundel, with the four corners of the work added at a later date",,,,,,,,,,,,,,,b5e60ca8-42a3-8f84-7dc7-99338f245127,7339bad773afdb83fb9023d276846b08,1500-01-01T00:00:00Z,9,,,,,,,28f20925-43a5-73dc-e1c2-2f28422f1876,9.5,,,,,,,9ceb39c6-4c81-fb29-6723-dbd5303ca4b2,9.5,,,,,,,,,,,,,,,,,,,,,,,22dab213-43ec-0894-4ea5-4da971ccc8cb,Q19652,,,,,,,,,,,,,,,,,,,,,,
Q94701366,Seated Warrior,Anonymous painted clay sculpture,,,,,,,,,,,,,,,,,,,,,,,,,d4060129-46aa-d091-4861-c98ba8a7c63b,Q4233718,,,,,,,ce2ed7f2-4340-ae58-0379-e46aa5e7b7be,Q178885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401bbf1b-4a57-0a3d-b05e-2d40d355757e,8c31344eacb0d5e2573f1a2e1c18d642,0200-01-01T00:00:00Z,9,,,,,,,f5ed8131-4278-76be-d8a6-bb2ec2d9be98,14.375,,,,,,,a3d6c4fe-4b42-2426-c5e1-3030809ba5b6,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q94702395,St. Louis of Toulouse,Painting by Vittore Crivelli,,,,,,,,,48484dd5-4cdd-c345-9cab-18ec3c6dea6d,Q4948,,,,,,,,,,,,,,,985cdb66-4343-5019-fce7-0eaca5dee20d,Q1349738,,,,,,,D80FFC90-BCF6-4183-B80B-D78564212449,Q2864737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5dc7cf82-4d29-e07f-10d5-592951da7e18,St. Louis of Toulouse,,,,,,,,,,,,,,,7b81421f-4e5e-7f41-57b8-9c8e5755259a,a572a256401fc1e2a1771fb43f75f67a,1497-01-01T00:00:00Z,9,,,,,,,9be24e34-4a18-3500-a62d-ecdbe8d17827,46.25,,,,,,,5ef5b54b-4d0b-2481-1bc5-0702c4a16762,16.25,,,,,,,,,,,,,,,,,,,,,,,cf3b3dde-465c-5e83-e6ae-975ec5818343,Q19652,,,,,,,,,,,,,,,,,,,,,,
Q94696638,St. Sebastian,Painting by Liberale da Verona,,,,,,,,,,,,,,,,,,,,,,,,,0327517e-4ec2-41b7-ea4f-48c6c237845b,Q1374872,,,,,,,DC19F873-70B4-4D09-8B79-676A713E4A3A,Q2864737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7be555ea-47e8-c36a-a0ff-b6d9ef45dde7,St. Sebastian,,,,,,,,,,,,,,,7450ffc0-4640-9c67-48c4-ef1f49e33773,0122a4ae93b63aa7f2b4a4b6ad6644e1,1525-01-01T00:00:00Z,9,,,,,,,88edf17e-4176-8c53-74d1-4d92f0a3ea09,26.5,,,,,,,f5255c48-41dc-5e0d-d320-d6a145bda28f,19.5,,,,,,,,,,,,,,,,,,,,,,,f2427993-475e-6a99-8fd4-c4aa961b5557,Q19652,,,,,,,,,,,,,,,,,,,,,,
Q94702974,St. Sebastian,Painting by Pseudo Granacci,,,,,,,,,aac7b40d-4a98-b834-3f96-b8579273411a,Q148540,,,,,,,,,,,,,,,e8c979c6-44b5-c060-c352-d32f5153dfe9,Q30581143,,,,,,,1159C1AC-789B-44C4-B66B-0DA1CC3B7561,Q2864737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e31f28dc-4280-4145-75b4-60e510301f3a,St. Sebastian,,,,,,,,,,,,,,,12e2d68c-4b54-bb9d-93e9-4c71bc22e0d3,4a1e06ecb82882f53054540bf579886a,1510-01-01T00:00:00Z,9,,,,,,,fbeb088f-4de8-d5b0-65b6-6c9e308df582,19.5,,,,,,,bbcdc440-4150-e914-b753-793e87c44192,16.25,,,,,,,,,,,,,,,,,,,,,,,10e25f29-4db1-8383-99f0-cc81b48c63ce,Q19652,,,,,,,,,,,,,,,,,,,,,,
Q94832545,Still-life with Poppies,Painting by Jan van Huysum,,,,,,,,,6090b7d5-4e89-ab6e-e09e-0c8c5f1f698d,Q55,,,,,,,,,,,,,,,6aab2a82-4273-59d0-266e-0a51b0653e7d,Q527869,,,,,,,c8a886dc-466d-b17d-26d9-7ecc4a80926c,Q170571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ffc7c8d8-4968-d2a1-6d44-edb0bd8a7243,Still life with Poppies,,,,,,,,,,,,,,,dd968405-4e68-e875-67ad-45a692f1a8fa,5d985820b54bd879f063440ff194142c,1700-01-01T00:00:00Z,7,,,,,,,60bbb155-4e36-b23f-b15e-f24da5aaf480,29.5,,,,,,,fbc7579d-43ed-164b-f512-21164dd78b8f,23.5,,,,,,,,,,,,,,,,,,,,,,,f0d3fa05-4059-7a94-271a-b508821ce60e,Q19652,,,,,,,,,,,,,,,,,,,,,,
Q95743495,Supper at Emmaus,Leather relief by Anonymous,,,,,,,,,7314a7f6-41e6-b6a4-9164-d7539b00461c,Q4948,,,,,,,,,,,,,,,b4e40b71-434c-836a-7d28-70873d6c4097,Q4233718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a50db659-4444-b743-0522-c9aa0a13a1f6,Supper at Emmaus,,,,,,,,,,,,,,,e3a73462-4b54-3868-d791-dd194e57915b,59844fe2fce06440b07fb61e6f75527f,1600-01-01T00:00:00Z,7,,,,,,,e0dae8ef-4d6e-6ca8-c25c-a4953bbc3e8e,20.5,,,,,,,774dfcfa-44dc-b1ff-52eb-f4f868bbf03a,14.5,,,,,,,,,,,,,,,,,,,,,,,b3bfc5c0-4c4f-36da-a2ee-728e34d23062,Q19652,,,,,,,,,,,,,,,,,,,,,,
Q94544652,"The Crucifixion with the Virgin Mary, St. Mary Magdalene, St. John the Evangelist, and a Female Saint",Painting by Jacopo di Paolo,,,,,,,,,6ecb3bee-4c41-3db7-7512-3d77d39db287,Q38,,,,,,,,,,,,,,,285c35d8-40cf-17c0-18df-f0553f9e1179,Q3805978,,,,,,,C5420FEC-F3C9-402F-842E-E93815D93B86,Q2864737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a4ade4db-48c2-9d7d-a828-99828aa691e0,"The Crucifixion with the Virgin Mary, St. Mary Magdalene, St. John the Evangelist, and a Female Saint",,,,,,,,,,,,,,,a403a0c0-46c8-0b6a-51bb-bfd4c862711f,c586778917718b23aa6c4c78def116f4,1400-01-01T00:00:00Z,9,,,,,,,6e6074f2-4b17-fe5b-63f9-79ccae9e21a3,21.5,,,,,,,76dc549f-4293-dd2b-9744-49d8bde9e8d5,12.25,,,,,,,,,,,,,,,,,,,,,,,0e8a7e3e-4c7b-f7ff-6018-50ba50c67763,Q19652,,,,,,,,,,,,,,,,,,,,,,
Q94702420,"The Crucifixion with the Virgin, Mary Magdalene and St. John the Evangelist",Painting by Andrea di Bartolo,,,,,,,,,,,,,,,,,,,,,,,,,5dc8171d-41d4-45db-06b2-f5fac04b85d9,Q390098,,,,,,,C27C8DBD-AAA6-457C-9D77-CB2C7CF31332,Q2864737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7158aef7-4cf6-55a8-c96c-396351dd8254,"The Crucifixion with the Virgin, Mary Magdalene and St. John the Evangelist",,,,,,,,,,,,,,,eadea778-4771-3fa3-e1b6-4bd3833524f2,c586778917718b23aa6c4c78def116f4,1400-01-01T00:00:00Z,9,,,,,,,7dd10970-4c12-8bf9-69ab-b5dadc2e4085,17.25,,,,,,,b3013820-46c9-927c-7d7d-27e6403877c4,16,,,,,,,4276a7ca-4d22-f7bc-5e26-dc2709bb9ecf,Q736727,,,,,,,,,,,,,,,7539484b-4c77-bcd6-3357-9a1129bc974f,Q19652,,,,,,,,,,,,,,,,,,,,,,
Q94971573,The Infant Shakespeare Attended by Nature and the Passions,Painting by George Romney,,,,,,,,,01365a48-4a56-315c-af9b-a7a55241f1e5,Q145,,,,,,,,,,,,,,,1b5bf89c-4bc7-aeae-2af9-7d7b38900f0f,Q371280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d51ea0f3-4922-340f-0a9d-833d8644d838,The Infant Shakespeare Attended by Nature and the Passions,,,,,,,,,,,,,,,4de1c88b-4c36-dee4-745f-e3f64760236c,1b3a8485c28100b9e75963b896da90d5,1786-01-01T00:00:00Z,9,,,,,,,59dd6f1c-4f5c-7eaf-354b-c076c9e9f013,17.5,,,,,,,a3694f6c-4196-47d8-7ccf-2ddffa67b069,23.5,,,,,,,,,,,,,,,,,,,,,,,91b98e64-4a72-9f85-12d3-3d0ae03c980d,Q19652,,,,,,,,,,,,,,,,,,,,,,
Q96063416,West African Doll,Doll by anonymous,,,,,,,,,036dc5ba-4b18-1199-d0e8-abe5cbdc32b6,Q916,,,,,,,,,,,,,,,8cb932d9-46e7-d0fe-e1af-bd53a5163314,Q4233718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e9f16ae-4d34-29f2-d57a-e249ccd8b3ab,Doll,,,,,,,,,,,,,,,,,,,,,,,,,737c6e77-4061-9def-d41c-befd2d235335,28.5,,,,,,,de4cde1d-4d76-6e1f-3864-af8dcd983d55,9.25,,,,,,,,,,,,,,,,,,,,,,,aeb8e75f-4cee-4c64-beec-1052c1aefdb9,Q19652,,,,,,,ed996569-4e06-0004-f2e1-7896004e7f1e,8,,,,,,,,,,,,,,
