qid,searched,last_first,description,name,creator_string
,,"Baker, Bryant","American sculptor, 1881-1970",Bryant Baker,"[""Baker, Bryant (American sculptor, 1881-1970)""]"
,,"Balagueró, Jose Luis","1930-, born Zaragoza, Spain",Jose Luis Balagueró,"[""Balagueró, Jose Luis (1930-, born Zaragoza, Spain)""]"
,,"Baldung, Hans","German painter, born 1484 or 1485, died 1545",Hans Baldung,"[""Baldung, Hans (German painter, born 1484 or 1485, died 1545)""]"
,,"Balfourier, Adolphe Paul Emile","French artist, 1816-1875",Adolphe Paul Emile Balfourier,"[""Balfourier, Adolphe Paul Emile (French artist, 1816-1875)""]"
,,"Ballaine, Jerrold","American sculptor, born 1934",Jerrold Ballaine,"[""Ballaine, Jerrold (American sculptor, born 1934)""]"
,,"Ballin, Hugo","American painter and filmmaker, 1879-1956",Hugo Ballin,"[""Ballin, Hugo (American painter and filmmaker, 1879-1956)""]"
,,"Bannard, Walter Darby","American painter, critic, born 1934",Walter Darby Bannard,"[""Bannard, Walter Darby (American painter, critic, born 1934)""]"
,,"Barber, Sam",1943-,Sam Barber,"[""Barber, Sam (1943-)""]"
,,"Barlach, Ernst","German sculptor, printmaker, and graphic artist, 1870-1938",Ernst Barlach,"[""Barlach, Ernst (German sculptor, printmaker, and graphic artist, 1870-1938)""]"
,,"Barnet, Will","American painter and printmaker, 1911-2012",Will Barnet,"[""Barnet, Will (American painter and printmaker, 1911-2012)""]"
,,"Barrós, Alfred",,Alfred Barrós,"[""Barrós, Alfred""]"
,,"Barry, Robert","American conceptual artist, born 1936",Robert Barry,"[""Barry, Robert (American conceptual artist, born 1936)""]"
,,"Barrymore, Lionel","American actor and printmaker, 1878-1954",Lionel Barrymore,"[""Barrymore, Lionel (American actor and printmaker, 1878-1954)""]"
,,"Bartoli, Pietro Sante","Italian painter and engraver, 1615-1700",Pietro Sante Bartoli,"[""Bartoli, Pietro Sante (Italian painter and engraver, 1615-1700)""]"
,,"Bartolozzi, Francesco","Italian engraver, 1727-1815",Francesco Bartolozzi,"[""Bartolozzi, Francesco (Italian engraver, 1727-1815)""]"
,,"Barye, Antoine-Louis","French sculptor, 1796-1875",Antoine-Louis Barye,"[""Barye, Antoine-Louis (French sculptor, 1796-1875)""]"
,,"Baskin, Leonard","American sculptor and printmaker, 1922-2000",Leonard Baskin,"[""Baskin, Leonard (American sculptor and printmaker, 1922-2000)""]"
,,"Baskin, Leonard and Hughes, Ted","1922-2000, 1930-1998",Leonard Baskin,"[""Baskin, Leonard and Hughes, Ted (1922-2000, 1930-1998)""]"
,,"Bass, Saul","American graphic designer, 1920-1996",Saul Bass,"[""Bass, Saul (American graphic designer, 1920-1996)""]"
,,"Bauer, Ann",,Ann Bauer,"[""Bauer, Ann""]"
,,"Baumgartner, Christiane","1967-, born Leipzig, Germany",Christiane Baumgartner,"[""Baumgartner, Christiane (1967-, born Leipzig, Germany)""]"
,,Baviera,,Baviera,"[""Baviera ""]"
,,"Bayer, Herbert","German or Austrian designer and painter, 1900-1985, active in the United States",Herbert Bayer,"[""Bayer, Herbert (German or Austrian designer and painter, 1900-1985, active in the United States)""]"
,,"Bearden, Romare Howard","American painter and printmaker, 1911-1988",Romare Howard Bearden,"[""Bearden, Romare Howard (American painter and printmaker, 1911-1988)""]"
,,"Beaudin, André Gustave","French painter, sculptor, and printmaker, 1895-1979",André Gustave Beaudin,"[""Beaudin, André Gustave (French painter, sculptor, and printmaker, 1895-1979)""]"
,,"Beaumont, Edouard de","French painter, 1821-1888",Edouard de Beaumont,"[""Beaumont, Edouard de (French painter, 1821-1888)""]"
,,"Bechi, Luigi","Italian painter, 1830-1919",Luigi Bechi,"[""Bechi, Luigi (Italian painter, 1830-1919)""]"
,,"Bechtold, Erwin","1925-, born Cologne, Germany",Erwin Bechtold,"[""Bechtold, Erwin (1925-, born Cologne, Germany)""]"
,,"Beeldemaker, Johannes","Dutch painter, born 1630 or 1636, died after 1710",Johannes Beeldemaker,"[""Beeldemaker, Johannes (Dutch painter, born 1630 or 1636, died after 1710)""]"
,,"Beham, Hans Sebald","German miniaturist, engraver, and painter, born in 1500 in Nuremberg, active in 1531 until after 1534, and died in Frankfurt am Main in 1550",Hans Sebald Beham,"[""Beham, Hans Sebald (German miniaturist, engraver, and painter, born in 1500 in Nuremberg, active in 1531 until after 1534, and died in Frankfurt am Main in 1550)""]"
,,"Bellows, George Wesley","American painter and lithographer, 1882-1925",George Wesley Bellows,"[""Bellows, George Wesley (American painter and lithographer, 1882-1925)""]"
,,Ben-Zion,"American painter, 1897-1987",Ben-Zion,"[""Ben-Zion (American painter, 1897-1987)""]"
,,"Beneker, Gerrit Albertus","American painter and illustrator, 1882-1934",Gerrit Albertus Beneker,"[""Beneker, Gerrit Albertus (American painter and illustrator, 1882-1934)""]"
,,"Benoist, Philippe",1813-,Philippe Benoist,"[""Benoist, Philippe (1813-)"",""Benoist, Philippe (1813-) and Bayot, Adolphe Jean-Baptiste"",""Benoist, Philippe (1813-) and Gaildreau, Jules (1816-1898)""]"
,,"Bérain, Jean, the elder","French designer, architect, and engraver, 1640-1711",Jean Bérain the elder,"[""Bérain, Jean, the elder (French designer, architect, and engraver, 1640-1711)""]"
,,"Berchem, Nicolaes, the elder","Dutch painter, printmaker, and draftsman, 1620-1683",Nicolaes Berchem the elder,"[""Berchem, Nicolaes, the elder (Dutch painter, printmaker, and draftsman, 1620-1683)""]"
,,"Berg, Siri","1921-, born Stockholm, Sweden",Siri Berg,"[""Berg, Siri (1921-, born Stockholm, Sweden)""]"
,,"Berger, Emily",,Emily Berger,"[""Berger, Emily""]"
