RecordNumber,CopyrightStatement,filename,iri
55966,http://commons.wikimedia.org/wiki/File:Albert_Edelfelt_-_Women_outside_the_Church_at_Ruokolahti_-_Google_Art_Project.jpg,Albert_Edelfelt_-_Women_outside_the_Church_at_Ruokolahti_-_Google_Art_Project.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Albert_Edelfelt_-_Women_outside_the_Church_at_Ruokolahti_-_Google_Art_Project.jpg
55407,http://commons.wikimedia.org/wiki/File:Albert_Edelfelt_Larin_Paraske_Sings_Requiems.jpg,Albert_Edelfelt_Larin_Paraske_Sings_Requiems.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Albert_Edelfelt_Larin_Paraske_Sings_Requiems.jpg
55638,http://commons.wikimedia.org/wiki/File:Albrecht_D%C3%BCrer_-_Sol_Iustitiae_(Sun_of_Righteousness)_(NGA_1943.3.3484).jpg,Albrecht_D%C3%BCrer_-_Sol_Iustitiae_(Sun_of_Righteousness)_(NGA_1943.3.3484).jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Albrecht_D%C3%BCrer_-_Sol_Iustitiae_(Sun_of_Righteousness)_(NGA_1943.3.3484).jpg
54361,http://commons.wikimedia.org/wiki/File:Alexandr_Ivanov_075.jpg,Alexandr_Ivanov_075.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Alexandr_Ivanov_075.jpg
55475,http://commons.wikimedia.org/wiki/File:Alexandre-Gabriel_Decamps_-_The_Suicide_-_Walters_3742.jpg,Alexandre-Gabriel_Decamps_-_The_Suicide_-_Walters_3742.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Alexandre-Gabriel_Decamps_-_The_Suicide_-_Walters_3742.jpg
54971,http://commons.wikimedia.org/wiki/File:Alfa_i_Omega_Torredembarra.jpg,Alfa_i_Omega_Torredembarra.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Alfa_i_Omega_Torredembarra.jpg
55602,http://commons.wikimedia.org/wiki/File:Alice_Mary_Havers_Belle_of_the_village_1883.jpg,Alice_Mary_Havers_Belle_of_the_village_1883.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Alice_Mary_Havers_Belle_of_the_village_1883.jpg
55037,http://commons.wikimedia.org/wiki/File:All_Saints_Church_-_consecration_cross_-_geograph.org.uk_-_1394962.jpg,All_Saints_Church_-_consecration_cross_-_geograph.org.uk_-_1394962.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/All_Saints_Church_-_consecration_cross_-_geograph.org.uk_-_1394962.jpg
55385,http://commons.wikimedia.org/wiki/File:Alms_House_-_NARA_-_281331.jpg,Alms_House_-_NARA_-_281331.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Alms_House_-_NARA_-_281331.jpg
55384,"http://commons.wikimedia.org/wiki/File:Alms_houses,_Chipping_Norton.JPG","Alms_houses,_Chipping_Norton.JPG","http://commons.wikimedia.org/wiki/Special:FilePath/Alms_houses,_Chipping_Norton.JPG"
54932,http://commons.wikimedia.org/wiki/File:Altobello_Melone_-_The_Road_to_Emmaus_-_Google_Art_Project.jpg,Altobello_Melone_-_The_Road_to_Emmaus_-_Google_Art_Project.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Altobello_Melone_-_The_Road_to_Emmaus_-_Google_Art_Project.jpg
54933,http://commons.wikimedia.org/wiki/File:Ambrogio_Lorenzetti_-_Presentazione_di_Ges%C3%B9_al_tempio_-_Google_Art_Project.jpg,Ambrogio_Lorenzetti_-_Presentazione_di_Ges%C3%B9_al_tempio_-_Google_Art_Project.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Ambrogio_Lorenzetti_-_Presentazione_di_Ges%C3%B9_al_tempio_-_Google_Art_Project.jpg
56283,http://commons.wikimedia.org/wiki/File:Ambrogio_Lorenzetti_-_Presentazione_di_Ges%C3%B9_al_tempio_-_Google_Art_Project.jpg ,Ambrogio_Lorenzetti_-_Presentazione_di_Ges%C3%B9_al_tempio_-_Google_Art_Project.jpg ,http://commons.wikimedia.org/wiki/Special:FilePath/Ambrogio_Lorenzetti_-_Presentazione_di_Ges%C3%B9_al_tempio_-_Google_Art_Project.jpg 
55955,http://commons.wikimedia.org/wiki/File:Amersfoort_-_Mozaiek_Heilige_Kruiskerk.jpg,Amersfoort_-_Mozaiek_Heilige_Kruiskerk.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Amersfoort_-_Mozaiek_Heilige_Kruiskerk.jpg
55162,http://commons.wikimedia.org/wiki/File:An_Allegory_of_Man.jpg,An_Allegory_of_Man.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/An_Allegory_of_Man.jpg
55441,http://commons.wikimedia.org/wiki/File:Andelsbuch_Pfarrkirche_-_Chorfenster_3a_Opfer.jpg,Andelsbuch_Pfarrkirche_-_Chorfenster_3a_Opfer.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Andelsbuch_Pfarrkirche_-_Chorfenster_3a_Opfer.jpg
54951,http://commons.wikimedia.org/wiki/File:Andrea_del_Verrocchio_003.jpg,Andrea_del_Verrocchio_003.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Andrea_del_Verrocchio_003.jpg
55333,http://commons.wikimedia.org/wiki/File:Andrea_di_Bartolo_-_The_Resurrection_-_Walters_37741.jpg,Andrea_di_Bartolo_-_The_Resurrection_-_Walters_37741.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Andrea_di_Bartolo_-_The_Resurrection_-_Walters_37741.jpg
54808,http://commons.wikimedia.org/wiki/File:Andrea_Mantegna_010.jpg,Andrea_Mantegna_010.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Andrea_Mantegna_010.jpg
