RecordNumber,CopyrightStatement
46621,https://commons.wikimedia.org/wiki/File:Georges_de_La_Tour_044.jpg
46622,https://commons.wikimedia.org/wiki/File:Georges_de_La_Tour_045.jpg
46623,https://commons.wikimedia.org/wiki/File:Georges_de_La_Tour_046.jpg
46624,https://commons.wikimedia.org/wiki/File:Georges_de_La_Tour_047.jpg
46625,https://commons.wikimedia.org/wiki/File:Georges_de_La_Tour_049.jpg
46626,https://commons.wikimedia.org/wiki/File:Georges_de_La_Tour_048.jpg
46627,https://commons.wikimedia.org/wiki/File:Georges_de_La_Tour_050.jpg
46629,https://commons.wikimedia.org/wiki/File:Georges_de_La_Tour_052.jpg
46630,https://commons.wikimedia.org/wiki/File:Georges_de_La_Tour_053.jpg
46631,https://commons.wikimedia.org/wiki/File:Barth%C3%A9lemy_d%27_Eyck_002.jpg
46632,https://commons.wikimedia.org/wiki/File:Bartholom%C3%A4us_Zeitblom_001.jpg
46633,https://commons.wikimedia.org/wiki/File:Benozzo_Gozzoli_001.jpg
46634,https://commons.wikimedia.org/wiki/File:Bernardino_Luini_001.jpg
46635,https://commons.wikimedia.org/wiki/File:Byzantinischer_Mosaizist_um_705_002.jpg
46636,https://commons.wikimedia.org/wiki/File:Byzantinischer_Mosaizist_des_5._Jahrhunderts_002.jpg
46638,https://commons.wikimedia.org/wiki/File:Byzantinischer_Mosaizist_um_1020_001.jpg
46639,https://commons.wikimedia.org/wiki/File:Beringarius_001.jpg
46640,https://commons.wikimedia.org/wiki/File:B%C3%B6hmischer_Meister_002.jpg
46641,https://commons.wikimedia.org/wiki/File:David_Roberts_001.jpg
46642,https://commons.wikimedia.org/wiki/File:Bernt_Notke_001.jpg
46644,https://commons.wikimedia.org/wiki/File:Duccio_di_Buoninsegna_019.jpg
46646,https://commons.wikimedia.org/wiki/File:Lorenzo_Monaco_-_The_Flight_into_Egypt_-_WGA13585.jpg
46652,https://commons.wikimedia.org/wiki/File:Diego_Vel%C3%A1zquez_009.jpg
46653,"https://commons.wikimedia.org/wiki/File:Annunciation_of_the_Virgin,_Gerard_David_001.jpg"
46654,https://commons.wikimedia.org/wiki/File:Gerard_David_003.jpg
46655,https://commons.wikimedia.org/wiki/File:Gerard_David_004.jpg
46656,https://commons.wikimedia.org/wiki/File:Gerard_David_005.jpg
46658,https://commons.wikimedia.org/wiki/File:Duccio_di_Buoninsegna_060.jpg
46659,https://commons.wikimedia.org/wiki/File:Gerard_David_009.jpg
