qid,label_en,instance_of_uuid,instance_of
Q108802815,"Homosexuality, Queer Theory, and Christian Theology",FEE58793-900E-4EA4-876D-F87650973D4B,Q21481766
Q108802816,The Courage to See and to Sin: Mary Daly's Elemental Transformation of Paul Tillich's Ontology: Feminist Interpretations of Mary Daly,98D55E68-8EF5-4965-8D07-B7D449262707,Q21481766
Q108802817,Queer Theory,AAD88997-683A-4C1E-9839-9EEDC080E972,Q21481766
Q108802818,The Gravity of Love,6BC0C468-3524-4893-ACCB-F5B49D01BFC4,Q21481766
Q108802819,"When the World is Alive, Spirit is Not Dismembered : Philosophical Reflections on the Good Mind",53A3BCD4-C52E-403E-A25A-14C007BCF6BE,Q21481766
Q108802821,Yahwist Desires: Imagining Divinity Queerly,1B6B8649-668D-46CB-AEB3-83A293912257,Q21481766
Q108802822,Divine Promiscuity,9162163B-60B1-4610-A755-841E49B62C12,Q21481766
Q108802823,"""Nothing in This World is Indifferent to Us"" : A Dialogical Reflection on the Queerness of Theology and Science",4538E8D8-23FD-46B8-B4E6-F7E13F533397,Q21481766
Q108802824,More Than a Feeling: A Queer Notion of Survivance,B23A6E78-16FC-45C7-92D3-90A70B2EF2CE,Q21481766
Q108802826,"Healing Anthropology: History, Health and Science in Systematic Theology",6C27E786-F2F5-49CE-9547-0C974045AFCA,Q21481766
Q108802827,God,FB1408E6-74B8-47E1-ADD5-C1AD377F0477,Q21481766
Q108802828,Arms Control Impact Statements,4D36866A-2D5A-4BB0-9DFB-BF1F96C61BE6,Q21481766
Q108802829,"AIDS, Teens and the Church: A Leaders’ Guide",8C3619A4-D8E8-4E15-9E39-D7011EF606AD,Q21481766
Q108802830,"Language, Violence, and God",C2CB0A87-61A7-453E-B20D-FFE9DA9267EB,Q21481766
Q108802831,Who Sees Eye To Eye: Date/Acquaintance Rape and Right Relationship,311F5997-B0F9-4EB5-B53F-E7C5B8995BEF,Q21481766
Q108802895,What Race is Your Sex?,2B73CB2F-A149-4FEA-B120-977B6C114355,Q21481766
Q108816828,"Meeting God on the Cross: Christ, the Cross, and the Feminist Critique",2BCDC884-C0A3-4726-976D-84FDC9B8CB0C,Q3331189
Q108816828,"Meeting God on the Cross: Christ, the Cross, and the Feminist Critique",60D92891-7F01-44F4-90E1-3C3CEEBAF800,Q637866
Q108816830,After Christianity,230081FA-228B-4215-97FC-28B9A0B7ED28,Q3331189
Q108816830,After Christianity,D6289A1A-C076-4B8E-A467-CAEB419D7A2D,Q637866
Q108816831,The Face of the Deep: A Theology of Becoming,D422B2AE-15C8-4A92-A658-9551D781ABB3,Q637866
Q108816831,The Face of the Deep: A Theology of Becoming,FAFE410D-74CE-45B6-AB14-22835B95D0AE,Q3331189
Q108816832,Native Americans and the Christian Right: The Gendered Politics of Unlikely Alliances,33419137-DB1F-46E7-A270-975BE87E726F,Q637866
Q108816832,Native Americans and the Christian Right: The Gendered Politics of Unlikely Alliances,7C8021EF-855E-41FC-BB79-A777EA85B5B2,Q3331189
Q108816833,"Homosexuality, Queer Theory, and Christian Theology",A72DDB29-06FF-445F-B981-6F3D62359ECC,Q637866
Q108816833,"Homosexuality, Queer Theory, and Christian Theology",C21C5C2E-7D13-4249-B2B7-431AD4D16424,Q3331189
Q108816834,"Review of The Serpent and the Goddess by Mary Condren (HarperCollins, 1989)",40D639BD-5DE5-4A33-94F4-42D51DFC8F0D,Q3331189
Q108816834,"Review of The Serpent and the Goddess by Mary Condren (HarperCollins, 1989)",E5A25F6D-4E71-4579-B285-4CFF88F01806,Q637866
Q108816835,"Defying the Darkness: Gay Theology in the Shadows by Michael J.  Clark (Cleveland: Pilgrim Press, 1997)",73ABC654-9405-4A01-BFD3-23796E98A27F,Q637866
Q108816835,"Defying the Darkness: Gay Theology in the Shadows by Michael J.  Clark (Cleveland: Pilgrim Press, 1997)",D4CC46CE-E3FC-412E-BB2F-5AC1A7AAA7DE,Q3331189
Q108816836,"In A Blaze of Glory: Womanist Spirituality as Social Witness by Emilie Townes (Nashville, Abingdon Press, 1995)",34DD7CFE-CE3A-4689-8792-71E776964C4E,Q3331189
Q108816836,"In A Blaze of Glory: Womanist Spirituality as Social Witness by Emilie Townes (Nashville, Abingdon Press, 1995)",7675EC23-0697-4087-9285-B4B0A845E381,Q637866
Q108816837,"When God Becomes Goddess: The Transformation of American  Religion, by Richard Grigg (NY: Continuum, 1995)",1957081A-0AB8-404A-9D0C-48334136659C,Q637866
Q108816837,"When God Becomes Goddess: The Transformation of American  Religion, by Richard Grigg (NY: Continuum, 1995)",40E8628E-707F-46A7-825C-409B76D9DDE6,Q3331189
Q108816838,"Dictionary of Feminist Theologies, edited by Letty M. Russell and J.  Shannon Clarkson (Louisville KY: Westminster John Knox Press, 1996)",49464951-79E2-45C3-899B-5BFDC4A17DDA,Q3331189
Q108816838,"Dictionary of Feminist Theologies, edited by Letty M. Russell and J.  Shannon Clarkson (Louisville KY: Westminster John Knox Press, 1996)",EF7C53D5-2591-4DF8-9E1A-89CA7322C912,Q637866
Q108816839,Michelle Voss Roberts' Dualities,B074C403-9C8E-4DE7-9ED7-BC24B68742FC,Q637866
Q108816839,Michelle Voss Roberts' Dualities,FC3D9E54-A27D-4291-BA12-93E8B973CCA3,Q3331189
Q108816840,Becoming Divine: Towards a Feminist Philosophy of Religion,5906087C-A96B-4B8C-848C-045D55E08616,Q637866
Q108816840,Becoming Divine: Towards a Feminist Philosophy of Religion,9BFF3FE9-4B67-4DF0-8BA6-6A3C06DF895D,Q3331189
Q109404829,Christianity and Empire,51C706D8-007A-43C5-A6AC-3CB4CEE5A6B1,Q18918145
Q109404830,Black Church Giving,164E0B2D-EB2B-41F0-866B-D3704324ECED,Q18918145
Q109407333,Just Capitalism: A Christian Ethic of Globalization. By Brent Waters,512C8CFB-1CB1-4F01-BA79-CCEF45AB7A60,Q18918145
Q109407334,Deep solidarity: Broadening the basis of transformation,0ED63CCF-4475-4415-9E39-0C9F40F94186,Q18918145
Q109407335,"Empire, Deep Solidarity, and the Future of Liberation Theology",D240D504-42E0-4C37-A3F9-4ABD0887DEEA,Q18918145
Q109407336,The Touch of Transcendence: A Postcolonial Theology of God - By Mayra Rivera,351417B5-5E95-47D7-892D-623E6DC8E96B,Q18918145
Q109407336,The Touch of Transcendence: A Postcolonial Theology of God - By Mayra Rivera,dff1ef5b-4950-ad84-a0e4-4fba6ffe8985,Q637866
Q109407337,Controversies in Political Theology: Development or Liberation? - By Thia Cooper,650B23FB-EDB9-43C4-BB93-ECE5F479E35B,Q18918145
Q109407337,Controversies in Political Theology: Development or Liberation? - By Thia Cooper,106bac7b-4302-493d-17ec-3ec34dbda113,Q637866
Q109407338,Karl Barth: God's Word in Action - By Paul S. Chung,CC794D0C-8503-42A4-BA1B-3BFF697AC360,Q18918145
