qid,label_en,description_en,exhibition_history_uuid,exhibition_history,exhibition_history_start_time_nodeId,exhibition_history_start_time_val,exhibition_history_start_time_prec,exhibition_history_end_time_nodeId,exhibition_history_end_time_val,exhibition_history_end_time_prec,exhibition_history_ref1_hash,exhibition_history_ref1_referenceUrl,exhibition_history_ref1_retrieved_nodeId,exhibition_history_ref1_retrieved_val,exhibition_history_ref1_retrieved_prec
Q103310082,The Resurrection,print by Albrecht Altdorfer,4B64B27E-80D2-486E-8C9D-CAA4983167D2,Q109133749,34bfc29e-e5e6-4acb-9d1b-ba182d434739,2021-08-26T00:00:00Z,11,55ca39b6-6e37-4a92-9a54-e6855dd3b14b,2022-01-30T00:00:00Z,11,6d3d995dfe0eac5dc8f997aff4459246410db876,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/the-resurrection/,e7e05046-b3fd-4c54-a9c1-95eb44501b34,2021-10-23T00:00:00Z,11
Q103312005,"Veda Vyasa Ji, an ancient sage, telling a story",print by Artist Unknown,7579F59E-3D40-4618-B045-544F27F88731,Q109133749,440cb003-7dd5-4e37-a12c-62e32a27da2b,2021-08-26T00:00:00Z,11,27e083d8-0de0-482a-bab2-265b81d732a0,2022-01-30T00:00:00Z,11,16a40068351486b8b3212ffa4b18b8ee926d4331,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/veda-vyasa-ji-right-an-ancient-sage-telling-a-story/,b173aa06-41f9-4e00-81e2-74174ea703da,2021-10-23T00:00:00Z,11
Q102976678,Vestal Virgins Making an Offering,drawing by Jean Baptiste Mallet,45119612-41a4-8ebc-b869-9c8bb8102024,Q109133749,7f79b38373ae269917c5dad0e48d05bd,2021-08-26T00:00:00Z,11,34c9a459ccf968916abaef15a4619650,2022-01-30T00:00:00Z,11,90683b9ee2e9af7565be8d44e6e91148b582c3d6,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/vestal-virgins-making-an-offering/,b1b1173880c22fdc6d875560faca663f,2021-10-23T00:00:00Z,11
Q103312133,Votive object for a festival in the form of a mask of Okina,ceramics by Artist Unknown,B8DB44B7-6656-486F-A8AF-52DE3708D61E,Q109133749,0071bbc5-6ecc-40eb-b738-f517ca4ffb31,2021-08-26T00:00:00Z,11,6622092e-ba70-41ec-8964-6776f61d0218,2022-01-30T00:00:00Z,11,0ddf7e68910aeec716e91a745cd033c2fd55ca37,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/votive-object-for-a-festival-in-the-form-of-a-mask-of-okina/,63f716a1-1ef8-48de-b269-1535ce98185c,2021-10-23T00:00:00Z,11
Q102976848,Votive object for a festival in the form of a medallion with the face of Okame,ceramics by Artist Unknown,63AC281F-849C-446F-AE69-BAB663573FD4,Q109133749,57d2ea76-e563-499d-8111-11ccbd9b9ac2,2021-08-26T00:00:00Z,11,904dc642-dbc9-4824-bb2c-4eb77c557b61,2022-01-30T00:00:00Z,11,78781055c109d6c9a00018dea5f7f6d2095a3260,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/votive-object-for-a-festival-in-the-form-of-a-medallion-with-the-face-of-okame/,ccd18043-102f-45ae-bd85-2fc1e97dc891,2021-10-23T00:00:00Z,11
Q102976854,Votive object for a festival in the form of a Resting Cow,ceramics by Artist Unknown,E52D350D-FD0D-4D0F-B89F-E92D46E4559D,Q109133749,af93e730-fb7f-421c-ba1e-000113d7b692,2021-08-26T00:00:00Z,11,3c73f2ff-7263-4471-9314-cccaa0868e29,2022-01-30T00:00:00Z,11,21710336f8a30e709854879f684ace6177072241,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/votive-object-for-a-festival-in-the-form-of-a-resting-cow/,416adfb2-fe41-4221-b28e-c93add395f42,2021-10-23T00:00:00Z,11
Q103312140,Votive object for a festival in the form of a seated cat,ceramics by Artist Unknown,C110290A-900F-4F54-999F-215A6C3898BC,Q109133749,1f8f6f31-3a15-4f67-80b7-d8c789ded40a,2021-08-26T00:00:00Z,11,d4895b53-7cd4-4362-9b7f-47e368ff58a1,2022-01-30T00:00:00Z,11,9c02bcb3e54785892bf5a7223b4e0e0aedeedf3d,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/votive-object-for-a-festival-in-the-form-of-a-seated-cat/,c695df3e-ac21-49fd-99ad-3af673ff8684,2021-10-23T00:00:00Z,11
Q102976921,Warrior Reservoir,drawing by María Magdalena Campos-Pons,5778D805-104F-4668-9E80-D3BAD8DCF7BE,Q109133749,1fda40dc-0799-4a6a-b824-ecfc2ee39205,2021-08-26T00:00:00Z,11,0a1c75f8-3b0f-49e7-8759-27378b46addb,2022-01-30T00:00:00Z,11,03140fec706ddbebb6b4d1f1280632ed726de4df,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/warrior-reservoir/,bf0675f6-b60a-4336-b610-8c6636ee3d76,2021-10-23T00:00:00Z,11
Q103300332,G2 Cover 11.06.2020,print by Lubaina Himid,9A9B545F-A2E2-454C-91FE-30B6CF39CE42,Q109133749,19e8ff07-a35f-4cfd-9ff4-cdf5133ac2ab,2021-08-26T00:00:00Z,11,f00aa2f4-1482-4806-838d-030f79975b36,2022-01-30T00:00:00Z,11,9333e3f6a14af659cf465f5b61f228076058d848,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/you-say-the-magic-words-black-lives-matter/,acc2e5af-535d-4c91-a26a-c2aa8bfe789c,2021-10-23T00:00:00Z,11
Q109192070,Effigy Bowl in the Shape of a Frog,,604448F4-A3D4-430C-BD11-980935985209,Q109133749,4165f6f6-5aa2-43bd-a733-f7fdd72f9b93,2021-08-26T00:00:00Z,11,1c642043-1926-476d-9be2-325d567f9bf3,2022-01-30T00:00:00Z,11,503c0f13b6cfb952bdfc4ff534679c1124379f38,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/effigy-bowl-in-the-shape-of-a-frog/,3e6eb575-ce77-4f28-bc09-96967613f5b6,2021-10-23T00:00:00Z,11
Q109192071,Lost Mountain at Sunrise. Harper’s Pictorial History of the Civil War (Annotated),,AC6A1B0E-B4C9-476D-BDF9-43A2ADC64107,Q109133749,204a9ada-74b7-49dd-bfcf-9b046a0ff201,2021-08-26T00:00:00Z,11,f6a06c19-8218-406f-8097-64911ac46f42,2022-01-30T00:00:00Z,11,a9007a1d6bc7ae70818bd40b85dea5ceed438b27,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/lost-mountain-at-sunrise-harpers-pictorial-history-of-the-civil-war-annotated/,e5a06f2f-2b9d-435a-8624-15c2edd13067,2021-10-23T00:00:00Z,11
Q109192072,Foote’s Gun-Boats Ascending to Attack Fort Henry. Harper’s Pictorial History of the Civil War (Annotated),,24CA3D4E-99A8-4996-B175-89B3386C859D,Q109133749,4047045f-4076-4ccd-a8ff-2e18e21e267a,2021-08-26T00:00:00Z,11,f33bc11f-9e82-414e-92e7-93d7b2233cd0,2022-01-30T00:00:00Z,11,6de99958b19eee3e6aca05372ad2d7890b3b85df,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/footes-gun-boats-ascending-to-attack-fort-henry-harpers-pictorial-history-of-the-civil-war-annotated/,d1f11450-cd04-483b-b79b-7a6ea7b0ea2c,2021-10-23T00:00:00Z,11
