accession_number,mid,description,score,topicality
1964.016,/m/03jm5,House,0.833211,0.833211
1964.016,/m/0d4v4,Window,0.8268176,0.8268176
1964.016,/m/0jjw,Art,0.7890775,0.7890775
1964.016,/m/03nxtz,Cottage,0.7711907,0.7711907
1964.016,/m/07j7r,Tree,0.76393586,0.76393586
1964.016,/m/01x314,Facade,0.71460783,0.71460783
1964.016,/m/08yp1s,Hut,0.6962759,0.6962759
1964.016,/m/05qdh,Painting,0.6533269,0.6533269
1964.017,/m/0jjw,Art,0.82148683,0.82148683
1964.017,/m/03scnj,Line,0.8173163,0.8173163
1964.017,/m/07j7r,Tree,0.78308475,0.78308475
1964.017,/m/030zfn,Parallel,0.7812073,0.7812073
1964.017,/m/0j62f,Rectangle,0.77751696,0.77751696
1964.017,/m/02q_bfg,Tints and shades,0.770704,0.770704
1964.017,/m/05qdh,Painting,0.7467724,0.7467724
1964.017,/m/02csf,Drawing,0.7058341,0.7058341
1964.017,/m/01kr8f,Illustration,0.6892371,0.6892371
1964.017,/m/0p9xx,Visual arts,0.6866975,0.6866975
1964.018,/m/0j62f,Rectangle,0.8691801,0.8691801
1964.018,/m/07j7r,Tree,0.84523904,0.84523904
1964.018,/m/0cgh4,Building,0.82116115,0.82116115
1964.018,/m/0jjw,Art,0.77879745,0.77879745
1964.018,/m/078hm,Slope,0.74324816,0.74324816
1964.018,/m/083vt,Wood,0.7378608,0.7378608
1964.018,/m/030zfn,Parallel,0.73378074,0.73378074
1964.018,/m/03jm5,House,0.71709913,0.71709913
1964.018,/m/02csf,Drawing,0.70634574,0.70634574
1964.018,/m/0hwky,Pattern,0.7033932,0.7033932
1964.019,/m/0cgh4,Building,0.954664,0.954664
1964.019,/m/03jm5,House,0.848495,0.848495
1964.019,/m/05s2s,Plant,0.84072876,0.84072876
1964.019,/m/0j62f,Rectangle,0.8241763,0.8241763
1964.019,/m/07j7r,Tree,0.7790339,0.7790339
1964.019,/m/05_5t0l,Landmark,0.76877326,0.76877326
1964.019,/m/03gq5hm,Font,0.74707353,0.74707353
1964.019,/m/01x314,Facade,0.7356896,0.7356896
1964.019,/m/0jjw,Art,0.69887656,0.69887656
1964.019,/m/05qdh,Painting,0.678832,0.678832
1964.020,/m/0cgh4,Building,0.9581021,0.9581021
1964.020,/m/05s2s,Plant,0.92157847,0.92157847
1964.020,/m/0j62f,Rectangle,0.907076,0.907076
1964.020,/m/03jm5,House,0.8602204,0.8602204
1964.020,/m/03scnj,Line,0.82231796,0.82231796
1964.020,/m/07j7r,Tree,0.80882996,0.80882996
1964.020,/m/0d4v4,Window,0.79391396,0.79391396
1964.020,/m/0jjw,Art,0.7837878,0.7837878
1964.020,/m/03gq5hm,Font,0.7807949,0.7807949
1964.020,/m/01x314,Facade,0.7588879,0.7588879
1965.002,/m/025kyy,Forehead,0.9846564,0.9846564
1965.002,/m/0k0pj,Nose,0.98358303,0.98358303
1965.002,/m/027n3_,Eyebrow,0.9417975,0.9417975
