qid,accession_number,dimension,type,label,creator,inception_val,inception_earliest_date_val,inception_latest_date_val,style_period,rights,media_url,status
Q103298974,1981.028,2D,artists book,Culture Hero,Q18023286,1970-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26755610/representation-view,inception was after copyright cutoff
Q102964312,,2D,artists book,Die Kunst der reinen Form,,,,,,,,
Q105091746,2004.082,2D,artists book,Double North,Q105090545,1999-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26759061/representation-view,inception was after copyright cutoff
Q103299420,1978.144,2D,artists book,E Furyu,Q4233718,1754-01-01T00:00:00Z,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754186/representation-view,inception prior to copyright cutoff
Q103299428,1978.059,2D,artists book,"E-hon Toshi-sen (Illustrated poems of the T'ang Dynasty), Volumes 2, 3, 4, and 5",Q5586,1836-01-01T00:00:00Z,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754101/representation-view,inception prior to copyright cutoff
Q103299496,1978.169,2D,artists book,Edo Miyage,Q4233718,,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754211/representation-view,assessed to be out of copyright
Q105095976,1978.055,2D,artists book,"Ehon Konrei Michi-Shirube (Guideposts to a Wedding), Last Volume in set of 2 or 3",,1813-01-01T00:00:00Z,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754097/representation-view,inception prior to copyright cutoff
Q106577325,1978.102,2D,artists book,"Ehon Sen Moto, Volume 3",Q4233718,,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754144/representation-view,assessed to be out of copyright
Q105091757,1978.133,2D,artists book,Ehon Shiki Oyu,Q105090044,,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754175/representation-view,artist died before copyright cutoff
Q106577326,1978.048,2D,artists book,Ehon Totoe-gusa (The Illustrated Book of Fables),Q3109429,1731-01-01T00:00:00Z,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754090/representation-view,inception prior to copyright cutoff
Q105095961,1978.120,2D,artists book,Ehon Usuko Bai,,1762-01-01T00:00:00Z,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754162/representation-view,inception prior to copyright cutoff
Q103299520,1978.054,2D,artists book,Ehon Yamatoi Ji (Study of Things Japanese); ten volumes,Q3109429,1804-01-01T00:00:00Z,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754096/representation-view,inception prior to copyright cutoff
Q106577327,1978.077,2D,artists book,"Ehon-Asa Murasaki (The Picture Book, Light Purple), Volume 2 of 2",Q3074364,1769-01-01T00:00:00Z,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754119/representation-view,inception prior to copyright cutoff
Q105095974,1978.058,2D,artists book,Eihitsu Hyakugawa (One Hundred Paintings from the Brush of Hanabusa),,1773-01-01T00:00:00Z,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754100/representation-view,inception prior to copyright cutoff
Q102964742,,2D,artists book,Emilio Vedova: Grafica e didactica (Dedicated book),,,,,,,,
Q104032019,,2D,artists book,"From the portfolio, Les Essencies de la Terra (Essence of the Land) with poetry by Juan Perucho",,,,,,,,
Q104032020,2003.004a,2D,artists book,"From the portfolio, Les Essencies de la Terra (Essence of the Land) with poetry by Juan Perucho",Q152384,1968-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26758884/representation-view,inception was after copyright cutoff
Q104032021,2003.004b,2D,artists book,"From the portfolio, Les Essencies de la Terra (Essence of the Land) with poetry by Juan Perucho",Q152384,1968-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26758885/representation-view,inception was after copyright cutoff
Q104032022,2003.004c,2D,artists book,"From the portfolio, Les Essencies de la Terra (Essence of the Land) with poetry by Juan Perucho",Q152384,1968-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26758886/representation-view,inception was after copyright cutoff
Q104032024,2003.004d,2D,artists book,"From the portfolio, Les Essencies de la Terra (Essence of the Land) with poetry by Juan Perucho",Q152384,1968-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26758887/representation-view,inception was after copyright cutoff
Q104032026,2003.004e,2D,artists book,"From the portfolio, Les Essencies de la Terra (Essence of the Land) with poetry by Juan Perucho",Q152384,1968-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26758888/representation-view,inception was after copyright cutoff
Q104032027,2003.004f,2D,artists book,"From the portfolio, Les Essencies de la Terra (Essence of the Land) with poetry by Juan Perucho",Q152384,1968-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26758889/representation-view,inception was after copyright cutoff
Q104032028,2003.004g,2D,artists book,"From the portfolio, Les Essencies de la Terra (Essence of the Land) with poetry by Juan Perucho",Q152384,1968-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26758890/representation-view,inception was after copyright cutoff
Q104032029,2003.004h,2D,artists book,"From the portfolio, Les Essencies de la Terra (Essence of the Land) with poetry by Juan Perucho",Q152384,1968-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26758891/representation-view,inception was after copyright cutoff
Q104032030,2003.004i,2D,artists book,"From the portfolio, Les Essencies de la Terra (Essence of the Land) with poetry by Juan Perucho",Q152384,1968-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26758892/representation-view,inception was after copyright cutoff
Q104032031,2003.004j,2D,artists book,"From the portfolio, Les Essencies de la Terra (Essence of the Land) with poetry by Juan Perucho",Q152384,1968-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26758893/representation-view,inception was after copyright cutoff
Q104032032,2003.004k,2D,artists book,"From the portfolio, Les Essencies de la Terra (Essence of the Land) with poetry by Juan Perucho",Q152384,1968-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26758894/representation-view,inception was after copyright cutoff
Q104032047,2003.002a,2D,artists book,From: Farandole (A portfolio containing art by Hartung and poetry by Proal),Q657402,1972-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26758856/representation-view,inception was after copyright cutoff
Q104032048,2003.002b,2D,artists book,From: Farandole (A portfolio containing art by Hartung and poetry by Proal),Q657402,1972-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26758857/representation-view,inception was after copyright cutoff
Q104032050,2003.002c,2D,artists book,From: Farandole (A portfolio containing art by Hartung and poetry by Proal),Q657402,1972-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26758858/representation-view,inception was after copyright cutoff
Q104032051,2003.002d,2D,artists book,From: Farandole (A portfolio containing art by Hartung and poetry by Proal),Q657402,1972-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26758859/representation-view,inception was after copyright cutoff
Q104032052,2003.002e,2D,artists book,From: Farandole (A portfolio containing art by Hartung and poetry by Proal),Q657402,1972-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26758860/representation-view,inception was after copyright cutoff
Q104032053,2003.002f,2D,artists book,From: Farandole (A portfolio containing art by Hartung and poetry by Proal),Q657402,1972-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26758861/representation-view,inception was after copyright cutoff
