qid,local_filename,local_identifier,rank,label,notes,kilobytes,height,width,photo_inception,subdir
Q103302036,2008.026.jpg,2008.026,primary,,,48,491,404,2010-02-24,2008
Q103302046,2008.027.jpg,2008.027,primary,,,42,490,403,2010-02-24,2008
Q103301963,2008.028.jpg,2008.028,primary,,,49,492,405,2010-02-24,2008
Q103300349,2008.029.jpg,2008.029,primary,,,48,492,405,2010-02-24,2008
Q103300357,2008.030.jpg,2008.030,primary,,,48,495,408,2010-02-24,2008
Q103300361,2008.031.jpg,2008.031,primary,,,48,489,408,2010-02-24,2008
Q103300366,2008.032.jpg,2008.032,primary,,,48,489,407,2010-02-24,2008
Q103300373,2008.033.jpg,2008.033,primary,,,48,492,407,2010-02-24,2008
Q103300379,2008.034.jpg,2008.034,primary,,,48,489,407,2010-02-24,2008
Q103300390,2008.035.jpg,2008.035,primary,,,49,489,405,2010-02-24,2008
Q103300396,2008.036.jpg,2008.036,primary,,,49,489,407,2010-02-24,2008
Q103310936,2008.037.jpg,2008.037,primary,,,45,492,407,2010-02-24,2008
Q103310984,2008.038.jpg,2008.038,primary,,,46,492,406,2010-02-24,2008
Q103310992,2008.039.jpg,2008.039,primary,,,45,492,408,2010-02-24,2008
Q103310999,2008.040.jpg,2008.040,primary,,,45,494,407,2010-02-24,2008
Q103311006,2008.041.jpg,2008.041,primary,,,45,495,408,2010-02-24,2008
Q103311016,2008.042.jpg,2008.042,primary,,,48,492,408,2010-02-24,2008
Q103311026,2008.043.jpg,2008.043,primary,,,47,492,407,2010-02-24,2008
Q103311038,2008.044.jpg,2008.044,primary,,,48,491,408,2010-02-24,2008
Q103311045,2008.045.jpg,2008.045,primary,,,46,495,408,2010-02-24,2008
Q103310945,2008.046.jpg,2008.046,primary,,,47,492,406,2010-02-24,2008
Q103310950,2008.047.jpg,2008.047,primary,,,48,492,408,2010-02-24,2008
Q103310956,2008.048.jpg,2008.048,primary,,,48,492,407,2010-02-24,2008
Q103310961,2008.049.jpg,2008.049,primary,,,47,494,407,2010-02-24,2008
Q103310969,2008.050.jpg,2008.050,primary,,,45,495,407,2010-02-24,2008
Q103310975,2008.051.jpg,2008.051,primary,,,46,494,407,2010-02-24,2008
Q103311058,2008.052.jpg,2008.052,primary,,,48,495,407,2010-02-24,2008
Q103308561,2008.053.jpg,2008.053,primary,,,41,487,406,2010-02-24,2008
Q103308570,2008.054.jpg,2008.054,primary,,,43,489,407,2010-02-24,2008
Q103308577,2008.055.jpg,2008.055,primary,,,43,489,407,2010-02-24,2008
Q103308584,2008.056.jpg,2008.056,primary,,,43,489,407,2010-02-24,2008
Q103308589,2008.057.jpg,2008.057,primary,,,42,489,407,2010-02-24,2008
Q103308595,2008.058.jpg,2008.058,primary,,,41,489,406,2010-02-24,2008
Q103306045,2008.059.jpg,2008.059,primary,,,51,494,411,2010-02-24,2008
Q103305079,2008.060.jpg,2008.060,primary,,,51,495,412,2010-02-24,2008
Q103305088,2008.061.jpg,2008.061,primary,,,51,495,412,2010-02-24,2008
Q103305093,2008.062.jpg,2008.062,primary,,,51,494,411,2010-02-24,2008
Q104032170,2008.063.jpg,2008.063,primary,,,51,495,413,2010-02-24,2008
Q104032171,2008.064.jpg,2008.064,primary,,,51,495,412,2010-02-24,2008
Q104032173,2008.065.jpg,2008.065,primary,,,51,496,412,2010-02-24,2008
Q103301828,2008.066.jpg,2008.066,primary,,,43,491,414,2010-02-24,2008
Q104032307,2008.067.jpg,2008.067,primary,,,51,492,411,2010-02-24,2008
Q104032097,2008.068.jpg,2008.068,primary,,,46,495,412,2010-02-24,2008
Q104032098,2008.069.jpg,2008.069,primary,,,44,495,411,2010-02-24,2008
Q104032099,2008.070.jpg,2008.070,primary,,,45,495,413,2010-02-24,2008
Q104032100,2008.071.jpg,2008.071,primary,,,47,495,411,2010-02-24,2008
Q104032101,2008.072.jpg,2008.072,primary,,,46,495,412,2010-02-24,2008
Q104032102,2008.073.jpg,2008.073,primary,,,49,494,413,2010-02-24,2008
