name,accession,kilobytes,height,width,subdir,extension
1969.030.tif,1969.030,61778,4279,4926,1969,tif
1969.068.jpg,1969.068,115,500,259,1969,jpg
1969-057.dng,1969.057,31322,171,256,1969,dng
1969-043.dng,1969.043,31175,171,256,1969,dng
1969-042.dng,1969.042,30995,171,256,1969,dng
1969-056.dng,1969.056,31453,171,256,1969,dng
1969.069.jpg,1969.069,158,350,500,1969,jpg
1969.041.jpg,1969.041,186,500,332,1969,jpg
1969.031.tif,1969.031,58938,4192,4797,1969,tif
1969.025.tif,1969.025,55348,3917,4821,1969,tif
1969.019.tif,1969.019,39107,2772,2406,1969,tif
1969-052.dng,1969.052,30497,171,256,1969,dng
1969-046.dng,1969.046,29906,171,256,1969,dng
1969-047.dng,1969.047,30149,171,256,1969,dng
1969-053.dng,1969.053,31243,171,256,1969,dng
1969.020.tif,1969.020,55047,3878,4843,1969,tif
1969.022.tif,1969.022,51744,3777,4674,1969,tif
1969-045.dng,1969.045,30560,171,256,1969,dng
1969-051.dng,1969.051,30429,171,256,1969,dng
1969-050.dng,1969.050,32329,171,256,1969,dng
1969-044.dng,1969.044,30606,171,256,1969,dng
1969.023.tif,1969.023,55286,3920,4812,1969,tif
1969.050.tif,1969.050,52518,5184,3456,1969,tif
1969-041side.dng,1969.041,31540,171,256,1969,dng
1969.034.jpg,1969.034,55,500,417,1969,jpg
1969.020.jpg,1969.020,230,400,500,1969,jpg
1969.008.jpg,1969.008,726,1611,2328,1969,jpg
1969.021.jpg,1969.021,153,398,504,1969,jpg
1969.035.jpg,1969.035,65,500,429,1969,jpg
1969.079.tif,1969.079,70628,2974,4051,1969,tif
1969.023.jpg,1969.023,224,408,500,1969,jpg
1969.037.jpg,1969.037,54,500,402,1969,jpg
1969.036.jpg,1969.036,51,500,415,1969,jpg
1969.022.jpg,1969.022,83,404,500,1969,jpg
1969.042.tif,1969.042,52519,5184,3456,1969,tif
1969.026.jpg,1969.026,330,500,578,1969,jpg
