name,orcid_url,orcid,item_url,qid
Pietro Valdastri,https://orcid.org/0000-0002-2280-5438,0000-0002-2280-5438,http://www.wikidata.org/entity/Q51791603,Q51791603
Anders Malmendal,https://orcid.org/0000-0002-8413-9717,0000-0002-8413-9717,http://www.wikidata.org/entity/Q51795303,Q51795303
David W. Threadgill,https://orcid.org/0000-0003-3538-1635,0000-0003-3538-1635,http://www.wikidata.org/entity/Q42306006,Q42306006
Ansuman Chattopadhyay,https://orcid.org/0000-0002-5412-3749,0000-0002-5412-3749,http://www.wikidata.org/entity/Q57068908,Q57068908
Habibeh Khoshbouei,https://orcid.org/0000-0002-1533-8771,0000-0002-1533-8771,http://www.wikidata.org/entity/Q48619624,Q48619624
Zeno Lavagnino,https://orcid.org/0000-0002-7247-8084,0000-0002-7247-8084,http://www.wikidata.org/entity/Q56993167,Q56993167
Zhikui Wei,https://orcid.org/0000-0002-2311-9800,0000-0002-2311-9800,http://www.wikidata.org/entity/Q56246017,Q56246017
James P. Tam,https://orcid.org/0000-0003-4433-198X,0000-0003-4433-198X,http://www.wikidata.org/entity/Q39796189,Q39796189
Timothy D Girard,https://orcid.org/0000-0002-9833-4871,0000-0002-9833-4871,http://www.wikidata.org/entity/Q48213375,Q48213375
Frederick Verbruggen,https://orcid.org/0000-0002-7958-0719,0000-0002-7958-0719,http://www.wikidata.org/entity/Q38590382,Q38590382
Tsuyoshi Miyakawa,https://orcid.org/0000-0003-0137-8200,0000-0003-0137-8200,http://www.wikidata.org/entity/Q37381999,Q37381999
Chuanzhong Ye,https://orcid.org/0000-0002-3584-1075,0000-0002-3584-1075,http://www.wikidata.org/entity/Q56487625,Q56487625
Zhong-Liu Wu,https://orcid.org/0000-0002-0189-5892,0000-0002-0189-5892,http://www.wikidata.org/entity/Q52351219,Q52351219
Michael Rutzler,https://orcid.org/0000-0001-5597-8880,0000-0001-5597-8880,http://www.wikidata.org/entity/Q42782498,Q42782498
Mark A Stremler,https://orcid.org/0000-0001-5785-7732,0000-0001-5785-7732,http://www.wikidata.org/entity/Q56797013,Q56797013
Ashley J. Hood,https://orcid.org/0000-0002-3859-4110,0000-0002-3859-4110,http://www.wikidata.org/entity/Q48340570,Q48340570
Marc Swiontkowski,https://orcid.org/0000-0001-7036-1782,0000-0001-7036-1782,http://www.wikidata.org/entity/Q38639925,Q38639925
Anita A Disney,https://orcid.org/0000-0003-3390-0681,0000-0003-3390-0681,http://www.wikidata.org/entity/Q55299623,Q55299623
Ernesto Santoro,https://orcid.org/0000-0002-4276-4389,0000-0002-4276-4389,http://www.wikidata.org/entity/Q56863149,Q56863149
Elizabeth K Mallott,https://orcid.org/0000-0001-5446-8563,0000-0001-5446-8563,http://www.wikidata.org/entity/Q47176665,Q47176665
Chandra Y Osborn,https://orcid.org/0000-0002-7668-028X,0000-0002-7668-028X,http://www.wikidata.org/entity/Q42326112,Q42326112
Rafael Arrojo E Drigo,https://orcid.org/0000-0001-7712-013X,0000-0001-7712-013X,http://www.wikidata.org/entity/Q43124064,Q43124064
Jeffrey S Phillips,https://orcid.org/0000-0003-0079-9441,0000-0003-0079-9441,http://www.wikidata.org/entity/Q57001736,Q57001736
Pranav Danthi,https://orcid.org/0000-0001-6199-6022,0000-0001-6199-6022,http://www.wikidata.org/entity/Q42084766,Q42084766
Jennifer L Morrell-Falvey,https://orcid.org/0000-0002-9362-7528,0000-0002-9362-7528,http://www.wikidata.org/entity/Q43025398,Q43025398
Swati Rane,https://orcid.org/0000-0001-8863-3168,0000-0001-8863-3168,http://www.wikidata.org/entity/Q57065496,Q57065496
Nancy Chescheir,https://orcid.org/0000-0002-0205-5051,0000-0002-0205-5051,http://www.wikidata.org/entity/Q53190583,Q53190583
Maria Niarchou,https://orcid.org/0000-0002-8855-7393,0000-0002-8855-7393,http://www.wikidata.org/entity/Q42306073,Q42306073
Srividya Bhaskara,https://orcid.org/0000-0002-2182-9585,0000-0002-2182-9585,http://www.wikidata.org/entity/Q42319101,Q42319101
Catherine H Pashley,https://orcid.org/0000-0003-4023-3610,0000-0003-4023-3610,http://www.wikidata.org/entity/Q47503941,Q47503941
John T Bates,https://orcid.org/0000-0001-5545-6871,0000-0001-5545-6871,http://www.wikidata.org/entity/Q56384161,Q56384161
Jason G Gillmore,https://orcid.org/0000-0001-7506-3645,0000-0001-7506-3645,http://www.wikidata.org/entity/Q47567293,Q47567293
Hiral Master,https://orcid.org/0000-0003-0019-3087,0000-0003-0019-3087,http://www.wikidata.org/entity/Q52334630,Q52334630
Carly Bess Williams,https://orcid.org/0000-0002-7612-7791,0000-0002-7612-7791,http://www.wikidata.org/entity/Q38549979,Q38549979
Marcin J Skwark,https://orcid.org/0000-0002-2022-6766,0000-0002-2022-6766,http://www.wikidata.org/entity/Q41048200,Q41048200
Malin Andersson,https://orcid.org/0000-0002-1450-8046,0000-0002-1450-8046,http://www.wikidata.org/entity/Q55209168,Q55209168
Maximilian Michel,https://orcid.org/0000-0002-5910-5363,0000-0002-5910-5363,http://www.wikidata.org/entity/Q37374837,Q37374837
Jessica Burgner-Kahrs,https://orcid.org/0000-0001-9185-3970,0000-0001-9185-3970,http://www.wikidata.org/entity/Q21263231,Q21263231
Jillian Bellovary,https://orcid.org/0000-0001-7596-8372,0000-0001-7596-8372,http://www.wikidata.org/entity/Q53996426,Q53996426
Aaron Brill,https://orcid.org/0000-0001-7538-086X,0000-0001-7538-086X,http://www.wikidata.org/entity/Q43103272,Q43103272
John Jeffrey Carr,https://orcid.org/0000-0002-4398-8237,0000-0002-4398-8237,http://www.wikidata.org/entity/Q54067420,Q54067420
Christos P. Constantinides,https://orcid.org/0000-0001-6364-1102,0000-0001-6364-1102,http://www.wikidata.org/entity/Q44084652,Q44084652
Marcus B Weaver-Hightower,https://orcid.org/0000-0002-1032-3757,0000-0002-1032-3757,http://www.wikidata.org/entity/Q47632570,Q47632570
Sang-Hyun Lee,https://orcid.org/0000-0002-9682-1473,0000-0002-9682-1473,http://www.wikidata.org/entity/Q40111045,Q40111045
Thiago C Genaro-Mattos,https://orcid.org/0000-0001-9377-2285,0000-0001-9377-2285,http://www.wikidata.org/entity/Q43277894,Q43277894
Daniel C. Liebler,https://orcid.org/0000-0002-7873-3031,0000-0002-7873-3031,http://www.wikidata.org/entity/Q37839189,Q37839189
Simon W. Hayward,https://orcid.org/0000-0002-6059-6550,0000-0002-6059-6550,http://www.wikidata.org/entity/Q40343193,Q40343193
William J Kovacs,https://orcid.org/0000-0002-3940-2109,0000-0002-3940-2109,http://www.wikidata.org/entity/Q44968740,Q44968740
Mark A Chapman,https://orcid.org/0000-0002-7151-723X,0000-0002-7151-723X,http://www.wikidata.org/entity/Q55641067,Q55641067
Robert W Epps,https://orcid.org/0000-0002-6539-4237,0000-0002-6539-4237,http://www.wikidata.org/entity/Q47504449,Q47504449
Mahesh B. Chandrasekharan,https://orcid.org/0000-0002-9956-8354,0000-0002-9956-8354,http://www.wikidata.org/entity/Q42627942,Q42627942
Sarah H Sperry,https://orcid.org/0000-0002-1111-7357,0000-0002-1111-7357,http://www.wikidata.org/entity/Q57559951,Q57559951
Randy D Blakely,https://orcid.org/0000-0002-2182-6966,0000-0002-2182-6966,http://www.wikidata.org/entity/Q60227480,Q60227480
Rupinder Kaur,https://orcid.org/0000-0002-2132-8107,0000-0002-2132-8107,http://www.wikidata.org/entity/Q57385913,Q57385913
Zhongyue Yang,https://orcid.org/0000-0003-0395-6617,0000-0003-0395-6617,http://www.wikidata.org/entity/Q58854553,Q58854553
Stuart A Thompson,https://orcid.org/0000-0002-0457-6926,0000-0002-0457-6926,http://www.wikidata.org/entity/Q59707190,Q59707190
Nitin K Gupta,https://orcid.org/0000-0002-4471-2363,0000-0002-4471-2363,http://www.wikidata.org/entity/Q57333676,Q57333676
Kate Sborov,https://orcid.org/0000-0002-6669-4514,0000-0002-6669-4514,http://www.wikidata.org/entity/Q59749182,Q59749182
Leanne Boucher,https://orcid.org/0000-0001-7587-0869,0000-0001-7587-0869,http://www.wikidata.org/entity/Q63373497,Q63373497
