qid,commons_template,label_en,label_commons,description_en,act_uuid,act,act_ref1_hash,act_ref1_retrieved_nodeId,act_ref1_retrieved_val,act_ref1_retrieved_prec,inventory_number_uuid,inventory_number,inventory_number_collection,inventory_number_ref1_hash,inventory_number_ref1_referenceUrl,inventory_number_ref1_retrieved_nodeId,inventory_number_ref1_retrieved_val,inventory_number_ref1_retrieved_prec,title_uuid,title,title_ref1_hash,title_ref1_referenceUrl,title_ref1_retrieved_nodeId,title_ref1_retrieved_val,title_ref1_retrieved_prec,creator_uuid,creator,creator_ref1_hash,creator_ref1_referenceUrl,creator_ref1_retrieved_nodeId,creator_ref1_retrieved_val,creator_ref1_retrieved_prec,instance_of_uuid,instance_of,instance_of_ref1_hash,instance_of_ref1_referenceUrl,instance_of_ref1_retrieved_nodeId,instance_of_ref1_retrieved_val,instance_of_ref1_retrieved_prec,inception_uuid,inception_nodeId,inception_val,inception_prec,inception_earliest_date_nodeId,inception_earliest_date_val,inception_earliest_date_prec,inception_latest_date_nodeId,inception_latest_date_val,inception_latest_date_prec,inception_sourcing_circumstances,inception_ref1_hash,inception_ref1_referenceUrl,inception_ref1_retrieved_nodeId,inception_ref1_retrieved_val,inception_ref1_retrieved_prec,country_of_origin_uuid,country_of_origin,country_of_origin_ref1_hash,country_of_origin_ref1_referenceUrl,country_of_origin_ref1_retrieved_nodeId,country_of_origin_ref1_retrieved_val,country_of_origin_ref1_retrieved_prec,copyright_status_uuid,copyright_status,copyright_status_applies_to_jurisdiction,copyright_status_determination_method,copyright_status_ref1_hash,copyright_status_ref1_referenceUrl,copyright_status_ref1_retrieved_nodeId,copyright_status_ref1_retrieved_val,copyright_status_ref1_retrieved_prec,image_uuid,image,image_ref1_hash,image_ref1_referenceUrl,image_ref1_retrieved_nodeId,image_ref1_retrieved_val,image_ref1_retrieved_prec,collection_uuid,collection,collection_ref1_hash,collection_ref1_referenceUrl,collection_ref1_retrieved_nodeId,collection_ref1_retrieved_val,collection_ref1_retrieved_prec
,artwork,Altar of the Mystical Lamb - Throne of God the Father,,painting by Hubert van Eyck,,48725,,,2022-01-13,,,,,,,,,,,,,,,,,,Q364350,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48725,,2022-01-13,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Hubert_van_Eyck_023.jpg,,2022-01-13,,,,1429-01-01T00:00:00Z,9,,1426-01-01T00:00:00Z,9,,1432-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48725,,2022-01-13,,,Q31,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48725,,2022-01-13,,,,,,,,,,,,Hubert van Eyck 023.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48725,,2022-01-13,,,,,https://commons.wikimedia.org/wiki/File:Hubert_van_Eyck_023.jpg,,2022-01-13,
,information,Julia A. J. Foote,"Julia A. J. Foote (1823-1900), first woman deacon in the AME Zion church",photograph by artist unknown,,55931,,,2022-01-13,,,,,,,,,,,,,,,,,,anon,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55931,,2022-01-13,,,Q125191,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55931,,2022-01-13,,,,1879-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55931,,2022-01-13,,,,,,,,,,,,,,,,,,,Julia A. J. Foote.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55931,,2022-01-13,,,,,,,,
,information,Jesus Appearing to the Disciples on the Sea,Apperance of Jesus to his Disciples at Sea. Doorway relief,sculpture by Maître de Cabestany,,57990,,,2022-01-13,,,,,,,,,,,,,,,,,,Q678933,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57990,,2022-01-13,,,Q860861,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57990,,2022-01-13,,,,1155-01-01T00:00:00Z,9,,1130-01-01T00:00:00Z,9,,1180-01-01T00:00:00Z,9,Q5727902,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57990,,2022-01-13,,,Q29,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57990,,2022-01-13,,,,,,,,,,,,Mestre de cabestany.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57990,,2022-01-13,,,,,,,,
,information,The Promised Land,"""The Promised Land"" self-portrait by Lette Valeska, date unknown.",painting by Lette Valeska,,57433,,,2022-01-13,,,,,,,,,,,,,,,,,,Q6533524,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57433,,2022-01-13,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57433,,2022-01-13,,,,1950-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57433,,2022-01-13,,,,,,,,,,,,,,,,,,,The Promised Land.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57433,,2022-01-13,,,,,,,,
,information,"Shiphrah, Puah, Jocheved, Miriam, Pharoah's Daughter, and the infant Moses",Moses found in the river. Fresco from Dura Europos synagogue.,mural by artist unknown,,55961,,,2022-01-13,,,,,,,,,,,,,,,,,,anon,,https://commons.wikimedia.org/wiki/File:Dura_Europos_fresco_Moses_from_river.jpg,,2022-01-13,,,Q219423,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55961,,2022-01-13,,,,0245-01-01T00:00:00Z,9,,,,,,,Q5727902,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55961,,2022-01-13,,,Q858,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55961,,2022-01-13,,,Q19652,,,,https://commons.wikimedia.org/wiki/File:Dura_Europos_fresco_Moses_from_river.jpg,,2022-01-13,,,Dura Europos fresco Moses from river.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55961,,2022-01-13,,,,,,,,
,information,Eye of Providence,Eye of Providence (icon),painting by artist unknown,,55536,,,2022-01-13,,,,,,,,,,,,,,,,,,anon,,https://commons.wikimedia.org/wiki/File:Eye_of_Providence_(icon).jpg,,2022-01-13,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55536,,2022-01-13,,,,1850-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55536,,2022-01-13,,,,,,,,,,,,,,,,,,,Eye of Providence (icon).jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55536,,2022-01-13,,,,,,,,
,artwork,Our Lady of the Unexpected Joy,,painting by artist unknown,,56057,,,2022-01-13,,,,,,,,,,,,,,,,,,anon,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56057,,2022-01-13,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56057,,2022-01-13,,,,1850-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56057,,2022-01-13,,,,,,,,,,,,,,,,,,,Our Lady the Unexpected Joy.jpeg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56057,,2022-01-13,,,,,,,,
,information,"Sanctuary of the Divine Works of Mercy, Window","Guayaquil, 29 de may (Andes).-En los predios cercanos al santuario de la Divina Misericordia (foto) el Papa Francisco oficiará una misa campal para 11 mil fieles católicosFoto:César Muñoz/Andes",stained glass window by Jorge Luis Narea,,57774,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q1473346,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57774,,2022-01-13,,,,2009-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57774,,2022-01-13,,,Q736,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57774,,2022-01-13,,,,,,,,,,,,Santuario de la Divina Misericordia de Guayaquil (17613500314).jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57774,,2022-01-13,,,,,,,,
,information,Satan Sowing,"""Satan Sowing Seeds"" by Felicien Rops, pencil, around 1872 320px wide",drawing by Félicien Rops,,54997,,,2022-01-13,,,,,,,,,,,,,,,,,,Q378129,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54997,,2022-01-13,,,Q93184,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54997,,2022-01-13,,,,1872-01-01T00:00:00Z,9,,,,,,,Q5727902,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54997,,2022-01-13,,,,,,,,,,Q19652,Q60332278,Q29940705,,,,,,,Satansowing.JPG,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54997,,2022-01-13,,,,,,,,
,none,Philemon and Apphia,,painting,,55642,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55642,,2022-01-13,,,,0000-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55642,,2022-01-13,,,,,,,,,,,,,,,,,,,Philemon and Apphia.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55642,,2022-01-13,,,,,,,,
,none,Interior of the Church of the Light,,architectural structure by Tadao Andō,,55848,,,2022-01-13,,,,,,,,,,,,,,,,,,Q208220,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55848,,2022-01-13,,,Q811979,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55848,,2022-01-13,,,,1999-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55848,,2022-01-13,,,Q17,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55848,,2022-01-13,,,,,,,,,,,,Church of Light.JPG,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55848,,2022-01-13,,,,,,,,
,none,"Fresco-Catacomb of San Gennaro - - [Lectionary selection, Fifth Sunday of Easter, Year C]",,fresco,,49944,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q22669139,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49944,,2022-01-13,,,,0200-01-01T00:00:00Z,7,,0150-01-01T00:00:00Z,7,,0250-01-01T00:00:00Z,7,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49944,,2022-01-13,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49944,,2022-01-13,,,,,,,,,,,,Catacombe Di San Gennaro Fresco.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49944,,2022-01-13,,,,,,,,
,information,Mill Children in Macon,"Believed to be in Public Domain From <a href="" https://www.loc.gov/rr/print/catalog.html "">Library of Congress, Prints and Photographs Collections</a>. More on copyright: <a href="" https://www.loc.gov/rr/print/195_copr.html#noknown "">What does ""no known restrictions"" mean?</a>
______________________ For  information from Creative Commons on proper licensing for images believed to already be in the public domain please-- <a href="" https://creativecommons.org/licenses/publicdomain/v "">click here</a>. By  using this image from this site,  you are acknowledging that you have read all the information in this description and accept responsibility for any use by you or your representatives.  You are accepting responsibility for conducting any additional due diligence that may be necessary to ensure your proper use of this image. ________________ Public Domain.  Suggested credit: Lewis Hine/Library of Congress via pingnews.  Additional information from source: TITLE:  488 Macon, Ga. Lewis W. Hine 1-19-1909. Bibb Mill No. 1 Many youngsters here. Some boys were so small they had to climb up on the spinning frame to mend the broken threads and put back the empty bobbins. Location: Macon, Georgia. CALL NUMBER:  LOT 7479, v. 1, no. 0488[P&P]
LC-H5- 488 Check for an online group record (may link to related items) REPRODUCTION NUMBER:  LC-DIG-nclc-01581 (color digital file from b&w original print)
LC-DIG-nclc-05394 (b&w digital file from original glass negative)
LC-USZ62-23944 (b&w film copy negative)
LC-USZ6-1222 (b&w film copy negative)
No known restrictions on publication. MEDIUM:  1 photographic print.
1 negative : glass ; 5 x 7 in. CREATED/PUBLISHED:  1909 January 19. CREATOR: Hine, Lewis Wickes, 1874-1940, photographer. NOTES: Title from NCLC caption card. Attribution to Hine based on provenance. In album: Mills. Hine no. 0488. Reproduction no. LC-USZ6-1222. SUBJECTS: Boys.
Textile mill workers.
Mills.
Spinning machinery.
United States--Georgia--Macon. FORMAT: Photographic prints.
Glass negatives. PART OF:  Photographs from the records of the National Child Labor Committee (U.S.) REPOSITORY:  Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA DIGITAL ID:  (color digital file from b&w original print) nclc 01581 <a href="" http://hdl.loc.gov/loc.pnp/nclc.01581 "">hdl.loc.gov/loc.pnp/nclc.01581</a> 
(b&w digital file from original glass negative) nclc 05394 <a href="" http://hdl.loc.gov/loc.pnp/nclc.05394 "">hdl.loc.gov/loc.pnp/nclc.05394</a> CARD #:  ncl2004001388/PP No Known Restrictions: Mill Children in Macon, Georgia by Lewis Hine (LOC)",photograph by Lewis Wickes Hine,,55696,,,2022-01-13,,,,,,,,,,,,,,,,,,Q347194,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55696,,2022-01-13,,,Q125191,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55696,,2022-01-13,,,,1909-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55696,,2022-01-13,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55696,,2022-01-13,,,Q19652,,,,https://commons.wikimedia.org/wiki/File:Mill_Children_in_Macon.jpg,,2022-01-13,,,Mill Children in Macon.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55696,,2022-01-13,,,,,,,,
