Key,reason,Item Type,ISBN,ISSN,Publication Title,Publication Year,Author,Title,OCLC,ISBN extra,NOTES,,
IURCAQGA,Article or chapter without published_in.,dictionaryEntry,9781139007924,,The Cambridge dictionary of Christianity,2010,"DeHart, Paul",Radical Orthodoxy,,"9781139010078, 9781139009027, 9780511780165, 9781283017220, 9781107209602, 9786613017222, 9781139006811, 1139007920, 1139010077, 1139009028, 0511780168, 1283017229, 1107209609, 6613017221, 1139006819",,,
37F7AAI3,Article or chapter without published_in.,dictionaryEntry,9781139007924,,The Cambridge dictionary of Christianity / edited by Daniel Patte.,2010,"Hudnut-Beumler, Jim",Economy and Christianity: Economic studies of the history of Christianity in the United States,,"9781139010078, 9781139009027, 9780511780165, 9781283017220, 9781107209602, 9786613017222, 9781139006811, 1139007920, 1139010077, 1139009028, 0511780168, 1283017229, 1107209609, 6613017221, 1139006820",,,
TWS4PSPG,Article or chapter without published_in.,dictionaryEntry,9781139007924,,The Cambridge Dictionary of Christianity ,2010,"Rieger, Jeorg",Decolonizing Theology and Postmodernism and Liberation Theologies,,"9781139010078, 9781139009027, 9780511780165, 9781283017220, 9781107209602, 9786613017222, 9781139006811, 1139007920, 1139010077, 1139009028, 0511780168, 1283017229, 1107209609, 6613017221, 1139006819",,,
UVK2SSUN,Article or chapter without published_in.,dictionaryEntry,9781139068956,,The Cambridge dictionary of Christian theology,2011,"DeHart, Paul",Postliberal Theology,,"9781780343709, 9781139076982, 9781139136174, 9781139081542, 9780511781285, 9781283112093, 9781139079266, 9786613112095, 9781139074735, 9781107414969, 1780343701, 1139076981, 1139136178, 1139081543, 0511781288, 1283112094, 1139079263, 1139068954, 6613112097, 1139074733, 1107414962",,,
4V2LFQEC,Article or chapter without published_in.,dictionaryEntry,9781139068956,,The Cambridge dictionary of Christian theology,2011,"Rieger, Jeorg",Materialism,,"9781780343709, 9781139076982, 9781139136174, 9781139081542, 9780511781285, 9781283112093, 9781139079266, 9786613112095, 9781139074735, 9781107414969, 1780343701, 1139076981, 1139136178, 1139081543, 0511781288, 1283112094, 1139079263, 1139068954, 6613112097, 1139074733, 1107414962",,,
CUGAWRGX,Article or chapter without published_in.,dictionaryEntry,9781139068956,,The Cambridge dictionary of Christian theology,2011,"Rieger, Jeorg",Sanctification,,"9781780343709, 9781139076982, 9781139136174, 9781139081542, 9780511781285, 9781283112093, 9781139079266, 9786613112095, 9781139074735, 9781107414969, 1780343701, 1139076981, 1139136178, 1139081543, 0511781288, 1283112094, 1139079263, 1139068954, 6613112097, 1139074733, 1107414963",,,
S4UNYLZY,Article or chapter without published_in.,bookSection,9781350041035,,Religion in the age of Obama,2018,"Floyd-Thomas, Juan Marcial",Black prophetic discourse and just war theory in the age of Obama: Religion in the age of Obama,,1350041033,,,
YLNAB3M6,Article or chapter without published_in.,bookSection,9781350041035,,Religion in the age of Obama,2018,"Floyd-Thomas, Juan Marcial; Pinn, Anthony B",Introduction: Religion in the age of Obama,,1350041033,,,
S6G8MAAQ,Article or chapter without published_in.,bookSection,9781403982964,,"Practicing Catholic ritual, body, and contestation in Catholic faith",2006,"Morrill, Bruce T.","Christ the Healer: An Investigation of Liturgical, Pastoral, and Biblical Approaches",,"9781281369598, 1403982961, 1281369594",,,
ZTTCETVS,Article or chapter without published_in.,bookSection,9781403982964,,"Practicing Catholic ritual, body, and contestation in Catholic faith",2006,"Morrill, Bruce T.",Ritual Practice: The View from Liturgical Theology,,"9781281369598, 1403982961, 1281369595",,,
UM3PKNXP,Article or chapter without published_in.,bookSection,9781403982964,,"Practicing Catholic ritual, body, and contestation in Catholic faith",2006,"Morrill, Bruce T.",Practicing the Pastoral Care of the Sick: The Sacramental Body in Liturgical Motion,,"9781281369598, 1403982961, 1281369596",,,
M8T6RPW2,Article or chapter without published_in.,bookSection,9781435626959,,Approaching Yehud new approaches to the study of the Persian period,2007,"Marbury, Herbert",The Strange Woman in Persian Yehud: A Reading of Proverbs 7,,1435626958,,,
ZBKWPFU2,Article or chapter without published_in.,bookSection,9781442205857,,Wading through many voices,2011,"Anderson, Victor",Is America Possible?,,"9781283099240, 9786613099242, 1442205857, 1283099241, 6613099244",,,
VA7SSXZI,Article or chapter without published_in.,encyclopediaArticle,9781442244320,,Encyclopedia of Christianity in the United States,2016,"Hudnut-Beumler, James",Christianity in the United States Since 1900,,1442244321,,,
6JKVZEJI,Article or chapter without published_in.,bookSection,9781479819126,,QUEER CHRISTIANITIES: LIVED RELIGION IN TRANSGRESSIVE FORMS,2015,"Anderson, Victor",Three versions of human sexuality: QUEER CHRISTIANITIES: LIVED RELIGION IN TRANSGRESSIVE FORMS,,"9781479851812, 1479819123, 1479851817",,,
Z7ZUZ4V4,Article or chapter without published_in.,bookSection,9781506424712,,Revives My Soul Again: The Spirituality of Martin Luther King Jr,2018,"Baldwin, Lewis V; Anderson, Victor",The Promptings of Some Beneficent Force: Dimensions of the “Spiritual” in the Life and Language of Martin Luther King Jr: Revives My Soul Again: The Spirituality of Martin Luther King Jr,,1506424716,,,
9D4ZXIPL,Article or chapter without published_in.,bookSection,9781506424712,,Revives My Soul Again: The Spirituality of Martin Luther King Jr,2018,"Anderson, Victor",Blessed Assurance: Martin Luther King Jr. and the Consolation of the Soul: Revives My Soul Again: The Spirituality of Martin Luther King Jr,,1506424716,,,
9LM9XEEB,Article or chapter without published_in.,bookSection,9781563382659,,Theology from the Belly of the Whale: A Frederick Herzog Reader,1999,"Rieger, Jeorg",Introduction: Whaling Our Way into the Twenty-First Century,,1563382652,,,
CDD35V7C,Article or chapter without published_in.,bookSection,9781575066394,,Language in the ancient Near East : proceedings of the 53e Rencontre assyriologique international,2010,"Sasson, Jack M.",Where angels fearlessly tread: Mari insights on Genesis 19,,1575066394,,,
WIJBJDH3,Article or chapter without published_in.,bookSection,9781575068671,,"Literature as Politics, Politics as Literature: Essays on the Ancient Near East in Honor of Peter Machinist (Eds. D. S. Vanderhooft and A. Winitzer)",2013,"Sasson, Jack M.",Jephthah: Chutzpah and overreach in a Hebrew judge,,1575068672,,,
25JMXR4P,Article or chapter without published_in.,bookSection,9781587431197,,Anxious about empire,2004,"Hudnut-Beumler, James David",Shock and Awe: Life in Mr. Rumsfeld’s Neighborhood,,158743119X,,,https://worldcat.org/title/54966233
CDCT7GFA,Article or chapter without published_in.,bookSection,9781602584358,,Black practical theology,2015,,Graphing the Contours of Black Practical Theology: Black practical theology,,1602584354,,,
CDCT7GFA,Article or chapter without published_in.,bookSection,9781602584358,,Black practical theology,2015,,Graphing the Contours of Black Practical Theology: Black practical theology,,1602584354,,,
CDCT7GFA,Article or chapter without published_in.,bookSection,9781602584358,,Black practical theology,2015,,Graphing the Contours of Black Practical Theology: Black practical theology,,1602584354,,,
SC4TWW3U,Article or chapter without published_in.,bookSection,9781608337125,,Faith and resistance in the age of Trump,2017,"Rieger, Jeorg",National Capitalism: Religious Resonances and Alternatives,,160833712X,,,
WBLPNBXI,Article or chapter without published_in.,bookSection,9781614910015,,Extraction & Control: Studies in Honor of Matthew W. Stolper,2014,"Azzoni, Annalisa; Dusinberre, Elspeth R.",Persepolis Fortification Aramaic Tablet Seal 0002 and the Keeping of Horses,,1614910014,,,
7EDTXFNP,Article or chapter without published_in.,bookSection,9781614910015,,"Faith and Community around the Mediterranean: In Honor of Peter R. L. Brown,",2019,"Michelson, David A.",Introduction: Dynamics of Faith and Community around the Mediterranean,,3948670102,,,
F2C7FHW7,Article or chapter without published_in.,bookSection,9781622771004,,Readings in African American Church Music and Worship,2014,"Barnes, Sandra L.",Religion and Rap Music: An Analysis of Black Church Usage,,1622771001,,,
KMRWQGEN,Article or chapter without published_in.,bookSection,9781788745086,,"Queering Freedom: Music, Identity, and Spirituality",2018,"Budwey, Stephanie; Glenn, Sean","Tempered Bodies, Tempered Voices: Giving Voice to Queer Creation",,1788745086,,,
3SWC6EL9,Article or chapter without published_in.,encyclopediaArticle,9781847062734,,Encyclopedia of Religion and Nature,2005,"Rieger, Joerg",Dualism,,1847062733,,,
4NDPGZEP,Article or chapter without published_in.,encyclopediaArticle,9781847062734,,Encyclopedia of Religion and Nature,2005,"Rieger, Joerg","Economics, Religion, and Nature",,1847062733,,,
5TVZYXCW,Article or chapter without published_in.,dictionaryEntry,9781849723589,,The Dictionary of Modern American Philosophers,2005,"Rieger, Jeorg",Frederick Herzog,,"9781847144706, 9780199754663, 9781306865463, 1849723583, 1847144705, 0199754667, 1306865468",,,
VTXT8WC4,Article or chapter without published_in.,bookSection,9781905048373,,"Orientalism, Assyriology and the Bible",2006,"Sasson, Jack M.",Mari and the Holy Grail,,1905048378,,,
DNVZ37WE,Article or chapter without published_in.,bookSection,9781934309186,,Studies in Ancient Near Eastern World View and Society presented to Marten Stol on the occasion of his 65th birthday,2008,"Sasson, Jack M.",Another wrinkle on Old Adapa,,1934309184,,,
MA44DV5U,Article or chapter without published_in.,bookSection,9782204017831,,Tradition et Théologie dans l'Ancien Testament,1982,"Knight, Douglas A.",La révélation par la tradition,,2204017833,,,
KHU8IH2P,Article or chapter without published_in.,bookSection,9782204017831,,Tradition et Théologie dans l'Ancien Testament,1982,"Knight, Douglas A.",Tradition et  théologie,,2204017833,,,
TKRZRA6J,Article or chapter without published_in.,bookSection,9782503549118,,"Motions of Late Antiquity: Essays on Religion, Politics, and Society in Honour of Peter Brown",2016,"Michelosn, David A.",Philoxenos of Mabbug: A Cappadocian Theologian on the Banks of the Euphrates? | Motions of Late Antiquity,,250354911X,,,
DRGKN2QV,Article or chapter without published_in.,bookSection,9782701802497,,Les archives des fortifications de Persépolis dans le contexte de l’Empire acheménide et de ses prédécesseurs,2008,"Azzoni, Annalisa",The Bowman MS and the Aramaic Tablets,,,,,
KNT4Q34D,Article or chapter without published_in.,bookSection,9783525539859,,Utopia and Dystopia in Prophetic Literature,2006,"Sasson, Jack M.",Utopian and Dystopian Images in Mari Prophetic Texts,,"9789519217475, 3525539851, 9519217479",,,
H4QMCKRG,Article or chapter without published_in.,bookSection,9783868350753,,Krieg und Frieden im Alten Vorderasien,2006,"Sasson, Jack M.",Casus Belli in the Mari archives,,3868350756,,,
2QH7VR22,Article or chapter without published_in.,bookSection,9783948670108,,Faith and Community around the Mediterranean: In Honor of Peter R. L. Brown,2019,"Michelson, David A.",“Salutary Vertigo”: Peter R.L. Brown’s Impact on the Historiography of Christianity,,3948670102,,,
K4IH7VF2,Article or chapter without published_in.,bookSection,9783980846660,,Ancient Near Eastern studies in memory of Blahoslav HruÅ¡ka,2011,"Sasson, Jack M.",Mari Theomorphism: Intimation of Sacrality in the Royal Correspondence,,3980846660,,,
6QMKCHJA,Article or chapter without published_in.,bookSection,9786055607180,,Veysel Donbaz'a Sunulan YazÄ±lar DUB.SAR Ã‰.DUB.BA.A Studies presented in honour of Veysel Donbaz,2010,"Sasson, Jack M.","On the â€˜IÅ¡á¸«i-Adduâ€™ Seal from Qatna, with Comments on Qatna Personal Names in OB Period",,6055607182,,,
VGHZ6FRS,Article or chapter without published_in.,bookSection,9788488810809,,Reconstruyendo el Pasado Remoto Estudios sobre el P.O.A. en homenaje a Jorge R. Silva Castillo Edited by D.A. Barreyra Fracaroli and G. del Olmo Lete,2009,"Sasson, Jack M.",The Trouble with NÅ«r-Sin: Zimri-Limâ€™s Purchase of Alaá¸«tum,,8488810806,,,
FQEIV2Z4,Article or chapter without published_in.,bookSection,9788876532504,,Ras Shamra parallels. The texts from Ugarit and the Hebrew Bible,1972,"Sasson, Jack M.","Flora, Fauna, and Minerals",,8876532501,,,
SM7KUASS,Article or chapter without published_in.,bookSection,9788895672045,,"Papers on Ancient Literatures: Greece, Rome and the Near East Proceedings of the â€œAdvanced Seminar in the Humanitiesâ€, Venice International University 2004-2005",2008,"Sasson, Jack M.",Time and Mortality: Creation Narratives in Ancient Israel and in Mesopotamia,,8895672046,,,
XR5MPAF4,Article or chapter without published_in.,bookSection,9789004240841,,"In the Shadow of Bezalel. Aramaic, Biblical, and Ancient Near Eastern Studies in Honor of Bezalel Porten",2013,"Azzoni, Annalisa",Women at Elephantine and Women in the Land,,"9781283939683, 9004240845, 1283939681",,,
RJFPKF5W,Article or chapter without published_in.,bookSection,9789004399297,,"Ancient manuscripts in digital culture: visualisation, data mining, communication",2019,"Marguerat, Alessandra; Quigley, Jennifer Aileen; Nasrallah, Laura Salah",HarvardXâ€™s early Christianity: the letters of Paul: a retrospective on online teaching and learning,,9004399291,,,
74KWE7FZ,Article or chapter without published_in.,bookSection,9789004469327,,"Philippi, from Colonia Augusta to Communitas Christiana: religion and society in transition",2022,"Quigley, Jennifer; Nasrallah, Laura",Cost and abundance in Roman Philippi: the letter to the Philippians in its context,,900446932X,,,
8PTKKRPH,Article or chapter without published_in.,bookSection,9789047441243,,Homeland and Exile Biblical and Ancient Near Eastern Studies in Honour of Bustenay Oded,2009,"Sasson, Jack M.",Ethically Cultured Interpretations: The Case of Eglonâ€™s Murder (Judges 3),,"9781282950801, 9047441249, 1282950800",,,
AEM5UMXW,Article or chapter without published_in.,bookSection,9789197790383,,Och han tog dem i famnen : texter om barn I kyrka och teologi,2011,"Miller-McLemore, Bonnie J.","Feminism, children, and mothering : three books and three children later",,9197790389,,,
82YZX88K,Article or chapter without published_in.,bookSection,9789290750680,,Faith Communities and Social Movements Facing Globalization: International and Interfaith Colloquium 2000 on Faith-Theology-Economy,2002,"Rieger, Jeorg",How Can People Take Their Economic Lives into Their Own Hands?,,9290750685,,,
AIVWRKE2,Article or chapter without published_in.,bookSection,9789874386199,,El silbo ecuménico del Espíritu,2004,"Rieger, Jeorg",Economics and Postmodernism: Beyond Deep-Seated Divisions of Labor in Theology and Religious Studies,,9874386193,,,
