RecordNumber,ImageLink,file_url
27171,284,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000284.jpg
27172,285,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000285.jpg
27173,286,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000286.jpg
27174,287,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000287.jpg
27175,288,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000288.jpg
27176,289,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000289.jpg
27178,291,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000291.jpg
27179,292,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000292.jpg
27180,293,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000293.jpg
27181,294,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000294.jpg
27182,295,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000295.jpg
27183,296,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000296.jpg
27184,297,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000297.jpg
27185,298,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000298.jpg
27186,299,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000299.jpg
27187,300,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000300.jpg
27188,301,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000301.jpg
27189,302,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000302.jpg
27190,303,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000303.jpg
27191,304,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000304.jpg
27192,305,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000305.jpg
27193,306,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000306.jpg
27194,307,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000307.jpg
27195,308,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000308.jpg
27196,309,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000309.jpg
27197,310,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000310.jpg
27198,311,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000311.jpg
27199,312,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000312.jpg
27200,313,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000313.jpg
27201,314,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000314.jpg
27202,315,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000315.jpg
27203,316,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000316.jpg
27204,317,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000317.jpg
27205,318,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000318.jpg
27206,319,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000319.jpg
27207,320,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000320.jpg
27208,321,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000321.jpg
27209,322,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000322.jpg
27211,155,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000155.jpg
27212,154,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000154.jpg
