qid,local_filename,local_identifier,rank,label,notes,kilobytes,height,width,photo_inception,subdir,dimension
Q122959440,00000230.jpg,27118,primary,,,241,900,603,2023-08-09,,3D
Q122959441,00000231.jpg,27119,primary,,,249,900,576,2023-08-09,,3D
Q122959442,00000232.jpg,27120,primary,,,280,578,900,2023-08-09,,3D
Q122959443,00000233.jpg,27121,primary,,,222,900,578,2023-08-09,,3D
Q122959444,00000234.jpg,27122,primary,,,242,900,606,2023-08-09,,3D
Q122959445,00000235.jpg,27123,primary,,,291,603,900,2023-08-09,,3D
Q122959446,00000237.jpg,27125,primary,,,263,654,900,2023-08-09,,3D
Q122959448,00000239.jpg,27127,primary,,,282,573,900,2023-08-09,,3D
Q122959449,00000241.jpg,27128,primary,,,261,900,598,2023-08-09,,3D
Q122959450,00000242.jpg,27129,primary,,,242,598,900,2023-08-09,,3D
Q122959451,00000243.jpg,27130,primary,,,208,900,598,2023-08-09,,3D
Q122959452,00000244.jpg,27131,primary,,,232,900,571,2023-08-09,,3D
Q122959454,00000245.jpg,27132,primary,,,256,534,900,2023-08-09,,3D
Q122959455,00000246.jpg,27133,primary,,,217,900,564,2023-08-09,,3D
Q122959456,00000247.jpg,27134,primary,,,239,900,573,2023-08-09,,3D
Q122959457,00000249.jpg,27135,primary,,,204,900,573,2023-08-09,,3D
Q122959458,00000250.jpg,27137,primary,,,112,900,440,2023-08-09,,3D
Q122959459,00000251.jpg,27138,primary,,,301,576,900,2023-08-09,,3D
Q122959460,00000252.jpg,27139,primary,,,263,900,572,2023-08-09,,3D
Q122959461,00000254.jpg,27140,primary,,,257,900,541,2023-08-09,,3D
Q122959462,00000255.jpg,27142,primary,,,265,573,900,2023-08-09,,3D
Q122959464,00000256.jpg,27143,primary,,,314,900,603,2023-08-09,,3D
Q122959465,00000257.jpg,27144,primary,,,351,900,613,2023-08-09,,3D
Q122959467,00000258.jpg,27145,primary,,,235,900,598,2023-08-09,,3D
Q122959468,00000259.jpg,27146,primary,,,217,900,570,2023-08-09,,3D
Q122959469,00000260.jpg,27147,primary,,,196,900,606,2023-08-09,,3D
Q122959470,00000261.jpg,27148,primary,,,283,900,606,2023-08-09,,3D
Q122959472,00000262.jpg,27149,primary,,,250,900,603,2023-08-09,,3D
Q122959473,00000263.jpg,27150,primary,,,229,900,564,2023-08-09,,3D
Q122959474,00000264.jpg,27151,primary,,,258,596,900,2023-08-09,,3D
Q122959475,00000266.jpg,27153,primary,,,209,900,564,2023-08-09,,3D
Q122959476,00000267.jpg,27154,primary,,,274,568,900,2023-08-09,,3D
Q122959477,00000268.jpg,27155,primary,,,253,601,900,2023-08-09,,3D
Q122959478,00000269.jpg,27156,primary,,,355,540,900,2023-08-09,,3D
Q122959479,00000270.jpg,27157,primary,,,289,900,598,2023-08-09,,3D
Q122959480,00000271.jpg,27158,primary,,,208,603,900,2023-08-09,,3D
Q122959481,00000272.jpg,27159,primary,,,285,900,578,2023-08-09,,3D
Q122959482,00000273.jpg,27160,primary,,,220,594,900,2023-08-09,,3D
Q122959483,00000274.jpg,27161,primary,,,243,900,592,2023-08-09,,3D
Q122959484,00000275.jpg,27162,primary,,,238,573,900,2023-08-09,,3D
Q122959487,00000276.jpg,27163,primary,,,253,900,578,2023-08-09,,3D
Q122959488,00000277.jpg,27164,primary,,,258,572,900,2023-08-09,,3D
Q122959489,00000278.jpg,27165,primary,,,227,598,900,2023-08-09,,3D
Q122959490,00000279.jpg,27166,primary,,,209,900,564,2023-08-09,,3D
Q122959491,00000280.jpg,27167,primary,,,200,900,598,2023-08-09,,3D
Q122959492,00000282.jpg,27169,primary,,,177,900,598,2023-08-09,,3D
Q122959493,00000284.jpg,27171,primary,,,226,598,900,2023-08-09,,3D
Q122959494,00000285.jpg,27172,primary,,,250,900,578,2023-08-09,,3D
Q122959495,00000286.jpg,27173,primary,,,306,900,603,2023-08-09,,3D
Q122959496,00000287.jpg,27174,primary,,,238,900,573,2023-08-09,,3D
Q122959497,00000288.jpg,27175,primary,,,231,900,564,2023-08-09,,3D
Q122959498,00000289.jpg,27176,primary,,,231,900,573,2023-08-09,,3D
Q122959499,00000291.jpg,27178,primary,,,203,571,900,2023-08-09,,3D
Q122959500,00000292.jpg,27179,primary,,,236,585,900,2023-08-09,,3D
Q122959501,00000293.jpg,27180,primary,,,265,900,579,2023-08-09,,3D
Q122959502,00000294.jpg,27181,primary,,,289,900,576,2023-08-09,,3D
Q122959503,00000295.jpg,27182,primary,,,279,900,606,2023-08-09,,3D
Q122959504,00000296.jpg,27183,primary,,,216,598,900,2023-08-09,,3D
Q122959506,00000297.jpg,27184,primary,,,245,571,900,2023-08-09,,3D
Q122959507,00000298.jpg,27185,primary,,,282,571,900,2023-08-09,,3D
Q122959508,00000299.jpg,27186,primary,,,249,572,900,2023-08-09,,3D
Q122959509,00000300.jpg,27187,primary,,,259,900,573,2023-08-09,,3D
Q122959510,00000301.jpg,27188,primary,,,241,900,579,2023-08-09,,3D
Q122959511,00000302.jpg,27189,primary,,,215,900,540,2023-08-09,,3D
Q122959512,00000303.jpg,27190,primary,,,236,900,598,2023-08-09,,3D
Q122959513,00000304.jpg,27191,primary,,,352,900,603,2023-08-09,,3D
Q122959514,00000305.jpg,27192,primary,,,260,900,571,2023-08-09,,3D
Q122959515,00000306.jpg,27193,primary,,,295,598,900,2023-08-09,,3D
Q122959516,00000307.jpg,27194,primary,,,275,900,575,2023-08-09,,3D
Q122959517,00000308.jpg,27195,primary,,,361,900,608,2023-08-09,,3D
Q122959518,00000309.jpg,27196,primary,,,273,900,603,2023-08-09,,3D
Q122959519,00000310.jpg,27197,primary,,,253,900,603,2023-08-09,,3D
Q122959520,00000311.jpg,27198,primary,,,219,900,578,2023-08-09,,3D
Q122959521,00000312.jpg,27199,primary,,,301,900,564,2023-08-09,,3D
Q122959523,00000313.jpg,27200,primary,,,238,900,603,2023-08-09,,3D
Q122959524,00000314.jpg,27201,primary,,,232,564,900,2023-08-09,,3D
Q122959525,00000315.jpg,27202,primary,,,235,900,578,2023-08-09,,3D
Q122959526,00000316.jpg,27203,primary,,,177,900,598,2023-08-09,,3D
Q122959527,00000317.jpg,27204,primary,,,215,900,534,2023-08-09,,3D
Q122959528,00000318.jpg,27205,primary,,,246,900,572,2023-08-09,,3D
Q122959529,00000319.jpg,27206,primary,,,238,900,571,2023-08-09,,3D
Q122959530,00000320.jpg,27207,primary,,,197,564,900,2023-08-09,,3D
Q122959531,00000321.jpg,27208,primary,,,272,900,576,2023-08-09,,3D
Q122959533,00000322.jpg,27209,primary,,,209,900,610,2023-08-09,,3D
Q122959855,00000925.jpg,42408,primary,,,600,705,793,2003-07-31,,2D
Q122959880,00000926.jpg,42432,primary,,,532,469,1093,2003-07-31,,2D
Q122959881,00000927.jpg,42433,primary,,,701,597,1200,2003-07-31,,2D
Q122959862,00000928.jpg,42417,primary,,,794,781,1000,2003-07-31,,3D
Q122959866,00000929.jpg,42420,primary,,,744,700,1000,2003-07-31,,2D
Q122959875,00000930.jpg,42429,primary,,,741,750,1000,2003-07-31,,2D
Q122959878,00000931.jpg,42431,primary,,,676,612,1100,2003-07-31,,2D
Q122959856,00000932.jpg,42409,primary,,,638,560,1100,2003-07-31,,2D
Q122959877,00000933.jpg,42430,primary,,,598,553,1066,2003-07-31,,2D
Q122959860,00000936.jpg,42415,primary,,,748,675,1000,2003-07-31,,3D
Q122959893,00000937.jpg,42446,primary,,,961,952,1000,2003-07-31,,2D
Q122959888,00000938.jpg,42440,primary,,,885,744,1095,2003-07-31,,2D
Q122959859,00000939.jpg,42414,primary,,,700,655,1000,2003-07-31,,2D
Q122959887,00000940.jpg,42439,primary,,,747,643,1100,2003-07-31,,2D
Q122959886,00000941.jpg,42438,primary,,,745,676,1000,2003-07-31,,2D
Q122959882,00000942.jpg,42434,primary,,,809,750,1000,2003-07-31,,3D
Q122959883,00000943.jpg,42435,primary,,,699,600,1000,2003-07-31,,2D
Q122959884,00000944.jpg,42436,primary,,,708,640,1000,2003-07-31,,2D
Q122959874,00000945.jpg,42428,primary,,,839,1000,799,2003-07-31,,2D
Q122959885,00000946.jpg,42437,primary,,,711,738,908,2003-07-31,,2D
Q122959873,00000947.jpg,42427,primary,,,934,802,1069,2003-07-31,,2D
Q122959871,00000948.jpg,42426,primary,,,680,625,999,2003-07-31,,2D
Q122959894,00000949.jpg,42491,primary,,,794,677,1100,2003-07-31,,2D
Q122959854,00000950.jpg,42407,primary,,,806,750,1000,2003-07-31,,2D
Q122959853,00000951.jpg,42403,primary,,,722,750,1000,2003-07-31,,3D
Q122960162,00000952.jpg,50497,primary,,,807,797,1000,2003-07-31,,2D
Q122959891,00000953.jpg,42444,primary,,,819,821,1000,2003-07-31,,2D
Q122959867,00000954.jpg,42421,primary,,,907,901,1000,2003-07-31,,2D
