act_id,qid,commons_iri,commons_filename,commons_page_url
55208,Q112181475,http://commons.wikimedia.org/wiki/Special:FilePath/8%20Nicolo%20di%20Pietro%2C1413-15.%20The%20Saint%20Augustine%20Baptized%20by%20Saint%20Ambrose.%20Pinacoteca%2C%20Vatican..jpg,"8 Nicolo di Pietro,1413-15. The Saint Augustine Baptized by Saint Ambrose. Pinacoteca, Vatican..jpg","https://commons.wikimedia.org/wiki/File:8_Nicolo_di_Pietro,1413-15._The_Saint_Augustine_Baptized_by_Saint_Ambrose._Pinacoteca,_Vatican..jpg"
58369,Q26525401,http://commons.wikimedia.org/wiki/Special:FilePath/4%20Jacopo%20di%20Cione%20Polyptych%20San%20Pier%20Maggiore%2C%20detail.%201370-71%20London%20NG.jpg,"4 Jacopo di Cione Polyptych San Pier Maggiore, detail. 1370-71 London NG.jpg","https://commons.wikimedia.org/wiki/File:4_Jacopo_di_Cione_Polyptych_San_Pier_Maggiore,_detail._1370-71_London_NG.jpg"
56747,Q29946112,http://commons.wikimedia.org/wiki/Special:FilePath/Fritz%20v%20Uhde%20Schwerer%20Gang%20%281%29.jpg,Fritz v Uhde Schwerer Gang (1).jpg,https://commons.wikimedia.org/wiki/File:Fritz_v_Uhde_Schwerer_Gang_(1).jpg
54748,Q29952142,http://commons.wikimedia.org/wiki/Special:FilePath/Angelika%20Kauffmann%20-%20Christus%20und%20die%20Samariterin%20am%20Brunnen%20-1796.jpeg,Angelika Kauffmann - Christus und die Samariterin am Brunnen -1796.jpeg,https://commons.wikimedia.org/wiki/File:Angelika_Kauffmann_-_Christus_und_die_Samariterin_am_Brunnen_-1796.jpeg
58654,Q111822003,http://commons.wikimedia.org/wiki/Special:FilePath/Mercy%20c%201865-70%20Ford%20Madox%20Brown.jpg,Mercy c 1865-70 Ford Madox Brown.jpg,https://commons.wikimedia.org/wiki/File:Mercy_c_1865-70_Ford_Madox_Brown.jpg
58699,Q111822062,http://commons.wikimedia.org/wiki/Special:FilePath/Pentecostals%20Praising.jpg,Pentecostals Praising.jpg,https://commons.wikimedia.org/wiki/File:Pentecostals_Praising.jpg
56319,Q111842276,http://commons.wikimedia.org/wiki/Special:FilePath/Vitrail%20Basilique%20Saint-Nicolas%20080208%2005.jpg,Vitrail Basilique Saint-Nicolas 080208 05.jpg,https://commons.wikimedia.org/wiki/File:Vitrail_Basilique_Saint-Nicolas_080208_05.jpg
56932,Q111842375,http://commons.wikimedia.org/wiki/Special:FilePath/An%20icon%20depicting%20King%20and%20Queen%20%28of%20Georgia%29%20at%20Holy%20Trinity%20%28Sameba%29%20Cathedral%2C%20Tbilisi%2C%20Georgia.jpg,"An icon depicting King and Queen (of Georgia) at Holy Trinity (Sameba) Cathedral, Tbilisi, Georgia.jpg","https://commons.wikimedia.org/wiki/File:An_icon_depicting_King_and_Queen_(of_Georgia)_at_Holy_Trinity_(Sameba)_Cathedral,_Tbilisi,_Georgia.jpg"
57965,Q111842532,http://commons.wikimedia.org/wiki/Special:FilePath/Stolt%20sterk%20synlig.jpg,Stolt sterk synlig.jpg,https://commons.wikimedia.org/wiki/File:Stolt_sterk_synlig.jpg
58396,Q111842500,http://commons.wikimedia.org/wiki/Special:FilePath/Hosios%20Loukas%20Katholikon%20%28sanctuary%20vault%29%20-%20Pentecost%2002.jpg,Hosios Loukas Katholikon (sanctuary vault) - Pentecost 02.jpg,https://commons.wikimedia.org/wiki/File:Hosios_Loukas_Katholikon_(sanctuary_vault)_-_Pentecost_02.jpg
58713,Q26296468,http://commons.wikimedia.org/wiki/Special:FilePath/Leendert%20van%20der%20Cooghen%20-%20The%20Doubting%20Thomas.jpg,Leendert van der Cooghen - The Doubting Thomas.jpg,https://commons.wikimedia.org/wiki/File:Leendert_van_der_Cooghen_-_The_Doubting_Thomas.jpg
