filename,fieldname,value
"Colonel William C. Greene with arm outstretched addressing a crowd of Mexican workers during miners' strike, 1906, Cananea, Mexico (4050919576).jpg",Flickr sets,"["".mw-parser-output .hlist dl,.mw-parser-output .hlist ol,.mw-parser-output .hlist ul{margin:0;padding:0}.mw-parser-output .hlist dd,.mw-parser-output .hlist dt,.mw-parser-output .hlist li{margin:0;display:inline}.mw-parser-output .hlist.inline,.mw-parser-output .hlist.inline dl,.mw-parser-output .hlist.inline ol,.mw-parser-output .hlist.inline ul,.mw-parser-output .hlist dl dl,.mw-parser-output .hlist dl ol,.mw-parser-output .hlist dl ul,.mw-parser-output .hlist ol dl,.mw-parser-output .hlist ol ol,.mw-parser-output .hlist ol ul,.mw-parser-output .hlist ul dl,.mw-parser-output .hlist ul ol,.mw-parser-output .hlist ul ul{display:inline}.mw-parser-output .hlist .mw-empty-li,.mw-parser-output .hlist .mw-empty-elt{display:none}.mw-parser-output .hlist dt:after{content:\"": \""}.mw-parser-output .hlist dd:after,.mw-parser-output .hlist li:after{content:\"" \u00b7 \"";font-weight:bold}.mw-parser-output .hlist dd:last-child:after,.mw-parser-output .hlist dt:last-child:after,.mw-parser-output .hlist li:last-child:after{content:none}.mw-parser-output .hlist dd dd:first-child:before,.mw-parser-output .hlist dd dt:first-child:before,.mw-parser-output .hlist dd li:first-child:before,.mw-parser-output .hlist dt dd:first-child:before,.mw-parser-output .hlist dt dt:first-child:before,.mw-parser-output .hlist dt li:first-child:before,.mw-parser-output .hlist li dd:first-child:before,.mw-parser-output .hlist li dt:first-child:before,.mw-parser-output .hlist li li:first-child:before{content:\"" (\"";font-weight:normal}.mw-parser-output .hlist dd dd:last-child:after,.mw-parser-output .hlist dd dt:last-child:after,.mw-parser-output .hlist dd li:last-child:after,.mw-parser-output .hlist dt dd:last-child:after,.mw-parser-output .hlist dt dt:last-child:after,.mw-parser-output .hlist dt li:last-child:after,.mw-parser-output .hlist li dd:last-child:after,.mw-parser-output .hlist li dt:last-child:after,.mw-parser-output .hlist li li:last-child:after{content:\"")\"";font-weight:normal}.mw-parser-output .hlist ol{counter-reset:listitem}.mw-parser-output .hlist ol>li{counter-increment:listitem}.mw-parser-output .hlist ol>li:before{content:\"" \""counter(listitem)\""\\a0 \""}.mw-parser-output .hlist dd ol>li:first-child:before,.mw-parser-output .hlist dt ol>li:first-child:before,.mw-parser-output .hlist li ol>li:first-child:before{content:\"" (\""counter(listitem)\""\\a0 \""}"", ""Cananea, Mexico"", ""Mexican Revolution""]"
"Colonel William C. Greene with arm outstretched addressing a crowd of Mexican workers during miners' strike, 1906, Cananea, Mexico (4050919576).jpg",Flickr tags,"[""1906"", ""20thcentury"", ""mexico"", ""strikes"", ""mexicanrevolution"", ""crowd of hats"", ""Revoluci\u00f3n Mexicana"", ""M\u00e9xico"", ""Mexique"", ""Cananea"", ""Sonora"", ""Huelga""]"
"Cormon, Fernand - Cain flying before Jehovah's Curse.jpg",Authority control,"["":"", ""Q12878468"", ""Joconde"", "":"", ""000PE028931"", ""Mus\u00e9e d'Orsay"", "":"", ""141""]"
Crucifixion by Tintoretto - Accademia - Venice 2016 - crop.jpg,Attribution,"[""\u00a9 Jos\u00e9 Luiz Bernardes Ribeiro""]"
"David by Bernini, 1623-1624, Villa Borghese, Rome.jpg",Object location,"[""41\u00b0\u00a055\u2032\u00a0N, 12\u00b0\u00a030\u2032\u00a0E"", ""View this and other nearby images on:"", ""OpenStreetMap"", ""41.914000;   12.492000""]"
Deesis mosaic Hagia Sophia.jpg,Attribution,"[""Photo:"", ""Myrabella"", ""/"", ""Wikimedia Commons""]"
Desolation Thomas Cole 1836.jpeg,Series title,"[""The Course of Empire""]"
Destitute man vacant store.gif,Record creator,"[""Roosevelt, Franklin D. (Franklin Delano), 1882-1945""]"
Destitute man vacant store.gif,Record ID,"[""This media is available in the holdings of the"", ""National Archives and Records Administration"", "", cataloged under the National Archives Identifier (NAID)"", ""195825"", ""."", ""This tag does not indicate the copyright status of the attached work."", ""A normal"", ""copyright tag"", ""is still required."", ""See"", ""Commons:Licensing"", ""."", ""\u0627\u0644\u0639\u0631\u0628\u064a\u064e\u0651\u0629"", ""|"", ""Deutsch"", ""|"", ""English"", ""|"", ""espa\u00f1ol"", ""|"", ""fran\u00e7ais"", ""|"", ""italiano"", ""|"", ""\u65e5\u672c\u8a9e"", ""|"", ""\u043c\u0430\u043a\u0435\u0434\u043e\u043d\u0441\u043a\u0438"", ""|"", ""\u0d2e\u0d32\u0d2f\u0d3e\u0d33\u0d02"", ""|"", ""Nederlands"", ""|"", ""polski"", ""|"", ""portugu\u00eas"", ""|"", ""\u0440\u0443\u0441\u0441\u043a\u0438\u0439"", ""|"", ""sloven\u0161\u010dina"", ""|"", ""T\u00fcrk\u00e7e"", ""|"", ""\u0443\u043a\u0440\u0430\u0457\u043d\u0441\u044c\u043a\u0430"", ""|"", ""Ti\u1ebfng Vi\u1ec7t"", ""|"", ""\u4e2d\u6587\uff08\u7b80\u4f53\uff09\u200e"", ""|"", ""\u4e2d\u6587\uff08\u7e41\u9ad4\uff09\u200e"", ""|"", ""\ud55c\uad6d\uc5b4\u200e"", ""|"", ""+/\u2212"", ""Record group:  Collection FDR-PHOCO: Franklin D. Roosevelt Library Public Domain Photographs, 1882 - 1962 ("", ""National Archives Identifier"", "":  1184 )"", ""Series:  Franklin D. Roosevelt Library Public Domain Photographs, compiled 1882 - 1962 ("", ""National Archives Identifier:  195301"", "")"", ""NAIL Control Number: NLR-PHOCO-A-53227(292)""]"
Domenico Fetti 002.jpg,Object location,"[""59\u00b0\u00a056\u2032\u00a030\u2033\u00a0N, 30\u00b0\u00a018\u2032\u00a057.1\u2033\u00a0E"", ""View this and other nearby images on:"", ""OpenStreetMap"", ""59.941670;   30.315860""]"
