RecordNumber,filename,commons_uri,commons_page_url
55902,2013-08-14--Artoklasia during Feast of the Dormition of the Virgin Mary.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/2013-08-14--Artoklasia%20during%20Feast%20of%20the%20Dormition%20of%20the%20Virgin%20Mary.JPG,https://commons.wikimedia.org/wiki/File:2013-08-14--Artoklasia_during_Feast_of_the_Dormition_of_the_Virgin_Mary.JPG
55438,230718 88-olinda-maspe.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/230718%2088-olinda-maspe.jpg,https://commons.wikimedia.org/wiki/File:230718_88-olinda-maspe.jpg
55711,30a protest christians against greed.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/30a%20protest%20christians%20against%20greed.jpg,https://commons.wikimedia.org/wiki/File:30a_protest_christians_against_greed.jpg
56048,"55-aspetti di vita quotidiana, gioia,Taccuino Sanitatis, Cas.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/55-aspetti%20di%20vita%20quotidiana%2C%20gioia%2CTaccuino%20Sanitatis%2C%20Cas.jpg,"https://commons.wikimedia.org/wiki/File:55-aspetti_di_vita_quotidiana,_gioia,Taccuino_Sanitatis,_Cas.jpg"
56100,"7315 - Milano - S. Maria della Passione - Daniele Crespi, Il digiuno di San Carlo - Foto Giovanni Dall'Orto, 26-Feb-2008.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/7315%20-%20Milano%20-%20S.%20Maria%20della%20Passione%20-%20Daniele%20Crespi%2C%20Il%20digiuno%20di%20San%20Carlo%20-%20Foto%20Giovanni%20Dall%27Orto%2C%2026-Feb-2008.jpg,"https://commons.wikimedia.org/wiki/File:7315_-_Milano_-_S._Maria_della_Passione_-_Daniele_Crespi,_Il_digiuno_di_San_Carlo_-_Foto_Giovanni_Dall%27Orto,_26-Feb-2008.jpg"
57232,7920jfWorld Peace Bell Quezon Memorial Circlefvf 03.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/7920jfWorld%20Peace%20Bell%20Quezon%20Memorial%20Circlefvf%2003.JPG,https://commons.wikimedia.org/wiki/File:7920jfWorld_Peace_Bell_Quezon_Memorial_Circlefvf_03.JPG
55208,"8 Nicolo di Pietro,1413-15. The Saint Augustine Baptized by Saint Ambrose. Pinacoteca, Vatican..jpg",http://commons.wikimedia.org/wiki/Special:FilePath/8%20Nicolo%20di%20Pietro%2C1413-15.%20The%20Saint%20Augustine%20Baptized%20by%20Saint%20Ambrose.%20Pinacoteca%2C%20Vatican..jpg,"https://commons.wikimedia.org/wiki/File:8_Nicolo_di_Pietro,1413-15._The_Saint_Augustine_Baptized_by_Saint_Ambrose._Pinacoteca,_Vatican..jpg"
56516,A japanese madonna - 1900 - Helen Hyde.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/A%20japanese%20madonna%20-%201900%20-%20Helen%20Hyde.jpg,https://commons.wikimedia.org/wiki/File:A_japanese_madonna_-_1900_-_Helen_Hyde.jpg
57807,"A Pastoral Visit, Virgina, by Richard Norris Brooke, 1881 - Corcoran Gallery of Art - DSC01173.JPG",http://commons.wikimedia.org/wiki/Special:FilePath/A%20Pastoral%20Visit%2C%20Virgina%2C%20by%20Richard%20Norris%20Brooke%2C%201881%20-%20Corcoran%20Gallery%20of%20Art%20-%20DSC01173.JPG,"https://commons.wikimedia.org/wiki/File:A_Pastoral_Visit,_Virgina,_by_Richard_Norris_Brooke,_1881_-_Corcoran_Gallery_of_Art_-_DSC01173.JPG"
57221,A Walk along a Path at Sunset by Hermann Herzog.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/A%20Walk%20along%20a%20Path%20at%20Sunset%20by%20Hermann%20Herzog.jpg,https://commons.wikimedia.org/wiki/File:A_Walk_along_a_Path_at_Sunset_by_Hermann_Herzog.jpg
