RecordNumber,actId,qid,filename,commons_uri,commons_page_url,actId_of_original,difference
56283,,,Ambrogio Lorenzetti - Presentazione di Gesù al tempio - Google Art Project.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Ambrogio%20Lorenzetti%20-%20Presentazione%20di%20Ges%C3%B9%20al%20tempio%20-%20Google%20Art%20Project.jpg,https://commons.wikimedia.org/wiki/File:Ambrogio_Lorenzetti_-_Presentazione_di_Ges%C3%B9_al_tempio_-_Google_Art_Project.jpg,54933,wrong image 
56982,,,Almelo - Reliëf 'De Barmhartige Samaritaan' van Jan Gierveld op de achterzijde van stadskerk De Bleek 1.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Almelo%20-%20Reli%C3%ABf%20%27De%20Barmhartige%20Samaritaan%27%20van%20Jan%20Gierveld%20op%20de%20achterzijde%20van%20stadskerk%20De%20Bleek%201.jpg,https://commons.wikimedia.org/wiki/File:Almelo_-_Reli%C3%ABf_%27De_Barmhartige_Samaritaan%27_van_Jan_Gierveld_op_de_achterzijde_van_stadskerk_De_Bleek_1.jpg,57510,Image with same resolution as  Record # 75710
49167,,,Duccio di Buoninsegna 035.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Duccio%20di%20Buoninsegna%20035.jpg,https://commons.wikimedia.org/wiki/File:Duccio_di_Buoninsegna_035.jpg,49260,Image with same resolution as  Record # 49260
47297,,,Egon Schiele - Der Häuserbogen II (1915).jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Egon%20Schiele%20-%20Der%20H%C3%A4userbogen%20II%20%281915%29.jpg,https://commons.wikimedia.org/wiki/File:Egon_Schiele_-_Der_H%C3%A4userbogen_II_(1915).jpg,48090,Image with same resolution as  Record # 48090
55636,,,Else Berg A potter.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Else%20Berg%20A%20potter.jpg,https://commons.wikimedia.org/wiki/File:Else_Berg_A_potter.jpg,56317,lower resolution
56139,,,"German School, 16th Century - Mary Magdalene anointing the feet of Christ.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/German%20School%2C%2016th%20Century%20-%20Mary%20Magdalene%20anointing%20the%20feet%20of%20Christ.jpg,"https://commons.wikimedia.org/wiki/File:German_School,_16th_Century_-_Mary_Magdalene_anointing_the_feet_of_Christ.jpg",56136,cropped 
55610,,,Gustave Courbet - The Gust of Wind - Google Art Project.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Gustave%20Courbet%20-%20The%20Gust%20of%20Wind%20-%20Google%20Art%20Project.jpg,https://commons.wikimedia.org/wiki/File:Gustave_Courbet_-_The_Gust_of_Wind_-_Google_Art_Project.jpg,57921,Image with same resolution as  Record #57921
57610,,,Güstrow Gertrudenkapelle - Barlachsammlung Wiedersehen 1.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/G%C3%BCstrow%20Gertrudenkapelle%20-%20Barlachsammlung%20Wiedersehen%201.jpg,https://commons.wikimedia.org/wiki/File:G%C3%BCstrow_Gertrudenkapelle_-_Barlachsammlung_Wiedersehen_1.jpg,56116,black and white
57560,,,Hands Across the Divide - geograph.org.uk - 478600.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Hands%20Across%20the%20Divide%20-%20geograph.org.uk%20-%20478600.jpg,https://commons.wikimedia.org/wiki/File:Hands_Across_the_Divide_-_geograph.org.uk_-_478600.jpg,55419,black and white
57524,,,Honningsvåg 2013 06 09 2207 (10318844126).jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Honningsv%C3%A5g%202013%2006%2009%202207%20%2810318844126%29.jpg,https://commons.wikimedia.org/wiki/File:Honningsv%C3%A5g_2013_06_09_2207_(10318844126).jpg,55883,black and white
57555,,,Ilyas Basim Khuri Bazzi Rahib - Jesus and the Canaanite Woman - Walters W59243A - Full Page.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Ilyas%20Basim%20Khuri%20Bazzi%20Rahib%20-%20Jesus%20and%20the%20Canaanite%20Woman%20-%20Walters%20W59243A%20-%20Full%20Page.jpg,https://commons.wikimedia.org/wiki/File:Ilyas_Basim_Khuri_Bazzi_Rahib_-_Jesus_and_the_Canaanite_Woman_-_Walters_W59243A_-_Full_Page.jpg,55922,black and white
57459,,,Indian - The Christ Child as Good Shepherd - Walters 71324.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Indian%20-%20The%20Christ%20Child%20as%20Good%20Shepherd%20-%20Walters%2071324.jpg,https://commons.wikimedia.org/wiki/File:Indian_-_The_Christ_Child_as_Good_Shepherd_-_Walters_71324.jpg,56310,cropped + black and white
56077,,,KeurMoussaAutel.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/KeurMoussaAutel.jpg,https://commons.wikimedia.org/wiki/File:KeurMoussaAutel.jpg,56076,cropped to show only artwork
56078,,,KeurMoussaAutel.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/KeurMoussaAutel.jpg,https://commons.wikimedia.org/wiki/File:KeurMoussaAutel.jpg,56076,cropped 
56338,,,KeurMoussaAutel.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/KeurMoussaAutel.jpg,https://commons.wikimedia.org/wiki/File:KeurMoussaAutel.jpg,56076,cropped 
56344,,,KeurMoussaAutel.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/KeurMoussaAutel.jpg,https://commons.wikimedia.org/wiki/File:KeurMoussaAutel.jpg,56076,cropped 
56517,,,KeurMoussaAutel.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/KeurMoussaAutel.jpg,https://commons.wikimedia.org/wiki/File:KeurMoussaAutel.jpg,56076,cropped 
