,accession_number,language,ratio,partial_ratio,sort_ratio,set_ratio,w_ratio
309,1979.0939P,fr,2,33,3,3,38
310,1979.0941P,fr,2,33,2,2,38
311,1979.0942P,fr,2,33,2,3,38
312,1979.0943P,fr,2,33,2,2,38
313,1979.0944P,fr,2,33,2,3,38
314,1979.0945P,fr,1,33,1,1,20
315,1979.0946P,fr,1,33,1,2,38
316,1979.0948P,fr,2,33,3,3,38
317,1979.0949P,fr,1,33,2,2,38
318,1979.0951P,fr,3,33,3,3,40
319,1979.0952P,fr,2,33,2,3,38
320,1979.0953P,fr,1,33,1,2,40
321,1979.0955P,fr,1,33,1,2,20
322,1979.0958P,fr,3,33,3,3,20
323,1979.0959P,fr,3,67,6,6,40
324,1979.1122P,en,27,25,93,100,95
325,1979.1127P,en,34,54,49,78,86
326,1979.1136P,en,48,74,57,100,86
327,1979.1140P,en,22,46,32,100,90
328,1979.1174P,en,4,67,4,5,40
329,1979.1177P,en,80,80,98,98,95
330,1979.1178P,en,15,38,31,100,90
331,1979.1180P,en,86,95,90,100,95
332,1979.1182P,en,47,48,100,100,98
333,1979.1183P,en,22,21,93,96,92
334,1979.1184P,en,20,37,33,100,86
335,1979.1185P,en,3,67,3,4,40
336,1979.1212P,en,0,0,10,10,20
337,1979.1213P,en,25,42,52,97,86
338,1979.1215P,en,42,67,50,100,86
339,1979.1216P,en,19,38,35,100,86
340,1979.1217P,en,34,36,70,100,86
341,1979.1218P,en,19,30,65,100,88
342,1979.1220P,en,14,40,20,100,57
343,1979.1221P,en,68,76,87,100,95
344,1979.1222P,yi,16,15,15,15,19
345,1979.1224P,en,75,82,87,98,93
346,1979.1225P,en,55,94,58,100,88
347,1979.1226P,en,52,71,66,93,86
348,1979.1227P,en,60,74,80,100,95
349,1979.1228P,en,55,44,58,100,86
350,1979.1229P,en,21,38,34,100,86
351,1979.1231P,en,44,65,69,100,86
352,1979.1232P,en,14,36,33,100,86
353,1979.1233P,en,55,58,69,73,75
354,1979.1234P,en,35,65,39,100,86
355,1979.1235P,en,23,36,35,100,86
356,1979.1236P,en,59,61,87,100,95
357,1979.1237P,en,7,44,8,100,57
358,1979.1238P,en,62,69,67,100,86
